id,v,w,x,y,z,ts_in,ts_out
216,0.037,0.813,1.0,1.0,1.0,155,282
217,0.481,0.669,0.369,0.369,0.669,603,1378
218,0.5830000000000001,0.5830000000000001,0.28300000000000003,0.28300000000000003,0.567,26,169
219,0.646,0.346,0.646,0.346,0.504,837,1191
220,0.401,0.101,0.749,0.101,0.101,814,1705
221,0.726,0.12400000000000003,0.12400000000000003,0.42400000000000004,0.12400000000000003,254,1530
222,1.0,1,0.083,1.0,0.767,468,759
223,0.041999999999999954,0.34199999999999997,0.808,0.041999999999999954,0.041999999999999954,945,1389
224,0.5720000000000001,0.5720000000000001,0.578,0.5720000000000001,0.5720000000000001,650,709
225,0.255,0.255,0.255,0.595,0.255,932,1956
226,0.392,0.392,0.092,0.758,0.092,142,246
227,0.484,0.366,0.666,0.366,0.366,485,1303
228,0.6709999999999999,0.971,0.971,0.6709999999999999,0.179,458,1262
229,0.169,0.169,0,0.981,0,99,534
230,0.273,0.577,0.577,0.577,0.877,867,1398
231,0.004000000000000031,0.846,0.004000000000000031,0.004000000000000031,0.30400000000000005,680,1128
232,0.788,0.488,0.788,0.362,0.788,621,1220
233,0.06399999999999997,0.06399999999999997,0.364,0.786,0.06399999999999997,980,1716
234,0.748,0.44799999999999995,0.44799999999999995,0.402,0.748,116,1055
235,0.855,0,0,0.29500000000000004,0,818,976
236,0.020000000000000046,0.020000000000000046,0.83,0.020000000000000046,0.32000000000000006,711,1501
237,0.31799999999999995,0.618,0.31799999999999995,0.31799999999999995,0.532,996,1957
238,0.768,0.382,0.768,0.768,0.46799999999999997,600,1953
239,1.0,0.7979999999999999,0.052,0.7979999999999999,1,751,1150
240,0.775,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.375,573,1740
241,1.0,0.702,1.0,0.148,1.0,858,1097
242,0.815,0.035,1.0,0.815,1.0,215,725
243,0.622,0.622,0.528,0.622,0.32199999999999995,605,778
244,0.2909999999999999,0.559,0.591,0.591,0.2909999999999999,920,1494
245,1.0,0.845,0.005,0.845,0.845,105,1238
246,0.842,0.008000000000000035,0.008000000000000035,0.30800000000000005,0.008000000000000035,250,1400
247,0.593,0.257,0.593,0.893,0.593,703,1633
248,0.738,1,0.738,1.0,0.112,811,1697
249,0.795,0.054999999999999966,0.355,0.054999999999999966,0.054999999999999966,662,1398
250,0.488,0.488,0.662,0.488,0.488,238,1821
251,1.0,0.115,1.0,1.0,0.735,691,1668
252,0.005,1.0,1.0,0.845,0.845,171,1490
253,0.5,0.19999999999999998,0.65,0.5,0.5,756,1211
254,0.483,0.483,0.667,0.483,0.18299999999999997,209,634
255,0.31099999999999994,0.31099999999999994,0.31099999999999994,0.539,0.31099999999999994,843,923
256,0,0.259,0,0.259,0.891,703,1429
257,0.23600000000000002,0.536,0.23600000000000002,0.536,0.614,115,848
258,0.46799999999999997,0.46799999999999997,0.16799999999999995,0.682,0.46799999999999997,190,1101
259,0.814,0.3360000000000001,0.03600000000000006,0.03600000000000006,0.3360000000000001,308,1844
260,0.617,0.917,0.917,0.233,0.917,450,714
261,0.883,0.883,0.883,0.583,0.267,19,721
262,0.03400000000000006,0.3340000000000001,0.816,0.03400000000000006,0.3340000000000001,94,1831
263,0,0,0.267,0.267,0.883,860,1551
264,0.636,0.636,0.214,0.936,0.636,315,1703
265,0.4570000000000001,0.15700000000000006,0.4570000000000001,0.15700000000000006,0.693,177,748
266,0.557,0.557,0.593,0.557,0.257,366,1193
267,0.22299999999999995,0.22299999999999995,0.22299999999999995,0.927,0.22299999999999995,37,287
268,0.8570000000000001,0.557,0.8570000000000001,0.293,0.557,930,1926
269,0.721,0.721,1.0,0.129,1.0,963,1947
270,0.416,0.7340000000000001,0.7340000000000001,0.43400000000000005,0.43400000000000005,55,848
271,0.245,0.605,0.905,0.605,0.905,233,1940
272,0.17499999999999996,0.475,0.675,0.475,0.17499999999999996,290,1273
273,1.0,0.7979999999999999,0.052,0.7979999999999999,0.7979999999999999,201,689
274,0.489,0.361,0.661,0.361,0.661,615,1578
275,0.14900000000000005,0.44900000000000007,0.44900000000000007,0.701,0.44900000000000007,105,1621
276,0.42600000000000005,0.42600000000000005,0.42600000000000005,0.424,0.7260000000000001,768,1447
277,0.751,0.399,0.099,0.099,0.099,453,1476
278,0.284,0.866,0.866,0.866,0.866,41,540
279,0.47,0.47,0.38,0.47,0.47,729,1301
280,0.124,0.726,1.0,1.0,1.0,681,827
281,0.34099999999999997,0.641,0.509,0.34099999999999997,0.34099999999999997,486,1863
282,0.743,0.743,0.743,0.407,0.44299999999999995,302,1459
283,0.926,0.22399999999999995,0.22399999999999995,0,0.22399999999999995,168,897
284,0.374,0.776,0.776,0.776,0.476,482,1796
285,0.586,0.264,0.886,0.886,0.886,270,1286
286,0.15400000000000005,0.45400000000000007,0.45400000000000007,0.45400000000000007,0.696,520,705
287,0.16000000000000006,0.4600000000000001,0.16000000000000006,0.4600000000000001,0.69,481,1519
288,0.23800000000000002,0.538,0.612,0.23800000000000002,0.23800000000000002,44,1245
289,0.375,0.475,0.375,0.375,0.375,530,1449
290,0.21699999999999994,0.21699999999999994,0,0,0.933,75,1931
291,0.612,0.31199999999999994,0.612,0.612,0.538,625,1353
292,0.17199999999999996,0.17199999999999996,0.17199999999999996,0.678,0.472,215,621
293,0.399,0.751,0.399,0.099,0.099,214,1646
294,0.891,0.591,0.891,0.891,0.259,163,1106
295,1.0,1,1.0,0.067,0.783,802,1889
296,0,0.28600000000000003,0.864,0.28600000000000003,0.28600000000000003,397,1044
297,0.577,0.273,0.877,0.577,0.877,74,780
298,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.42100000000000004,0.729,313,1321
299,0.43000000000000005,0.13000000000000003,0.13000000000000003,0.13000000000000003,0.72,814,1569
300,0.29899999999999993,0.29899999999999993,0.551,0.599,0.599,117,697
301,0.218,0.518,0.518,0.632,0.218,836,1862
302,0.747,0.747,0.747,0.747,0.103,576,1824
303,0.709,0.4089999999999999,0.441,0.4089999999999999,0.709,440,1801
304,0.116,1.0,1.0,1.0,1.0,521,1795
305,0.42499999999999993,0.725,0.425,0.725,0.725,19,1960
306,0.20400000000000004,0.20400000000000004,0.20400000000000004,0.946,0,323,1936
307,0.03600000000000006,0.814,0.3360000000000001,0.03600000000000006,0.03600000000000006,111,1829
308,0.7879999999999999,0.7879999999999999,0.062,1.0,1,722,1361
309,1.0,1,0.126,0.724,1,37,147
310,0.426,0.42400000000000004,0.7240000000000001,0.7240000000000001,0.7240000000000001,660,1970
311,0.7819999999999999,1,0.068,1.0,0.7819999999999999,749,1226
312,0.9520000000000001,0.652,0.652,0.198,0.9520000000000001,647,1358
313,0.643,0.507,0.34299999999999997,0.34299999999999997,0.34299999999999997,167,1894
314,0,0.24299999999999997,0.24299999999999997,0.907,0.24299999999999997,782,1615
315,0.5710000000000001,0.271,0.579,0.5710000000000001,0.5710000000000001,422,1290
316,0.634,0.634,0.634,0.634,0.516,141,578
317,0.06499999999999997,0.785,0.06499999999999997,0.365,0.365,151,1712
318,0.817,0.03300000000000006,0.3330000000000001,0.3330000000000001,0.3330000000000001,876,960
319,0.545,0.545,0.605,0.24500000000000002,0.545,259,1864
320,0.503,0.647,0.347,0.647,0.647,198,1563
321,0.195,0.6549999999999999,0.955,0.955,0.6549999999999999,534,768
322,0.276,0.276,0.5760000000000001,0.276,0.574,632,829
323,0.359,0.491,0.791,0.491,0.491,386,1035
324,0.845,0.845,0.845,1.0,0.005,664,1597
325,0.64,0.21,0.51,0.21,0.21,877,943
326,0.20700000000000005,0,0,0.943,0.20700000000000005,401,1602
327,0.17400000000000002,0,0,0.976,0,712,1614
328,0.13500000000000004,0.13500000000000004,0.43500000000000005,0.715,0.13500000000000004,498,1617
329,0,0,0,0.949,0.20100000000000004,918,1896
330,0.979,0.979,0.171,0.979,0.6789999999999999,817,832
331,0.041999999999999954,0.34199999999999997,0.808,0.34199999999999997,0.041999999999999954,10,218
332,0.054999999999999966,0.355,0.054999999999999966,0.795,0.355,643,1093
333,0.5690000000000001,0.5690000000000001,0.269,0.5690000000000001,0.581,883,1387
334,0,0.20500000000000004,0,0,0.945,23,1066
335,0.19999999999999998,0.65,0.19999999999999998,0.19999999999999998,0.19999999999999998,62,70
336,0.8039999999999999,0.8039999999999999,1.0,0.8039999999999999,0.046,65,1341
337,0,0,0.982,0.168,0,952,1637
338,0.5630000000000001,0.5630000000000001,0.5630000000000001,0.5630000000000001,0.587,29,296
339,0.9640000000000001,0.664,0.9640000000000001,0.664,0.186,670,1266
340,0.13200000000000003,0.718,0.43200000000000005,0.13200000000000003,0.13200000000000003,872,1122
341,0.05,0.7999999999999999,0.7999999999999999,1.0,0.7999999999999999,598,636
342,0.836,0.5359999999999999,0.314,0.836,0.836,828,1068
343,0,0,0,0.948,0.20200000000000004,614,702
344,0.653,0.19699999999999998,0.19699999999999998,0.19699999999999998,0.497,763,1072
345,0.258,0.258,0.892,0.258,0.258,400,883
346,0.497,0.653,0.653,0.653,0.353,582,1613
347,0.992,0.692,0.992,0.158,0.692,186,824
348,0.657,0.493,0.19299999999999998,0.19299999999999998,0.19299999999999998,385,1365
349,0.391,0.391,0.759,0.391,0.391,762,899
350,0.20600000000000004,0,0,0.20600000000000004,0.944,518,991
351,0.169,0.981,0,0,0.169,638,1397
352,0.523,0.223,0.627,0.523,0.223,123,1030
353,0.238,0.612,0.912,0.612,0.612,208,1730
354,0.51,0.21,0.64,0.21,0.51,744,1987
355,0.838,0.838,0.838,0.312,0.5379999999999999,166,795
356,0.862,0.288,0.862,0.862,0.862,931,1144
357,0.45500000000000007,0.15500000000000005,0.15500000000000005,0.695,0.45500000000000007,3,304
358,0.524,0.224,0.524,0.626,0.224,873,1973
359,0.838,0.012,1.0,0.838,0.838,816,1705
360,0.3949999999999999,0.3949999999999999,0.695,0.695,0.455,8,515
361,0.99,0,0.16,0.16,0.16,389,1244
362,0.912,0.23799999999999996,0,0,0.23799999999999996,970,1899
363,0.44400000000000006,0.14400000000000004,0.706,0.14400000000000004,0.14400000000000004,891,918
364,0.29400000000000004,0.29400000000000004,0,0.29400000000000004,0.856,117,615
365,0.729,0.729,0.421,0.42899999999999994,0.729,129,1436
366,0.723,0.723,0.42299999999999993,0.723,0.427,287,977
367,0.43000000000000005,0.7300000000000001,0.43000000000000005,0.43000000000000005,0.42,675,766
368,1.0,1,0.773,1.0,0.077,255,1705
369,0.32299999999999995,0.623,0.527,0.623,0.32299999999999995,24,221
370,0.683,0.16699999999999995,0.16699999999999995,0.16699999999999995,0.46699999999999997,526,1117
371,0.773,0.473,0.473,0.377,0.473,656,855
372,0.46499999999999997,0.46499999999999997,0.46499999999999997,0.685,0.16499999999999995,89,270
373,0.24900000000000003,0.601,0.24900000000000003,0.24900000000000003,0.24900000000000003,76,291
374,0.43100000000000005,0.13100000000000003,0.13100000000000003,0.719,0.43100000000000005,855,1337
375,0.32199999999999995,0.622,0.622,0.32199999999999995,0.528,384,848
376,0.751,0.751,0.45099999999999996,0.399,0.45099999999999996,886,1745
377,0.19500000000000003,0,0,0,0.955,322,1714
378,0.161,0.689,0.989,0.989,0.689,988,1100
379,0.713,0.43700000000000006,0.13700000000000004,0.43700000000000006,0.43700000000000006,481,1280
380,0.388,0.088,0.388,0.762,0.088,604,1675
381,0.78,0.06999999999999998,0.37,0.37,0.37,816,1648
382,0.5119999999999999,0.5119999999999999,0.8119999999999999,0.5119999999999999,0.338,297,1789
383,0.31099999999999994,0.31099999999999994,0.611,0.539,0.611,617,1926
384,0.221,0.929,0.929,0.929,0.929,241,1272
385,1.0,0.081,1.0,1.0,0.769,172,227
386,0.461,0.3889999999999999,0.3889999999999999,0.689,0.689,250,964
387,0.165,0,0.985,0.165,0.165,693,1168
388,0.808,0.041999999999999954,0.34199999999999997,0.041999999999999954,0.041999999999999954,549,1699
389,0.036,0.814,1.0,0.814,0.814,666,1544
390,0.30299999999999994,0.547,0.603,0.30299999999999994,0.603,650,1957
391,0.24799999999999997,0.24799999999999997,0.902,0.24799999999999997,0.24799999999999997,478,1820
392,0.23199999999999996,0.918,0.23199999999999996,0,0,520,1146
393,0.43099999999999994,0.419,0.43099999999999994,0.731,0.43099999999999994,982,1351
394,0.03700000000000006,0.3370000000000001,0.813,0.03700000000000006,0.03700000000000006,556,981
395,0.603,0.603,0.603,0.903,0.247,519,712
396,0.476,0.374,0.374,0.674,0.674,309,1415
397,0.29799999999999993,0.552,0.29799999999999993,0.29799999999999993,0.598,376,1079
398,0.13300000000000003,0.717,0.13300000000000003,0.43300000000000005,0.13300000000000003,240,895
399,0,0.23799999999999996,0.912,0,0,256,463
400,0.45299999999999996,0.45299999999999996,0.45299999999999996,0.397,0.753,161,202
401,0.903,0.24699999999999997,0.24699999999999997,0.24699999999999997,0.24699999999999997,253,622
402,0.691,0.4590000000000001,0.4590000000000001,0.4590000000000001,0.15900000000000006,297,1521
403,0.148,1.0,0.702,1.0,0.702,186,1441
404,0.362,0.362,0.06199999999999997,0.06199999999999997,0.788,168,486
405,0.2899999999999999,0.59,0.2899999999999999,0.59,0.56,502,1603
406,0.845,0.845,0.005,1.0,0.845,860,1484
407,0.42699999999999994,0.423,0.727,0.42699999999999994,0.42699999999999994,709,1574
408,1.0,0.113,1.0,0.737,1.0,980,1347
409,0.20700000000000005,0,0,0,0.943,590,1561
410,0.613,0.613,0.613,0.31299999999999994,0.537,640,1039
411,0.17800000000000002,0.17800000000000002,0.972,0.17800000000000002,0,641,1653
412,0.823,0.823,0.027,0.823,0.823,137,699
413,0.75,0.4,0.44999999999999996,0.44999999999999996,0.75,832,1154
414,1.0,1,1.0,0.075,1.0,239,1888
415,0,0.28300000000000003,0.867,0.28300000000000003,0.28300000000000003,667,1856
