id,t,u,v,w,x,y,z,ts_in,ts_out
154,0.916,0.634,0.627,0.839,0.325,0.137,0.737,146,1932
155,0.071,0.822,0.611,0.656,0.396,0.347,0.649,203,1971
156,0.626,0.804,0.335,0.751,0.522,0.992,0.827,104,1549
157,0.264,0.038,0.745,0.693,0.659,0.145,0.033,415,987
158,0.551,0.094,0.378,0.938,0.767,0.601,0.053,622,1117
159,0.747,0.483,0.909,0.044,0.737,0.298,0.703,918,1407
160,0.591,0.186,0.316,0.306,0.661,0.237,0.94,227,1479
161,0.269,0.327,0.767,0.182,0.382,0.627,0.174,185,669
162,0.782,0.871,0.087,0.499,0.346,0.049,0.202,172,246
163,0.483,0.129,0.693,0.338,0.701,0.64,0.439,442,1390
164,0.227,0.253,0.75,0.349,0.324,0.855,0.093,315,1185
165,0.45,0.472,0.898,0.355,0.625,0.274,0.624,867,1557
166,0.083,0.185,0.622,0.758,0.673,0.022,0.675,110,1291
167,0.869,0.864,0.765,0.115,0.71,0.635,0.524,581,1816
168,0.045,0.362,0.421,0.677,0.932,0.508,0.819,169,1562
169,0.003,0.979,0.348,0.364,0.05,0.533,0.439,52,1335
170,0.318,0.347,0.128,0.998,0.403,0.084,0.558,702,1464
171,0.817,0.876,0.664,0.469,0.681,0.172,0.627,660,1576
172,0.17,0.142,0.322,0.391,0.525,0.459,0.353,998,1650
173,0.214,0.982,0.312,0.612,0.382,0.388,0.115,75,1305
174,0.25,0.27,0.294,0.303,0.525,0.553,0.915,160,194
175,0.158,0.933,0.172,0.572,0.994,0.29,0.66,177,524
176,0.123,0.217,0.994,0.594,0.059,0.496,0.697,779,1875
177,0.524,0.028,0.611,0.921,0.039,0.551,0.611,650,686
178,0.518,0.521,0.864,0.97,0.269,0.934,0.631,820,1144
179,0.961,0.822,0.278,0.347,0.845,0.553,0.748,111,686
180,0.37,0.683,0.476,0.172,0.243,0.296,0.692,435,1478
181,0.589,0.97,0.733,0.39,0.226,0.092,0.614,692,1085
182,0.798,0.493,0.222,0.909,0.883,0.477,0.621,131,1464
183,0.06,0.746,0.066,0.406,0.622,0.024,0.425,351,883
184,0.484,0.789,0.5,0.949,0.097,0.032,0.444,322,1932
185,0.043,0.567,0.285,0.292,0.946,0.568,0.694,101,968
186,0.304,0.988,0.903,0.689,0.082,0.387,0.554,124,661
187,0.193,0.855,0.975,0.573,0.32,0.307,0.124,626,1319
188,0.437,0.841,0.84,0.921,0.391,0.3,0.27,284,998
189,0.864,0.661,0.661,0.341,0.54,0.802,0.871,158,240
190,0.447,0.155,0.609,0.388,0.949,0.593,0.285,65,122
191,0.651,0.694,0.861,0.742,0.81,0.495,0.231,298,411
192,0.075,0.521,0.824,0.742,0.794,0.538,0.313,601,1036
193,0.753,0.657,0.856,0.001,0.567,0.099,0.808,391,782
194,0.893,0.269,0.825,0.399,0.571,0.242,0.057,531,1641
195,0.445,0.906,0.4,0.002,0.61,0.939,0.913,150,560
196,0.155,0.442,0.935,0.305,0.865,0.248,0.165,676,953
197,0.607,0.015,0.699,0.994,0.88,0.313,0.839,766,1289
198,0.063,0.83,0.808,0.701,0.788,0.214,0.074,978,1685
199,0.446,0.828,0.141,0.041,0.657,0.99,0.923,153,1488
200,0.633,0.702,0.255,0.693,0.017,0.181,0.378,992,1653
201,0.102,0.561,0.82,0.124,0.021,0.981,0.89,70,1684
202,0.049,0.652,0.07,0.319,0.724,0.102,0.784,293,1914
203,0.755,0.315,0.776,0.144,0.068,0.91,0.47,203,852
204,0.349,0.223,0.721,0.648,0.825,0.005,0.778,415,1599
205,0.261,0.732,0.105,0.336,0.196,0.536,0.933,306,1212
206,0.711,0.276,0.07,0.784,0.569,0.555,0.839,34,740
207,0.649,0.802,0.198,0.606,0.463,0.944,0.148,781,1391
208,0.196,0.42,0.057,0.859,0.366,0.125,0.833,738,1365
209,0.757,0.483,0.356,0.562,0.885,0.7,0.937,561,696
210,0.834,0.708,0.804,0.708,0.483,0.181,0.284,288,1917
211,0.953,0.856,0.659,0.696,0.573,0.953,0.596,679,1654
212,0.699,0.656,0.318,0.017,0.996,0.122,0.775,884,1544
213,0.709,0.199,0.347,0.08,0.649,0.781,0.729,593,1772
214,0.055,0.335,0.558,0.818,0.109,0.691,0.726,600,928
215,0.583,0.807,0.431,0.365,0.921,0.247,0.325,422,700
216,0.628,0.011,0.325,0.155,0.275,0.165,0.315,563,1166
217,0.632,0.135,0.473,0.03,0.207,0.444,0.783,793,1690
218,0.651,0.07,0.03,0.835,0.2,0.159,0.304,194,645
219,0.316,0.312,0.374,0.379,0.476,0.297,0.625,377,1408
220,0.123,0.1,0.919,0.913,0.257,0.895,0.051,883,1711
221,0.674,0.516,0.994,0.888,0.629,0.735,0.877,866,1332
222,0.966,0.102,0.823,0.568,0.591,0.922,0.834,354,681
223,0.458,0.439,0.54,0.643,0.767,0.112,0.18,755,984
224,0.723,0.321,0.88,0.378,0.394,0.186,0.619,687,1471
225,0.88,0.138,0.235,0.343,0.392,0.986,0.742,375,1519
226,0.957,0.83,0.546,0.331,0.817,0.247,0.237,402,1623
227,0.173,0.617,0.751,0.253,0.826,0.65,0.41,582,1324
228,0.911,0.883,0.923,0.491,0.566,0.708,0.016,259,1674
229,0.533,0.098,0.38,0.984,0.075,0.704,0.948,840,1848
230,0.887,0.597,0.824,0.956,0.283,0.048,0.615,97,904
231,0.435,0.272,0.583,0.967,0.35,0.608,0.493,875,1664
232,0.252,0.83,0.536,0.233,0.342,0.871,0.631,303,1990
233,0.258,0.13,0.427,0.463,0.208,0.722,0.873,913,1570
234,0.045,0.522,0.691,0.994,0.217,0.31,0.097,430,1305
235,0.634,0.218,0.41,0.368,0.922,0.37,0.611,570,851
236,0.229,0.295,0.519,0.71,0.455,0.882,0.398,636,1655
237,0.727,0.187,0.334,0.22,0.804,0.255,0.541,205,1471
238,0.579,0.806,0.015,0.041,0.028,0.941,0.198,941,1071
239,0.863,0.51,0.468,0.114,0.439,0.63,0.469,544,769
240,0.396,0.926,0.525,0.501,0.8,0.896,0.491,988,1510
241,0.401,0.099,0.595,0.892,0.01,0.449,0.808,828,1884
242,0.794,0.694,0.469,0.687,0.222,0.577,0.158,122,1500
243,0.342,0.204,0.851,0.53,0.656,0.198,0.679,433,1825
244,0.466,0.67,0.137,0.283,0.229,0.67,0.722,27,973
245,0.857,0.409,0.145,0.355,0.851,0.448,0.534,40,1190
246,0.834,0.418,0.998,0.336,0.875,0.508,0.545,815,1892
247,0.603,0.424,0.665,0.176,0.012,0.625,0.541,252,1552
248,0.847,0.892,0.252,0.401,0.313,0.399,0.801,247,1040
249,0.157,0.223,0.951,0.904,0.89,0.243,0.574,734,1337
250,0.559,0.679,0.931,0.397,0.86,0.494,0.915,699,1195
251,0.803,0.917,0.085,0.853,0.938,0.769,0.07,641,686
252,0.637,0.924,0.722,0.525,0.396,0.634,0.747,670,1732
253,0.888,0.647,0.965,0.201,0.662,0.713,0.632,402,1055
254,0.236,0.247,0.878,0.673,0.011,0.672,0.172,405,1954
255,0.416,0.885,0.822,0.768,0.636,0.113,0.857,538,575
256,0.784,0.699,0.437,0.355,0.212,0.085,0.881,904,1294
257,0.168,0.019,0.555,0.989,0.574,0.092,0.448,293,1502
258,0.983,0.626,0.965,0.136,0.146,0.438,0.433,414,1837
259,0.873,0.124,0.002,0.663,0.793,0.176,0.349,555,1932
260,0.793,0.212,0.314,0.574,0.858,0.571,0.478,367,1646
261,0.718,0.834,0.911,0.859,0.15,0.529,0.146,853,1169
262,0.402,0.302,0.366,0.123,0.728,0.274,0.361,952,1026
263,0.974,0.619,0.819,0.493,0.201,0.377,0.443,491,1236
264,0.954,0.73,0.379,0.591,0.045,0.585,0.35,86,417
265,0.579,0.634,0.66,0.863,0.176,0.514,0.565,905,1675
266,0.749,0.848,0.902,0.493,0.137,0.605,0.449,650,1848
267,0.888,0.958,0.649,0.379,0.142,0.099,0.213,499,1657
268,0.69,0.082,0.224,0.717,0.309,0.127,0.851,533,1711
269,0.853,0.218,0.388,0.818,0.42,0.735,0.512,741,1538
270,0.41,0.719,0.372,0.351,0.73,0.027,0.968,602,1280
271,0.754,0.305,0.781,0.332,0.256,0.204,0.644,201,1874
272,0.052,0.282,0.854,0.876,0.854,0.937,0.752,573,1737
273,0.763,0.932,0.677,0.906,0.775,0.664,0.573,205,1943
274,0.01,0.204,0.77,0.775,0.869,0.062,0.124,720,1292
275,0.062,0.369,0.241,0.411,0.154,0.456,0.208,797,1864
276,0.205,0.286,0.162,0.131,0.578,0.972,0.013,215,1736
277,0.981,0.262,0.878,0.839,0.783,0.106,0.476,606,1919
278,0.405,0.957,0.928,0.652,0.748,0.604,0.956,838,1488
279,0.674,0.024,0.44,0.226,0.029,0.215,0.843,611,996
280,0.62,0.637,0.308,0.782,0.879,0.883,0.353,608,1610
281,0.4,0.681,0.79,0.11,0.72,0.266,0.423,154,1535
282,0.911,0.99,0.409,0.81,0.434,0.025,0.547,265,1412
283,0.652,0.989,0.023,0.063,0.034,0.242,0.672,855,1072
284,0.634,0.182,0.623,0.806,0.659,0.156,0.789,248,1055
285,0.1,0.567,0.715,0.926,0.657,0.256,0.777,970,1403
286,0.636,0.885,0.117,0.812,0.395,0.881,0.42,358,1701
287,0.218,0.844,0.719,0.137,0.173,0.667,0.897,63,1337
288,0.579,0.825,0.349,0.867,0.203,0.948,0.511,852,1789
289,0.483,0.46,0.997,0.909,0.678,0.669,0.201,341,884
290,0.959,0.333,0.617,0.703,0.91,0.708,0.35,42,1886
291,0.175,0.174,0.091,0.459,0.694,0.951,0.736,358,1804
292,0.091,0.584,0.709,0.29,0.739,0.426,0.176,349,1987
293,0.654,0.676,0.33,0.486,0.275,0.191,0.387,136,1896
294,0.938,0.547,0.348,0.428,0.379,0.593,0.05,315,754
295,0.173,0.176,0.114,0.895,0.458,0.443,0.879,897,1656
296,0.294,0.959,0.657,0.124,0.573,0.138,0.623,141,1450
297,0.29,0.244,0.497,0.556,0.5,0.144,0.956,878,1306
298,0.808,0.455,0.636,0.838,0.054,0.197,0.529,546,1504
299,0.291,0.469,0.741,0.913,0.827,0.685,0.067,434,623
300,0.916,0.414,0.902,0.373,0.635,0.051,0.96,710,1307
301,0.586,0.978,0.425,0.707,0.192,0.604,0.395,602,952
302,0.26,0.721,0.043,0.642,0.729,0.756,0.163,89,567
303,0.108,0.659,0.159,0.596,0.155,0.396,0.181,733,1192
304,0.986,0.468,0.103,0.902,0.275,0.153,0.562,799,1133
305,0.539,0.984,0.231,0.865,0.061,0.428,0.52,336,547
306,0.187,0.633,0.492,0.288,0.469,0.197,0.517,111,1550
307,0.549,0.003,0.608,0.084,0.164,0.98,0.187,329,1356
308,0.497,0.906,0.625,0.14,0.429,0.061,0.965,778,1837
309,0.023,0.001,0.169,0.361,0.377,0.711,0.767,663,1861
310,0.36,0.52,0.944,0.908,0.598,0.289,0.936,832,1752
311,0.389,0.087,0.748,0.931,0.838,0.719,0.117,326,1122
312,0.673,0.829,0.141,0.068,0.481,0.229,0.186,809,1979
313,0.125,0.564,0.628,0.349,0.752,0.191,0.711,758,1019
314,0.503,0.832,0.049,0.903,0.477,0.776,0.857,446,1833
315,0.426,0.046,0.505,0.884,0.303,0.386,0.19,975,1521
316,0.183,0.957,0.753,0.671,0.826,0.45,0.255,61,75
317,0.702,0.843,0.302,0.158,0.195,0.975,0.285,914,1403
318,0.464,0.53,0.174,0.294,0.892,0.559,0.724,311,1588
319,0.027,0.521,0.635,0.994,0.924,0.131,0.708,647,1339
320,0.401,0.771,0.552,0.042,0.622,0.285,0.088,968,1354
321,0.488,0.11,0.817,0.677,0.936,0.76,0.47,751,833
322,0.575,0.07,0.67,0.299,0.621,0.7,0.312,688,1527
323,0.865,0.742,0.987,0.645,0.901,0.362,0.166,693,1628
324,0.731,0.707,0.514,0.007,0.325,0.032,0.318,743,765
325,0.431,0.977,0.349,0.677,0.178,0.7,0.479,279,654
326,0.948,0.289,0.675,0.169,0.205,0.746,0.377,467,1535
327,0.398,0.422,0.265,0.988,0.447,0.415,0.998,569,1871
328,0.568,0.659,0.798,0.311,0.461,0.279,0.586,767,1555
329,0.773,0.437,0.911,0.44,0.753,0.016,0.68,800,1656
330,0.117,0.64,0.842,0.482,0.394,0.041,0.894,894,1866
331,0.559,0.218,0.699,0.856,0.918,0.512,0.016,169,1507
332,0.771,0.151,0.976,0.054,0.644,0.358,0.217,280,1718
333,0.151,0.323,0.972,0.532,0.291,0.754,0.528,838,1196
334,0.928,0.252,0.998,0.098,0.396,0.333,0.039,751,1137
335,0.618,0.631,0.075,0.882,0.278,0.495,0.946,225,1445
336,0.227,0.858,0.794,0.22,0.949,0.882,0.035,630,632
337,0.032,0.216,0.106,0.287,0.769,0.742,0.181,211,1401
338,0.864,0.519,0.733,0.476,0.692,0.22,0.007,161,1600
339,0.049,0.087,0.81,0.586,0.731,0.453,0.039,208,1354
340,0.9,0.829,0.941,0.91,0.271,0.421,0.258,909,1487
341,0.246,0.459,0.02,0.938,0.558,0.614,0.781,703,1015
342,0.102,0.455,0.692,0.833,0.105,0.595,0.321,856,1070
343,0.204,0.838,0.083,0.953,0.228,0.512,0.92,901,1011
344,0.268,0.654,0.56,0.287,0.738,0.72,0.638,835,1250
345,0.547,0.563,0.392,0.905,0.142,0.664,0.165,843,1116
346,0.036,0.213,0.856,0.245,0.244,0.434,0.03,483,499
347,0.179,0.302,0.925,0.57,0.075,0.485,0.357,199,1930
348,0.974,0.5,0.432,0.11,0.441,0.446,0.092,172,1021
349,0.586,0.415,0.045,0.568,0.757,0.701,0.599,682,950
350,0.094,0.494,0.902,0.076,0.534,0.002,0.754,871,1044
351,0.776,0.205,0.08,0.622,0.888,0.22,0.71,409,539
352,0.831,0.061,0.765,0.053,0.941,0.288,0.549,229,1752
353,0.42,0.494,0.046,0.337,0.68,0.492,0.771,2,874
354,0.736,0.335,0.982,0.389,0.751,0.545,0.862,135,1647
355,0.112,0.714,0.421,0.779,0.684,0.882,0.784,352,1587
356,0.317,0.211,0.929,0.516,0.488,0.694,0.981,910,1035
357,0.448,0.038,0.891,0.112,0.258,0.914,0.979,351,543
358,0.107,0.181,0.33,0.822,0.383,0.386,0.734,134,1960
359,0.668,0.843,0.809,0.105,0.162,0.113,0.177,110,1041
360,0.478,0.753,0.349,0.346,0.696,0.952,0.802,42,53
361,0.029,0.741,0.819,0.644,0.174,0.036,0.336,609,1321
362,0.03,0.738,0.696,0.527,0.092,0.063,0.842,739,1129
363,0.479,0.628,0.575,0.929,0.712,0.618,0.963,192,511
364,0.177,0.208,0.884,0.244,0.033,0.955,0.03,205,1998
365,0.147,0.431,0.03,0.69,0.935,0.198,0.73,23,791
366,0.543,0.883,0.755,0.464,0.255,0.531,0.156,847,1359
367,0.288,0.462,0.556,0.611,0.314,0.617,0.313,132,1456
368,0.309,0.889,0.472,0.478,0.059,0.76,0.481,962,1633
369,0.446,0.068,0.004,0.57,0.03,0.452,0.17,997,1959
370,0.49,0.06,0.737,0.279,0.904,0.138,0.584,942,1042
371,0.638,0.897,0.437,0.679,0.182,0.511,0.325,463,1999
372,0.291,0.18,0.47,0.359,0.577,0.847,0.314,350,1628
373,0.026,0.845,0.305,0.211,0.1,0.819,0.658,89,735
374,0.786,0.31,0.805,0.295,0.653,0.654,0.071,638,1249
375,0.313,0.032,0.576,0.558,0.055,0.317,0.138,965,1703
376,0.42,0.63,0.943,0.321,0.091,0.37,0.804,997,1742
377,0.067,0.579,0.321,0.947,0.657,0.376,0.952,198,396
378,0.746,0.398,0.729,0.168,0.544,0.135,0.531,924,1472
379,0.584,0.973,0.837,0.865,0.483,0.901,0.852,483,1451
380,0.588,0.527,0.182,0.168,0.445,0.952,0.421,667,1251
381,0.888,0.743,0.646,0.709,0.687,0.319,0.214,754,816
382,0.511,0.348,0.008,0.453,0.412,0.612,0.173,39,750
383,0.917,0.015,0.068,0.198,0.081,0.831,0.228,227,1279
384,0.754,0.513,0.856,0.364,0.069,0.349,0.811,806,1712
385,0.362,0.009,0.876,0.719,0.384,0.98,0.323,409,923
386,0.795,0.893,0.356,0.03,0.619,0.285,0.726,888,1850
387,0.341,0.556,0.87,0.224,0.407,0.642,0.67,787,1129
388,0.752,0.916,0.97,0.023,0.374,0.22,0.44,861,1697
389,0.443,0.381,0.198,0.912,0.747,0.637,0.72,484,1222
390,0.264,0.329,0.746,0.017,0.912,0.511,0.99,409,1902
391,0.738,0.252,0.813,0.16,0.535,0.919,0.62,121,226
392,0.719,0.458,0.133,0.243,0.139,0.864,0.591,98,1262
393,0.378,0.572,0.263,0.057,0.634,0.933,0.786,47,87
394,0.116,0.892,0.817,0.062,0.341,0.397,0.258,888,1695
395,0.148,0.192,0.66,0.833,0.235,0.197,0.996,608,796
396,0.795,0.951,0.07,0.056,0.192,0.692,0.691,592,1159
397,0.994,0.78,0.119,0.347,0.153,0.685,0.195,175,1813
398,0.093,0.835,0.351,0.488,0.117,0.226,0.879,349,401
399,0.849,0.642,0.756,0.925,0.447,0.769,0.684,740,888
400,0.942,0.92,0.75,0.079,0.53,0.863,0.257,194,1464
