id,v,w,x,y,z,ts_in,ts_out
49,0.777,0.232,0.928,0.421,0.531,759,1284
50,0.199,0.81,0.242,0.656,0.65,796,1200
51,0.669,0.383,0.906,0.472,0.847,218,838
52,0.937,0.534,0.64,0.373,0.208,708,1231
53,0.366,0.437,0.373,0.524,0.413,590,645
54,0.911,0.579,0.634,0.61,0.904,749,855
55,0.096,0.531,0.331,0.615,0.44,906,1357
56,0.273,0.501,0.439,0.415,0.677,470,1958
57,0.504,0.071,0.99,0.401,0.344,713,835
58,0.093,0.176,0.614,0.566,0.639,466,1036
59,0.211,0.275,0.737,0.155,0.371,557,1633
60,0.85,0.155,0.516,0.241,0.382,911,1888
61,0.819,0.905,0.536,0.547,0.74,951,1256
62,0.645,0.835,0.775,0.361,0.076,447,1396
63,0.353,0.094,0.284,0.078,0.203,445,1873
64,0.116,0.297,0.572,0.439,0.998,885,1466
65,0.027,0.875,0.497,0.693,0.756,541,597
66,0.113,0.265,0.893,0.553,0.986,679,1771
67,0.222,0.365,0.148,0.593,0.133,554,1197
68,0.619,0.199,0.138,0.362,0.726,83,795
69,0.929,0.057,0.078,0.285,0.944,938,1152
70,0.737,0.011,0.643,0.355,0.321,212,1106
71,0.551,0.043,0.128,0.065,0.06,831,1698
72,0.902,0.424,0.122,0.261,0.319,925,1128
73,0.02,0.708,0.999,0.354,0.698,258,1369
74,0.625,0.039,0.571,0.998,0.059,408,1364
75,0.643,0.056,0.093,0.855,0.037,300,1787
76,0.227,0.429,0.832,0.409,0.305,413,862
77,0.972,0.696,0.404,0.718,0.17,460,1141
78,0.432,0.328,0.782,0.297,0.662,33,695
79,0.286,0.247,0.935,0.845,0.248,995,1537
80,0.915,0.313,0.806,0.547,0.822,593,1977
81,0.587,0.66,0.792,0.398,0.798,253,1395
82,0.882,0.832,0.438,0.099,0.804,579,1976
83,0.466,0.675,0.247,0.45,0.592,337,388
84,0.358,0.588,0.668,0.48,0.319,51,1950
85,0.898,0.8,0.684,0.158,0.879,95,841
86,0.965,0.079,0.394,0.459,0.613,724,1271
87,0.804,0.56,0.696,0.789,0.18,548,1111
88,0.927,0.028,0.479,0.516,0.322,271,973
89,0.641,0.513,0.642,0.093,0.693,123,664
90,0.599,0.177,0.835,0.843,0.741,984,1213
91,0.731,0.004,0.197,0.053,0.992,768,1850
92,0.001,0.35,0.865,0.372,0.419,447,715
93,0.91,0.105,0.22,0.097,0.136,747,920
94,0.863,0.147,0.838,0.349,0.939,221,1401
95,0.275,0.595,0.354,0.473,0.158,925,1648
96,0.967,0.28,0.823,0.036,0.92,188,783
97,0.913,0.321,0.905,0.787,0.147,883,1826
98,0.967,0.617,0.343,0.197,0.397,80,1186
99,0.316,0.194,0.539,0.165,0.847,476,501
100,0.208,0.89,0.209,0.081,0.2,1000,1729
101,0.26,0.943,0.908,0.484,0.835,46,530
102,0.716,0.497,0.805,0.17,0.174,690,1671
103,0.033,0.142,0.813,0.378,0.077,449,1752
104,0.45,0.128,0.431,0.203,0.183,364,1172
105,0.076,0.657,0.368,0.668,0.444,441,689
106,0.336,0.946,0.193,0.798,0.207,725,1248
107,0.345,0.282,0.594,0.456,0.248,682,1624
108,0.983,0.657,0.644,0.801,0.185,675,740
109,0.906,0.611,0.139,0.01,0.053,698,1056
110,0.315,0.959,0.293,0.935,0.372,229,1673
111,0.022,0.728,0.821,0.547,0.653,280,438
112,0.776,0.993,0.209,0.381,0.831,53,153
113,0.274,0.691,0.072,0.621,0.755,943,1597
114,0.076,0.748,0.001,0.913,0.589,632,1797
115,0.108,0.476,0.607,0.361,0.478,571,1136
116,0.335,0.479,0.35,0.438,0.039,715,1175
117,0.645,0.115,0.415,0.517,0.75,368,1152
118,0.797,0.511,0.823,0.368,0.409,377,865
119,0.788,0.541,0.698,0.897,0.633,600,1962
120,0.937,0.029,0.793,0.002,0.422,792,1737
121,0.911,0.978,0.659,0.554,0.344,774,1808
122,0.041,0.619,0.878,0.475,0.31,254,322
123,0.387,0.626,0.009,0.295,0.617,598,1146
124,0.782,0.277,0.439,0.107,0.05,358,1818
125,0.135,0.739,0.003,0.254,0.988,455,826
126,0.357,0.808,0.441,0.278,0.464,445,955
127,0.661,0.616,0.477,0.707,0.11,558,959
128,0.153,0.243,0.733,0.418,0.139,503,1743
129,0.691,0.253,0.402,0.705,0.824,13,721
130,0.166,0.761,0.953,0.18,0.024,147,572
131,0.912,0.274,0.874,0.481,0.27,140,977
132,0.303,0.027,0.501,0.324,0.81,688,1325
133,0.474,0.003,0.067,0.35,0.818,110,1223
134,0.17,0.839,0.057,0.602,0.623,222,541
135,0.472,0.136,0.679,0.067,0.297,347,1985
136,0.602,0.614,0.939,0.152,0.297,750,1941
137,0.605,0.412,0.091,0.67,0.078,453,1410
138,0.345,0.093,0.447,0.449,0.511,892,1846
139,0.775,0.302,0.247,0.349,0.899,340,733
140,0.569,0.2,0.367,0.869,0.749,261,1137
141,0.585,0.141,0.955,0.901,0.756,650,1605
142,0.538,0.529,0.547,0.78,0.201,23,725
143,0.155,0.403,0.253,0.968,0.015,441,480
144,0.197,0.99,0.349,0.407,0.643,846,1607
145,0.919,0.495,0.204,0.556,0.391,349,1139
146,0.487,0.216,0.152,0.872,0.269,646,1447
147,0.382,0.351,0.181,0.616,0.181,144,731
148,0.326,0.738,0.43,0.069,0.228,448,1628
149,0.808,0.375,0.479,0.816,0.59,850,1700
150,0.896,0.225,0.261,0.102,0.758,686,1708
151,0.721,0.27,0.036,0.463,0.093,8,1129
152,0.15,0.307,0.731,0.077,0.392,608,893
153,0.56,0.098,0.079,0.578,0.369,784,1513
154,0.749,0.286,0.457,0.728,0.133,765,936
155,0.552,0.737,0.818,0.14,0.003,641,775
156,0.663,0.171,0.651,0.427,0.621,27,311
157,0.821,0.433,0.356,0.285,0.637,521,804
158,0.727,0.681,0.469,0.775,0.922,448,1682
159,0.429,0.906,0.55,0.572,0.645,106,1292
160,0.732,0.581,0.742,0.678,0.618,429,516
161,0.217,0.375,0.795,0.709,0.546,206,935
162,0.508,0.292,0.784,0.779,0.964,594,598
163,0.001,0.451,0.535,0.118,0.328,917,1084
164,0.182,0.65,0.622,0.451,0.599,497,1966
165,0.405,0.621,0.037,0.281,0.213,275,408
166,0.656,0.052,0.213,0.057,0.833,80,924
167,0.012,0.903,0.836,0.473,0.925,956,1132
168,0.057,0.705,0.933,0.394,0.99,938,1163
169,0.822,0.252,0.526,0.452,0.389,856,1152
170,0.429,0.307,0.528,0.519,0.212,145,272
171,0.189,0.527,0.743,0.107,0.978,807,857
172,0.276,0.045,0.753,0.669,0.319,847,1770
173,0.531,0.161,0.174,0.914,0.181,134,1568
174,0.07,0.695,0.828,0.587,0.891,183,371
175,0.355,0.021,0.66,0.184,0.061,363,1807
176,0.42,0.043,0.787,0.673,0.512,395,1446
177,0.35,0.168,0.519,0.068,0.46,647,1142
178,0.124,0.866,0.375,0.297,0.028,387,1866
179,0.193,0.235,0.429,0.343,0.844,300,1310
180,0.254,0.599,0.761,0.403,0.284,783,943
181,0.165,0.361,0.848,0.024,0.593,99,963
182,0.825,0.26,0.137,0.316,0.157,571,1158
183,0.708,0.367,0.371,0.683,0.192,254,480
184,0.439,0.728,0.388,0.965,0.589,33,1812
185,0.425,0.505,0.83,0.486,0.053,33,548
186,0.828,0.591,0.682,0.829,0.871,559,715
187,0.848,0.176,0.942,0.194,0.887,286,325
188,0.424,0.021,0.419,0.637,0.572,123,1475
189,0.04,0.45,0.963,0.532,0.556,931,968
190,0.79,0.125,0.773,0.862,0.193,344,933
191,0.58,0.231,0.314,0.178,0.268,937,1232
192,0.242,0.702,0.329,0.547,0.911,336,1436
193,0.559,0.582,0.48,0.793,0.399,145,850
194,0.088,0.194,0.676,0.98,0.077,799,1042
195,0.632,0.183,0.267,0.31,0.61,533,1129
196,0.504,0.618,0.532,1.0,0.859,483,1407
197,0.594,0.14,0.257,0.892,0.049,395,1941
198,0.608,0.349,0.623,0.943,0.332,235,1271
199,0.355,0.947,0.009,0.602,0.467,567,842
200,0.108,0.827,0.492,0.698,0.937,696,1533
201,0.826,0.061,0.533,0.338,0.55,372,1513
202,0.626,0.079,0.297,0.074,0.8,412,559
203,0.415,0.044,0.541,0.507,0.914,101,467
204,0.582,0.287,0.089,0.313,0.214,779,815
205,0.803,0.665,0.942,0.306,0.675,428,1706
206,0.487,0.875,0.983,0.596,0.571,910,1203
207,0.215,0.282,0.798,0.425,0.249,429,447
208,0.454,0.61,0.849,0.177,0.119,901,1689
209,0.801,0.744,0.849,0.468,0.769,785,830
210,0.781,0.441,0.905,0.086,0.682,603,1031
211,0.495,0.257,0.808,0.007,0.267,421,1897
212,0.713,0.518,0.646,0.97,0.513,705,942
213,0.439,0.187,0.26,0.871,0.284,995,1635
214,0.025,0.688,0.305,0.727,0.19,230,442
215,0.48,0.049,0.111,0.798,0.421,427,1169
216,0.92,0.177,0.121,0.075,0.292,869,946
217,0.499,0.843,0.795,0.139,0.132,927,1012
218,0.068,0.655,0.221,0.216,0.077,928,1763
219,0.733,0.498,0.985,0.92,0.342,56,1763
220,0.95,0.806,0.265,0.66,0.106,955,1359
221,0.359,0.577,0.154,0.445,0.772,342,812
222,0.639,0.032,0.062,0.402,0.381,381,853
223,0.499,0.896,0.762,0.237,0.879,364,1803
224,0.758,0.09,0.397,0.051,0.438,650,906
225,0.996,0.336,0.379,0.371,0.547,851,1198
226,0.526,0.409,0.585,0.381,0.533,86,662
227,0.324,0.035,0.341,0.64,0.273,481,1244
228,0.147,0.171,0.933,0.009,0.849,991,1280
229,0.542,0.619,0.644,0.321,0.842,286,1224
230,0.293,0.824,0.056,0.27,0.738,332,745
231,0.584,0.683,0.507,0.438,0.841,76,1210
232,0.818,0.321,0.168,0.474,0.529,849,1788
233,0.746,0.548,0.91,0.857,0.079,3,1171
234,0.922,0.491,0.874,0.2,0.086,13,858
235,0.915,0.629,0.421,0.903,0.097,41,1441
236,0.031,0.108,0.489,0.816,0.242,928,943
237,0.263,0.004,0.749,0.682,0.711,112,1105
238,0.985,0.232,0.659,0.667,0.49,406,1783
239,0.3,0.752,0.695,0.773,0.404,283,632
240,0.813,0.047,0.995,0.92,0.361,913,1105
241,0.422,0.835,0.501,0.218,0.483,878,1749
242,0.419,0.382,0.208,0.953,0.378,438,1448
243,0.672,0.198,0.882,0.791,0.183,179,300
244,0.236,0.922,0.913,0.019,0.908,448,1652
245,0.891,0.397,0.271,0.122,0.816,656,816
246,0.09,0.664,0.056,0.76,0.993,589,1434
247,0.327,0.039,0.863,0.054,0.203,947,990
248,0.517,0.941,0.499,0.58,0.699,306,770
249,0.926,0.651,0.442,0.02,0.28,362,1755
250,0.285,0.482,0.118,0.667,0.061,522,1634
251,0.24,0.112,0.664,0.345,0.121,958,1649
252,0.885,0.831,0.334,0.992,0.271,438,1920
253,0.694,0.293,0.878,0.994,0.478,122,1121
254,0.056,0.784,0.321,0.917,0.59,342,1815
255,0.468,0.049,0.515,0.527,0.42,496,1099
256,0.222,0.741,0.335,0.821,0.099,151,1380
257,0.72,0.809,0.009,0.13,0.533,429,927
258,0.705,0.862,0.993,0.588,0.222,353,1265
259,0.124,0.23,0.829,0.938,0.532,403,600
260,0.65,0.822,0.267,0.75,0.433,384,1613
261,0.098,0.701,0.132,0.207,0.992,607,865
262,0.832,0.021,0.848,0.717,0.803,542,543
263,0.087,0.868,0.641,0.63,0.788,174,1037
264,0.604,0.302,0.91,0.696,0.698,781,810
265,0.233,0.034,0.829,0.863,0.098,740,1764
266,0.692,0.312,0.228,0.267,0.307,397,583
267,0.625,0.631,0.254,0.002,0.096,236,756
268,0.099,0.099,0.181,0.079,0.118,178,1587
269,0.852,0.216,0.642,0.447,0.987,549,1008
270,0.615,0.389,0.58,0.807,0.88,185,479
271,0.365,0.27,0.198,0.557,0.47,228,590
272,0.155,0.512,0.951,0.534,0.681,992,1152
273,0.504,0.889,0.283,0.811,0.001,346,677
274,0.462,0.915,0.256,0.608,0.384,838,1073
275,0.219,0.691,0.377,0.361,0.428,460,1233
276,0.308,0.822,0.499,0.108,0.291,138,500
277,0.963,0.054,0.962,0.19,0.72,368,1544
278,0.619,0.009,0.301,0.48,0.953,741,1740
279,0.657,0.454,0.236,0.823,0.457,246,958
280,0.393,0.304,0.798,0.766,0.24,426,1489
281,0.768,0.316,0.643,0.38,0.0,75,556
282,0.942,0.984,0.633,0.461,0.155,516,1632
283,0.919,0.326,0.508,0.162,0.716,683,1986
284,0.722,0.865,0.68,0.507,0.63,551,1430
285,0.066,0.422,0.634,0.798,0.221,619,1542
286,0.75,0.708,0.632,0.217,0.505,922,1606
287,0.78,0.549,0.251,0.125,0.688,535,1364
288,0.702,0.33,0.253,0.668,0.625,239,1587
289,0.307,0.767,0.832,0.565,0.321,986,1948
290,0.412,0.945,0.929,0.414,0.67,13,1614
291,0.481,0.945,0.114,0.919,0.009,171,1785
292,0.832,0.014,0.641,0.243,0.054,609,1747
293,0.51,0.987,0.617,0.836,0.536,323,471
294,0.096,0.569,0.192,0.212,0.841,558,885
295,0.998,0.974,0.57,0.846,0.998,675,1605
296,0.257,0.068,0.409,0.293,0.733,356,500
297,0.673,0.627,0.871,0.276,0.386,746,1099
298,0.808,0.043,0.398,0.713,0.149,929,1162
299,0.426,0.388,0.185,0.837,0.989,518,772
300,0.804,0.049,0.066,0.335,0.164,349,845
301,0.52,0.592,0.567,0.636,0.727,124,1106
302,0.239,0.344,0.765,0.931,0.631,406,1485
303,0.269,0.158,0.195,0.462,0.561,819,1227
304,0.162,0.479,0.011,0.924,0.892,327,1112
305,0.026,0.447,0.518,0.491,0.437,599,1053
306,0.932,0.11,0.612,0.265,0.832,229,1125
307,0.793,0.394,0.234,0.978,0.97,632,1219
308,0.582,0.964,0.311,0.414,0.23,536,1925
309,0.368,0.563,0.877,0.937,0.958,449,1575
310,0.444,0.131,0.009,0.863,0.057,428,1965
311,0.672,0.995,0.614,0.945,0.753,60,1531
312,0.184,0.78,0.375,0.18,0.189,670,1054
313,0.779,0.671,0.523,0.002,0.398,509,864
314,0.405,0.353,0.704,0.014,0.654,182,1849
315,0.391,0.048,0.621,0.94,0.519,6,975
316,0.876,0.813,0.875,0.469,0.905,919,1910
317,0.277,0.293,0.491,0.953,0.254,771,1682
318,0.755,0.845,0.966,0.361,0.791,149,203
319,0.716,0.872,0.431,0.493,0.114,193,980
320,0.314,0.43,0.43,0.717,0.243,2,1006
321,0.172,0.501,0.388,0.886,0.019,623,625
322,0.849,0.195,0.36,0.727,0.606,361,1876
323,0.588,0.872,0.852,0.993,0.899,733,1078
324,0.209,0.416,0.119,0.652,0.789,555,1361
325,0.485,0.525,0.509,0.792,0.591,390,1623
326,0.844,0.693,0.904,0.112,0.265,672,1600
327,0.274,0.588,0.231,0.397,0.86,280,1151
328,0.602,0.588,0.611,0.697,0.36,168,1418
329,0.801,0.904,0.905,0.217,0.502,194,1193
330,0.094,0.43,0.482,0.785,0.775,227,1219
331,0.601,0.795,0.386,0.47,0.367,951,1369
332,0.64,0.668,0.232,0.52,0.987,160,656
333,0.475,0.334,0.808,0.862,0.973,232,388
334,0.855,0.284,0.109,0.713,0.441,309,1615
335,0.157,0.715,0.066,0.459,0.699,86,1088
336,0.372,0.669,0.989,0.161,0.034,675,1459
337,0.665,0.222,0.079,0.668,0.681,490,1958
338,0.667,0.356,0.88,0.916,0.719,759,865
339,0.175,0.34,0.255,0.192,0.858,224,1699
340,0.731,0.937,0.786,0.532,0.543,20,807
341,0.563,0.028,0.065,0.616,0.519,875,1415
342,0.436,0.304,0.745,0.669,0.151,538,1062
343,0.182,0.986,0.563,0.609,0.296,405,645
344,0.827,0.445,0.458,0.385,0.781,677,1293
345,0.871,0.276,0.907,0.587,0.277,670,1092
346,0.863,0.564,0.751,0.764,0.389,984,1540
347,0.681,0.238,0.591,0.572,0.248,774,1721
348,0.706,0.377,0.832,0.629,0.499,978,1977
349,0.049,0.311,0.045,0.336,0.137,926,1428
350,0.135,0.471,0.575,0.637,0.293,225,1510
351,0.494,0.706,0.733,0.405,0.105,178,360
352,0.015,0.97,0.581,0.784,0.69,524,1222
353,0.119,0.959,0.802,0.11,0.617,438,1706
354,0.797,0.778,0.089,0.203,0.703,11,1256
355,0.769,0.831,0.657,0.632,0.425,255,1191
356,0.083,0.814,0.099,0.947,0.481,314,1395
357,0.194,0.226,0.332,0.203,0.041,750,1541
358,0.634,0.186,0.133,0.519,0.11,470,603
359,0.595,0.845,0.145,0.18,0.863,188,459
360,0.383,0.35,0.888,0.389,0.781,607,704
361,0.738,0.941,0.141,0.029,0.36,942,1651
362,0.403,0.696,0.179,0.931,0.249,205,373
363,0.666,0.973,0.474,0.758,0.746,638,1469
364,0.398,0.469,0.767,0.966,0.871,0,1541
365,0.425,0.846,0.346,0.337,0.578,175,651
366,0.898,0.25,0.088,0.469,0.288,957,1107
367,0.829,0.553,0.467,0.359,0.808,190,1955
368,0.202,0.687,0.289,0.264,0.15,876,1286
369,0.198,0.892,0.348,0.764,0.073,768,1838
370,0.294,0.367,0.962,0.364,0.753,580,1075
371,0.323,0.619,0.135,0.536,0.185,571,674
372,0.307,0.535,0.257,0.65,0.334,989,1895
373,0.322,0.675,0.02,0.917,0.263,295,1445
374,0.175,0.837,0.307,0.268,0.526,925,1748
375,0.329,0.649,0.18,0.136,0.979,21,928
376,0.547,0.481,0.799,0.356,0.228,909,1628
377,0.18,0.368,0.738,0.216,0.712,186,1897
378,0.012,0.651,0.533,0.875,0.12,651,1763
379,0.479,0.791,0.898,0.345,0.708,833,1994
380,0.394,0.033,0.81,0.501,0.591,437,805
381,0.895,0.596,0.377,0.103,0.097,530,908
382,0.673,0.466,0.356,0.587,0.031,859,1782
383,0.226,0.745,0.075,0.822,0.758,636,1993
384,0.827,0.391,0.53,0.939,0.082,111,1612
385,0.724,0.854,0.493,0.905,0.841,746,1919
386,0.771,0.523,0.916,0.238,0.009,611,1185
387,0.294,0.145,0.424,0.869,0.242,920,1359
388,0.099,0.977,0.248,0.615,0.603,920,1226
389,0.113,0.099,0.057,0.414,0.535,574,1100
390,0.983,0.149,0.169,0.929,0.717,390,1533
391,0.823,0.318,0.159,0.223,0.352,534,1551
392,0.375,0.713,0.538,0.789,0.133,273,1849
393,0.817,0.194,0.242,0.19,0.441,767,967
394,0.949,0.438,0.328,0.968,0.685,285,644
395,0.292,0.255,0.593,0.501,0.536,402,1007
396,0.071,0.895,0.906,0.08,0.718,676,927
397,0.627,0.629,0.554,0.36,0.204,682,1184
398,0.383,0.088,0.641,0.755,0.796,22,889
399,0.534,0.613,0.807,0.69,0.545,271,597
400,0.408,0.959,0.123,0.958,0.97,195,612
401,0.936,0.986,0.686,0.897,0.626,583,1809
402,0.325,0.298,0.109,0.967,0.302,882,1465
403,0.848,0.236,0.304,0.366,0.638,20,272
404,0.858,0.676,1.0,0.031,0.66,152,1974
405,0.408,0.437,0.603,0.343,0.974,467,1574
406,0.241,0.088,0.017,0.43,0.439,262,391
407,0.825,0.779,0.916,0.111,0.218,895,1152
408,0.854,0.638,0.36,0.595,0.301,39,348
409,0.12,0.739,0.402,0.848,0.549,917,1522
410,0.557,0.912,0.57,0.804,0.732,2,1924
411,0.592,0.801,0.15,0.317,0.051,345,1767
412,0.347,0.253,0.304,0.713,0.822,291,836
413,0.052,0.583,0.482,0.105,0.183,35,229
414,0.015,0.418,0.922,0.244,0.355,421,1700
415,0.605,0.571,0.361,0.873,0.477,272,851
416,0.431,0.365,0.914,0.299,0.424,869,1154
417,0.908,0.066,0.04,0.384,0.828,168,1948
418,0.618,0.752,0.129,0.172,0.843,799,1349
419,0.395,0.182,0.96,0.666,0.878,600,751
420,0.179,0.734,0.968,0.102,0.286,53,553
421,0.801,0.279,0.685,0.998,0.345,760,1660
422,0.37,0.563,0.045,0.55,0.242,571,1142
423,0.908,0.046,0.438,0.745,0.111,337,1907
424,0.719,0.569,0.454,0.605,0.45,171,697
425,0.88,0.863,0.131,0.55,0.222,613,987
426,0.697,0.187,0.539,0.765,0.115,379,1912
427,0.463,0.786,0.595,0.848,0.493,851,862
428,0.563,0.72,0.96,0.563,0.723,439,1011
429,0.156,0.174,0.718,0.2,0.407,205,1613
430,0.617,0.523,0.648,0.516,0.922,834,1523
431,0.269,0.783,0.44,0.721,0.914,854,1070
432,0.964,0.062,0.715,0.769,0.029,642,1692
433,0.839,0.274,0.184,0.507,0.356,215,1395
434,0.569,0.604,0.493,0.633,0.683,172,657
435,0.408,0.718,0.647,0.293,0.415,377,763
436,0.88,0.387,0.912,0.44,0.504,898,1400
437,0.915,0.212,0.862,0.02,0.459,302,735
438,0.248,0.587,0.328,0.801,0.326,820,1449
439,0.288,0.142,0.517,0.976,0.638,461,1603
440,0.684,0.578,0.398,0.878,0.638,773,834
441,0.803,0.971,0.696,0.789,0.614,37,998
442,0.492,0.636,0.867,0.769,0.55,402,1179
443,0.893,0.856,0.544,0.674,0.555,753,1684
444,0.204,0.552,0.112,0.895,0.797,260,418
445,0.213,0.059,0.213,0.589,0.634,281,1134
446,0.468,0.863,0.77,0.44,0.128,179,1782
447,0.926,0.455,0.796,0.71,0.4,178,1116
448,0.259,0.195,0.102,0.934,0.811,62,1558
449,0.346,0.685,0.944,0.54,0.845,273,1845
450,0.265,0.652,0.116,0.954,0.312,678,1647
451,0.066,0.688,0.052,0.376,0.011,957,1464
452,0.245,0.063,0.679,0.074,0.311,246,1306
453,0.389,0.68,0.589,0.687,0.081,448,1204
454,0.907,0.377,0.958,0.748,0.882,752,903
455,0.939,0.579,0.947,0.166,0.998,918,1654
456,0.027,0.371,0.595,0.436,0.414,540,702
457,0.627,0.774,0.058,0.928,0.197,488,1801
458,0.248,0.988,0.198,0.395,0.773,59,552
459,0.934,0.735,0.499,0.9,0.006,884,1808
460,0.953,0.552,0.211,0.412,0.828,57,661
461,0.564,0.8,0.368,0.517,0.068,809,1886
462,0.059,0.642,0.685,0.017,0.603,113,1643
463,0.895,0.724,0.922,0.003,0.838,417,1494
464,0.171,0.565,0.249,0.446,0.448,696,1981
465,0.866,0.417,0.475,0.554,0.125,462,1952
466,0.629,0.338,0.158,0.919,0.796,64,580
467,0.787,0.048,0.995,0.468,0.138,531,1815
468,0.833,0.121,0.573,0.794,0.95,664,1396
469,0.138,0.32,0.492,0.871,0.494,83,1818
470,0.717,0.219,0.146,0.314,0.605,97,414
471,0.607,0.272,0.13,0.949,0.646,962,1200
472,0.142,0.551,0.293,0.514,0.476,270,445
473,0.38,0.993,0.116,0.716,0.216,747,787
474,0.805,0.863,0.325,0.89,0.852,709,752
475,0.545,0.179,0.343,0.848,0.248,218,759
476,0.355,0.402,0.09,0.764,0.133,963,1781
477,0.311,0.303,0.048,0.21,0.519,246,1899
478,0.273,0.97,0.906,0.912,0.912,154,818
479,0.0,0.244,0.006,0.457,0.473,174,841
480,0.574,0.327,0.493,0.035,0.419,435,804
481,0.571,0.118,0.821,0.064,0.018,314,1300
482,0.428,0.951,0.063,0.642,0.927,269,1798
483,0.736,0.732,0.985,0.672,0.916,89,1704
484,0.372,0.146,0.648,0.702,0.648,556,1209
485,0.348,0.506,0.893,0.195,0.556,958,1295
486,0.621,0.487,0.526,0.475,0.746,24,1345
487,0.38,0.568,0.524,0.156,0.2,158,1912
488,0.502,0.645,0.164,0.115,0.555,921,1883
489,0.665,0.812,0.267,0.234,0.861,274,957
490,0.475,0.115,0.504,0.194,0.918,997,1752
491,0.015,0.55,0.859,0.727,0.253,377,432
492,0.019,0.988,0.776,0.111,0.575,753,1845
493,0.576,0.507,0.079,0.018,0.759,910,1597
494,0.355,0.933,0.628,0.081,0.017,788,1525
495,0.226,0.548,0.163,0.278,0.868,519,544
496,0.199,0.139,0.836,0.148,0.145,726,892
497,0.687,0.746,0.102,0.583,0.737,621,861
498,0.748,0.023,0.101,0.644,0.966,212,1384
499,0.937,0.428,0.449,0.859,0.104,519,1881
500,0.006,0.192,0.734,0.735,0.835,350,803
501,0.167,0.093,0.472,0.187,0.404,11,653
502,0.442,0.941,0.863,0.676,0.624,906,1855
503,0.623,0.012,0.76,0.698,0.813,503,1773
504,0.971,0.314,0.93,0.725,0.018,389,935
505,0.963,0.065,0.183,0.169,0.295,348,434
506,0.316,0.797,0.215,0.234,0.54,641,1376
507,0.162,0.967,0.004,0.885,0.222,876,1545
508,0.284,0.486,0.199,0.286,0.185,569,1467
509,0.165,0.69,0.315,0.448,0.333,347,579
510,0.173,0.513,0.34,0.363,0.849,457,526
511,0.322,0.53,0.116,0.304,0.474,938,1046
512,0.994,0.488,0.55,0.107,0.268,87,607
513,0.431,0.765,0.427,0.123,0.161,672,1221
514,0.102,0.881,0.746,0.759,0.236,482,933
515,0.087,0.459,0.105,0.352,0.279,472,1800
516,0.451,0.092,0.213,0.81,0.478,926,1357
517,0.99,0.508,0.896,0.959,0.289,843,1811
518,0.203,0.915,0.754,0.986,0.809,478,1844
519,0.057,0.025,0.646,0.934,0.086,29,1454
520,0.289,0.246,0.483,0.493,0.345,718,1229
521,0.082,0.464,0.064,0.893,0.547,864,1717
522,0.126,0.828,0.239,0.303,0.073,698,1885
