id,x,y,ts_in,ts_out
156,0.695,0.356,173,1302
157,0.177,0.318,264,1468
158,0.609,0.285,852,1415
159,0.277,0.363,558,1887
160,0.796,0.298,177,713
161,0.266,0.118,328,1332
162,0.615,0.221,435,544
163,0.382,0.221,176,1703
164,0.546,0.619,994,1417
165,0.92,0.909,565,1401
166,0.606,0.766,83,722
167,0.929,0.378,403,920
168,0.866,0.035,190,1587
169,0.257,0.679,559,1979
170,0.005,0.589,737,1927
171,0.778,0.55,232,1162
172,0.185,0.089,260,380
173,0.673,0.848,670,948
174,0.461,0.034,711,1981
175,0.192,0.996,392,730
176,0.138,0.153,83,1377
177,0.479,0.087,669,921
178,0.255,0.37,292,594
179,0.121,0.624,529,695
180,0.544,0.612,793,1395
181,0.431,0.477,554,1150
182,0.305,0.691,219,1853
183,0.751,0.36,407,1776
184,0.675,0.444,912,1512
185,0.567,0.123,340,1422
186,0.878,0.53,140,596
187,0.55,0.313,801,1080
188,0.357,0.41,597,1998
189,0.231,0.769,490,1964
190,0.328,0.903,610,1368
191,0.793,0.361,873,1125
192,0.959,0.947,640,783
193,0.848,0.074,245,1976
194,0.621,0.797,983,1826
195,0.516,0.056,482,1567
196,0.676,0.379,398,854
197,0.054,0.394,816,1755
198,0.634,0.942,116,1318
199,0.377,0.07,787,1308
200,0.2,0.021,660,1407
201,0.494,0.037,316,449
202,0.671,0.62,292,1706
203,0.569,0.563,955,1654
204,0.687,0.46,148,1460
205,0.392,0.385,882,903
206,0.733,0.777,457,1052
207,0.363,0.014,836,1784
208,0.565,0.292,971,1437
209,0.799,0.03,48,594
210,0.75,0.021,356,487
211,0.856,0.035,406,1558
212,0.7,0.714,192,1783
213,0.244,0.673,91,1913
214,0.795,0.904,577,772
215,0.304,0.379,823,1525
216,0.514,0.429,978,1716
217,0.324,0.365,927,1413
218,0.868,0.517,309,1833
219,0.577,0.384,810,1443
220,0.114,0.505,516,1143
221,0.03,0.507,947,1887
222,0.474,0.165,351,1779
223,0.766,0.208,466,1467
224,0.877,0.892,248,350
225,0.248,0.677,882,1200
226,0.523,0.684,569,1261
227,0.155,0.807,96,1417
228,0.276,0.5,830,1362
229,0.903,0.277,495,1373
230,0.681,0.761,115,1935
231,0.748,0.902,419,1208
232,0.503,0.925,531,1866
233,0.305,0.767,677,1811
234,0.471,0.371,890,1675
235,0.092,0.624,982,1605
236,0.796,0.218,783,1948
237,0.975,0.704,448,1951
238,0.106,0.125,569,1747
239,0.771,0.748,813,1749
240,0.26,0.654,265,1393
241,0.185,0.964,438,506
242,0.849,0.253,797,1955
243,0.856,0.244,552,1237
244,0.853,0.165,88,1725
245,0.626,0.396,201,1433
246,0.437,0.405,635,1350
247,0.508,0.027,691,793
248,0.465,0.662,534,697
249,0.053,0.095,154,344
250,0.762,0.974,535,1807
251,0.956,0.406,815,1058
252,0.576,0.346,583,823
253,0.381,0.227,308,1841
254,0.229,0.31,768,1342
255,0.9,0.751,813,952
256,0.779,0.83,860,1486
257,0.95,0.252,616,1718
258,0.944,0.799,551,575
259,0.066,0.279,267,813
260,0.919,0.096,656,1561
261,0.345,0.411,559,1676
262,0.439,0.791,835,1963
263,0.538,0.649,7,1865
264,0.224,0.1,861,1186
265,0.164,0.203,190,1420
266,0.776,0.268,774,1636
267,0.953,0.102,254,647
268,0.749,0.247,367,1333
269,0.597,0.135,284,1187
270,0.179,0.634,527,1785
271,0.68,0.929,65,1563
272,0.652,0.196,614,1609
273,0.904,0.693,305,1060
274,0.291,0.29,753,1853
275,0.166,0.768,620,1505
276,0.615,0.082,316,1893
277,0.275,0.431,773,1910
278,0.411,0.631,183,810
279,0.731,0.367,408,1575
280,0.389,0.141,928,1686
281,0.021,0.847,621,841
282,0.319,0.074,113,1221
283,0.826,0.167,180,1233
284,0.721,0.948,603,1378
285,0.993,0.325,560,1518
286,0.289,0.443,358,858
287,0.826,0.022,622,1383
288,0.863,0.522,628,1418
289,0.925,0.036,759,1266
290,0.771,0.336,185,855
291,0.052,0.191,242,465
292,0.646,0.37,213,588
293,0.607,0.973,353,526
294,0.666,0.784,514,609
295,0.616,0.778,13,904
296,0.12,0.77,833,1188
297,0.03,0.856,142,1608
298,0.181,0.772,398,1658
299,0.213,0.043,474,1311
300,0.547,0.601,850,882
301,0.749,0.914,146,443
302,0.411,0.61,832,1952
303,0.278,0.976,894,1429
304,0.766,0.657,733,1495
305,0.651,0.605,252,1440
306,0.228,0.225,411,1197
307,0.305,0.675,196,722
308,0.581,0.5,264,1729
309,0.985,0.336,555,956
310,0.894,0.422,666,1665
311,0.656,0.099,155,914
312,0.965,0.603,726,1171
313,0.16,0.929,470,584
314,0.974,0.045,26,1904
315,0.023,0.221,660,1713
316,0.311,0.778,808,1091
317,0.064,0.507,378,1119
318,0.678,0.237,409,1313
319,0.667,0.16,440,1185
320,0.615,0.61,355,1366
321,0.839,0.529,85,880
322,0.788,0.559,138,460
323,0.552,0.936,368,1963
324,0.574,0.686,375,1035
325,0.646,0.737,378,1567
326,0.387,0.636,748,1335
327,0.542,0.464,605,675
328,0.762,0.405,774,924
329,0.884,0.605,227,803
330,0.018,0.502,913,1342
331,0.606,0.168,765,1910
332,0.223,0.945,560,1671
333,0.405,0.05,287,1541
334,0.441,0.32,225,948
335,0.628,0.917,505,956
336,0.76,0.526,357,1834
337,0.147,0.061,277,765
338,0.676,0.659,731,861
339,0.354,0.09,287,591
340,0.732,0.568,337,1740
341,0.083,0.175,372,1599
342,0.492,0.311,453,812
343,0.235,0.84,632,968
344,0.775,0.184,211,712
345,0.091,0.734,238,1111
346,0.637,0.343,320,1994
347,0.329,0.316,481,1847
348,0.833,0.492,402,600
349,0.595,0.359,405,429
350,0.981,0.038,215,1745
351,0.807,0.802,303,1156
352,0.222,0.591,912,1536
353,0.849,0.879,516,1840
354,0.018,0.97,365,1954
355,0.783,0.368,721,1188
356,0.828,0.38,68,1210
357,0.982,0.905,104,254
358,0.536,0.152,206,1457
359,0.13,0.086,295,1466
360,0.39,0.288,354,1419
361,0.364,0.41,920,1159
362,0.38,0.11,504,615
363,0.329,0.783,638,864
364,0.785,0.292,208,1677
365,0.1,0.469,592,1100
366,0.131,0.948,434,617
367,0.713,0.837,72,1731
368,0.928,0.933,337,349
369,0.611,0.076,325,356
370,0.851,0.188,406,1244
371,0.459,0.507,536,1512
372,0.689,0.846,87,236
373,0.546,0.452,92,1668
374,0.502,0.465,939,1530
375,0.536,0.435,520,1391
376,0.334,0.479,579,1421
377,0.213,0.791,834,1630
378,0.441,0.71,887,1735
379,0.085,0.745,626,1731
380,0.042,0.901,650,1180
381,0.493,0.38,532,1633
382,0.438,0.766,608,827
383,0.739,0.586,230,1137
384,0.689,0.854,724,1601
385,0.054,0.662,487,632
386,0.929,0.321,281,1149
387,0.744,0.356,61,1559
388,0.496,0.379,116,1287
389,0.44,0.149,601,1009
390,0.114,0.187,307,1617
391,0.065,0.355,282,746
392,0.259,0.274,779,1791
393,0.659,0.259,186,1036
394,0.671,0.059,607,1124
395,0.403,0.536,489,1599
396,0.188,0.74,106,1148
397,0.38,0.882,154,627
398,0.173,0.555,309,1913
399,0.22,0.295,7,1594
400,0.995,0.948,562,1387
401,0.785,0.175,748,1488
402,0.909,0.291,495,1808
403,0.031,0.762,217,1610
404,0.887,0.721,560,1737
405,0.242,0.355,375,1345
406,0.579,0.344,198,1481
407,0.555,0.062,674,989
408,0.903,0.663,352,360
409,0.208,0.874,179,1711
410,0.721,0.241,876,1392
411,0.535,0.022,933,1689
412,0.051,0.345,854,1779
413,0.725,0.429,364,1356
414,0.83,0.867,683,1500
415,0.749,0.239,726,1724
416,0.503,0.907,359,1201
417,0.06,0.896,973,1388
418,0.814,0.39,491,666
419,0.668,0.185,479,1523
420,0.726,0.694,630,1951
421,0.211,0.805,240,1952
422,0.426,0.805,460,848
423,0.234,0.747,51,515
424,0.998,0.952,81,1464
425,0.294,0.166,536,989
426,0.332,0.654,927,1796
427,0.343,0.389,862,1178
428,0.094,0.852,407,1401
429,0.692,0.469,325,942
430,0.836,0.903,789,1809
431,0.229,0.488,947,965
432,0.682,0.442,39,1641
433,0.778,0.54,851,1237
434,0.387,0.144,641,1317
435,0.108,0.458,244,1568
436,0.995,0.834,500,1993
437,0.768,0.789,902,1204
438,0.268,0.378,321,1506
439,0.799,0.056,361,457
440,0.143,0.073,15,1484
441,0.26,0.034,481,1661
442,0.226,0.668,341,1365
443,0.781,0.839,209,1865
444,0.362,0.157,950,1335
445,0.934,0.266,933,1872
446,0.165,0.876,857,1071
447,0.673,0.604,380,493
448,0.824,0.102,572,1051
449,0.572,0.07,595,780
450,0.863,0.84,311,1258
451,0.683,0.504,789,1025
452,0.886,0.142,514,1173
453,0.794,0.245,632,781
454,0.176,0.623,971,1274
455,0.573,0.794,30,79
456,0.753,0.191,433,585
457,0.523,0.057,272,1984
458,0.362,0.068,349,473
459,0.856,0.006,243,1498
460,0.66,0.382,553,1408
461,0.143,0.745,387,1632
462,0.416,0.65,578,1320
463,0.305,0.978,467,859
464,0.799,0.841,905,1756
465,0.059,0.68,404,1025
466,0.59,0.794,772,1621
467,0.642,0.566,323,515
468,0.262,0.179,864,1444
469,0.027,0.345,199,818
470,0.098,0.937,897,1390
471,0.299,0.117,46,1273
472,0.082,0.527,471,502
473,0.894,0.07,110,170
474,0.566,0.47,736,1348
475,0.589,0.768,409,1541
476,0.978,0.919,831,1205
477,0.839,0.915,804,1309
478,0.007,0.691,217,1629
479,0.569,0.861,226,589
480,0.798,0.837,978,1366
481,0.208,0.598,346,810
482,0.138,0.695,646,1283
483,0.44,0.827,882,1625
484,0.114,0.988,598,1607
485,0.627,0.348,673,1861
486,0.297,0.683,654,1941
487,0.597,0.337,920,1015
488,0.177,0.335,42,1973
489,0.828,0.2,810,1276
490,0.321,0.041,936,1643
491,0.608,0.322,123,1979
492,0.566,0.108,219,961
493,0.983,0.946,722,1599
494,0.631,0.353,777,1558
495,0.079,0.112,956,1835
496,0.952,0.158,132,190
497,0.025,0.574,507,1728
498,0.474,0.914,512,1345
499,0.44,0.642,722,1993
500,0.029,0.041,367,1778
501,0.13,0.991,0,121
502,0.541,0.608,777,1346
503,0.236,0.11,121,393
504,0.852,0.351,186,658
505,0.293,0.27,34,809
506,0.756,0.753,746,951
507,0.54,0.012,834,1894
508,0.02,0.497,483,1196
509,0.843,0.706,417,1132
510,0.024,0.195,458,1976
511,0.921,0.925,86,1888
512,0.41,0.77,807,1876
513,0.813,0.455,362,1327
514,0.903,0.422,504,708
515,0.598,0.154,712,1208
516,0.14,0.19,38,1074
517,0.378,0.873,67,1693
518,0.489,0.053,687,1166
519,0.921,0.981,588,1270
520,0.049,0.106,407,1530
521,0.3,0.266,483,1776
522,0.33,0.163,74,211
523,0.465,0.161,485,1942
524,0.218,0.083,68,1951
525,0.687,0.103,742,1020
526,0.237,0.361,112,1624
527,0.978,0.273,888,1195
528,0.477,0.321,573,1650
529,0.387,0.235,121,773
530,0.924,0.418,397,431
531,0.946,0.969,827,1545
532,0.878,0.626,413,1686
533,0.122,0.396,920,1643
534,0.256,0.187,513,1372
535,0.917,0.364,547,1745
536,0.725,0.987,990,1049
537,0.477,0.509,775,1897
538,0.909,0.903,302,844
539,0.594,0.957,193,742
540,0.461,0.126,31,357
541,0.385,0.835,358,1208
542,0.662,0.891,452,1970
543,0.566,0.664,980,1953
544,0.09,0.802,465,1738
545,0.08,0.025,497,1746
546,0.253,0.471,150,771
547,0.296,0.292,389,509
548,0.728,0.986,883,1252
549,0.021,0.214,110,1200
550,0.726,0.724,718,1933
551,0.955,0.623,373,1016
552,0.477,0.464,131,1755
553,0.048,0.98,300,1806
554,0.947,0.956,3,163
555,0.587,0.434,934,1536
556,0.837,0.431,321,463
557,0.439,0.426,338,1601
558,0.564,0.912,384,926
559,0.472,0.737,522,1185
560,0.499,0.678,639,1499
561,0.941,0.406,348,519
562,0.149,0.044,784,1462
563,0.56,0.373,330,1894
564,0.218,0.382,587,875
565,0.509,0.249,289,951
566,0.936,0.716,940,1883
567,0.068,0.149,963,1270
568,0.833,0.602,652,1215
569,0.874,0.683,605,1220
570,0.283,0.292,982,1852
571,0.157,0.255,924,1651
572,0.629,0.025,576,1277
573,0.964,0.017,884,1109
574,0.23,0.449,535,1132
575,0.667,0.939,984,1894
576,0.321,0.15,578,1171
577,0.473,0.93,573,1216
578,0.682,0.744,826,1647
579,0.871,0.024,649,1215
580,0.065,0.361,153,1700
581,0.232,0.335,721,873
582,0.453,0.082,844,877
583,0.156,0.701,89,1498
584,0.517,0.949,165,875
585,0.594,0.994,40,767
586,0.381,0.37,367,1358
587,0.427,0.498,269,1793
588,0.011,0.584,874,1904
589,0.98,0.792,685,868
590,0.743,0.121,433,1453
591,0.768,0.525,576,1312
592,0.507,0.984,711,781
593,0.525,0.767,947,1078
594,0.874,0.038,58,771
595,0.353,0.368,386,1696
596,0.196,0.092,216,1464
597,0.31,0.882,11,150
598,0.787,0.997,317,981
599,0.198,0.202,909,1452
600,0.344,0.734,588,1003
601,0.903,0.621,428,616
602,0.485,0.416,421,1635
603,0.047,0.922,371,1306
604,0.752,0.276,690,988
605,0.47,0.917,416,1831
606,0.435,0.694,405,586
607,0.694,0.671,319,1543
608,0.486,0.765,286,897
609,0.84,0.534,941,1864
610,0.655,0.744,669,1140
611,0.358,0.049,297,682
612,0.885,0.132,402,1238
613,0.511,0.887,898,1368
614,0.748,0.801,418,1461
615,0.496,0.032,108,581
616,0.37,0.599,996,1014
617,0.843,0.594,69,1615
618,0.515,0.651,270,1347
619,0.504,0.243,720,1368
620,0.556,0.556,464,1962
621,0.878,0.732,39,220
622,0.563,0.551,716,1262
623,0.137,0.026,967,1462
624,0.628,0.817,257,1283
625,0.315,0.118,887,1999
626,0.482,0.318,415,1596
627,0.811,0.554,969,1827
628,0.323,0.627,537,710
629,0.058,0.356,887,1232
630,0.285,0.291,540,1254
631,0.73,0.481,84,774
632,0.388,0.285,990,1194
633,0.35,0.411,296,1362
634,0.189,0.186,622,1033
635,0.367,0.528,999,1860
636,0.287,0.945,403,1691
637,0.833,0.635,63,1324
638,0.614,0.188,852,1807
639,0.0,0.619,237,960
640,0.658,0.73,552,1715
641,0.582,0.208,468,1180
642,0.168,0.091,291,1349
643,0.436,0.713,833,1227
644,0.821,0.276,179,755
645,0.072,0.894,645,1918
646,0.578,0.361,376,749
647,0.744,0.529,553,571
648,0.428,0.073,401,672
649,0.504,0.836,809,1512
650,0.052,0.808,668,1400
651,0.496,0.575,627,1356
652,0.766,0.453,423,1885
653,0.914,0.535,781,916
654,0.488,0.505,65,1261
655,0.143,0.745,308,797
656,0.418,0.922,205,447
657,0.169,0.951,122,1333
658,0.248,0.409,282,1121
659,0.372,0.326,1,1604
660,0.709,0.086,217,1999
661,0.499,0.936,52,749
662,0.819,0.835,374,500
663,0.798,0.614,168,1748
664,0.869,0.152,691,1414
665,0.78,0.347,795,1974
666,0.495,0.559,776,1784
667,0.125,0.293,670,1691
668,0.334,0.013,620,1334
669,0.458,0.999,264,1748
670,0.951,0.152,898,934
671,0.662,0.004,396,1418
672,0.642,0.674,546,1864
673,0.511,0.353,523,541
674,0.121,0.607,533,1473
675,0.465,0.501,147,1728
676,0.205,0.769,747,960
677,0.461,0.964,528,1551
678,0.198,0.879,739,1410
679,0.92,0.442,169,1816
680,0.682,0.889,971,1515
681,0.883,0.281,466,996
682,0.793,0.747,270,1684
683,0.379,0.741,724,1607
684,0.151,0.81,505,1765
685,0.872,0.848,767,844
686,0.729,0.037,987,1299
687,0.27,0.863,257,1043
688,0.826,0.47,543,1371
689,0.023,0.315,96,671
690,0.002,0.787,764,1536
691,0.248,0.259,124,357
692,0.051,0.275,947,1265
693,0.499,0.24,466,919
694,0.418,0.644,706,1514
695,0.657,0.31,387,817
696,0.5,0.799,505,1430
697,0.125,0.582,876,888
698,0.539,0.143,88,752
699,0.16,0.515,104,1427
700,0.836,0.086,673,1821
701,0.469,0.929,693,1942
702,0.449,0.483,976,1134
703,0.296,0.167,460,1459
704,0.562,0.559,120,1453
705,0.27,0.217,563,1298
706,0.332,0.415,146,1577
707,0.082,0.483,233,1107
708,0.173,0.955,670,1085
709,0.787,0.117,173,1508
710,0.23,0.319,5,157
711,0.313,0.233,617,1133
712,0.276,0.094,407,1568
713,0.277,0.294,770,1124
714,0.395,0.155,353,437
715,0.69,0.594,606,1819
716,0.129,0.869,253,647
717,0.143,0.391,773,1580
718,0.887,0.622,884,915
719,0.618,0.707,961,1825
720,0.185,0.449,120,1655
721,0.74,0.163,792,971
722,0.383,0.636,941,963
723,0.068,0.984,88,329
724,0.067,0.9,879,1858
725,0.207,0.134,865,1650
726,0.718,0.863,75,721
727,0.012,0.745,200,1056
728,0.32,0.146,813,1343
729,0.994,0.351,522,948
730,0.752,0.403,473,1179
731,0.382,0.963,477,1182
732,0.114,0.657,544,1496
733,0.426,0.268,483,868
734,0.878,0.072,395,1917
735,0.739,0.198,348,1516
736,0.297,0.161,688,1497
737,0.867,0.571,958,1092
738,0.144,0.9,564,1030
739,0.669,0.931,97,390
740,0.659,0.537,8,1625
741,0.04,0.988,194,1843
742,0.84,0.229,700,1794
743,0.773,0.958,97,296
744,0.904,0.136,90,1313
745,0.336,0.861,15,709
746,0.802,0.812,711,2000
747,0.168,0.734,577,1024
748,0.972,0.754,483,550
749,0.078,0.526,340,1891
750,0.498,0.453,977,1204
751,0.101,0.819,845,1487
752,0.129,0.357,124,1343
753,0.406,0.033,463,1865
754,0.941,0.607,489,705
755,0.096,0.589,435,1332
756,0.992,0.951,157,1007
757,0.25,0.872,883,963
758,0.202,0.048,120,1561
759,0.681,0.969,935,1956
760,0.079,0.356,611,935
761,0.892,0.28,901,1450
762,0.103,0.658,748,1269
763,0.527,0.879,280,361
764,0.845,0.01,647,968
765,0.576,0.559,779,1121
766,0.59,0.211,813,1126
767,0.284,0.607,426,1299
768,0.538,0.582,231,958
769,0.806,0.064,817,1619
770,0.787,0.973,312,789
771,0.462,0.194,343,587
772,0.311,0.557,96,1479
773,0.048,0.195,878,889
774,0.91,0.436,0,1473
775,0.207,0.187,862,1374
776,0.245,0.167,646,1641
777,0.374,0.219,624,1895
778,0.286,0.843,761,1998
779,0.318,0.359,619,1421
780,0.63,0.332,150,1656
781,0.946,0.847,707,856
782,0.21,0.805,871,1198
783,0.029,0.019,383,1368
784,0.955,0.782,293,580
785,0.212,0.444,610,1022
786,0.006,0.301,134,1165
787,0.31,0.378,548,633
788,0.991,0.888,876,1494
789,0.962,0.67,134,1491
790,0.926,0.002,371,1318
791,0.487,0.409,847,1643
792,0.105,0.807,338,1611
793,0.436,0.986,485,1039
794,0.804,0.985,999,1870
795,0.984,0.416,848,1627
796,0.287,0.032,515,1646
797,0.604,0.367,446,951
798,0.903,0.738,29,1150
799,0.185,0.709,208,1985
800,0.965,0.409,500,1001
801,0.779,0.732,994,1151
802,0.691,0.509,722,860
803,0.168,0.698,142,1940
804,0.681,0.986,866,1601
805,0.357,0.327,697,1177
806,0.886,0.939,271,1419
807,0.144,0.323,904,1210
808,0.23,0.668,691,1228
809,0.068,0.692,20,1702
810,0.853,0.063,286,580
811,0.261,0.111,123,1895
812,0.597,0.301,436,610
813,0.297,0.125,396,1590
814,0.553,0.939,203,1896
815,0.892,0.851,313,760
816,0.871,0.327,831,1320
817,0.993,0.728,955,1869
818,0.963,0.65,675,882
819,0.286,0.253,900,1798
820,0.362,0.055,107,875
821,0.911,0.943,460,569
822,0.483,0.668,151,1333
823,0.55,0.309,394,1858
824,0.988,0.393,316,526
825,0.88,0.102,334,464
826,0.098,0.274,105,1011
827,0.181,0.582,377,953
828,0.56,0.377,689,1307
829,0.825,0.522,992,1364
830,0.051,0.394,356,1864
831,0.106,0.707,676,1916
832,0.799,0.353,859,1164
833,0.364,0.225,349,1598
834,0.701,0.219,612,1726
835,0.804,0.686,635,1714
836,0.094,0.914,207,1507
837,0.5,0.979,261,1048
838,0.27,0.113,550,616
839,0.321,0.983,294,1975
840,0.848,0.949,412,1509
841,0.405,0.082,73,1822
842,0.077,0.354,270,472
843,0.467,0.752,914,1912
844,0.033,0.143,928,963
845,0.413,0.19,993,1340
846,0.252,0.408,759,1304
847,0.672,0.281,705,1717
848,0.528,0.349,628,1856
849,0.096,0.44,480,1696
850,0.445,0.78,508,568
851,0.357,0.67,320,1939
852,0.571,0.64,239,1095
853,0.918,0.53,177,263
854,0.467,0.864,700,1556
855,0.957,0.467,847,1158
856,0.522,0.381,589,1808
857,0.751,0.377,920,1409
858,0.774,0.916,230,1204
859,0.768,0.722,521,1739
860,0.583,0.089,774,880
861,0.982,0.077,346,574
862,0.607,0.265,888,1606
863,0.864,0.042,372,1143
864,0.889,0.886,198,373
865,0.941,0.672,547,956
866,0.734,0.591,536,705
867,0.773,0.669,314,1299
868,0.258,0.974,185,1257
869,0.081,0.276,174,1184
870,0.131,0.731,389,1273
871,0.541,0.332,900,1752
872,0.658,0.878,664,925
873,0.125,0.141,786,1703
874,0.959,0.619,130,321
875,0.332,0.646,312,1289
876,0.802,0.807,802,1384
877,0.907,0.652,370,1923
878,0.014,0.553,963,1676
879,0.055,0.751,183,1074
880,0.514,0.861,576,1118
881,0.322,0.98,610,1118
882,0.267,0.073,81,1067
883,0.866,0.975,490,1916
884,0.447,0.681,548,1196
885,0.322,0.624,960,1829
886,0.06,0.624,137,736
887,0.426,0.085,594,1185
888,0.441,0.934,151,650
889,0.255,0.92,253,1455
890,0.73,0.313,64,685
891,0.078,0.451,432,663
892,0.404,0.519,106,606
893,0.004,0.533,790,1028
894,0.741,0.467,418,1920
895,0.779,0.518,767,1668
896,0.039,0.484,673,961
897,0.788,0.9,431,457
898,0.973,0.876,681,1578
899,0.399,0.604,167,1801
900,0.466,0.865,756,843
901,0.107,0.811,521,714
902,0.424,0.882,876,1999
903,0.594,0.946,206,1213
904,0.384,0.492,858,963
905,0.579,0.441,258,1308
906,0.253,0.447,660,1533
907,0.504,0.868,299,1907
908,0.8,0.719,318,1605
909,0.561,0.467,41,511
910,0.78,0.781,690,1715
911,0.925,0.364,741,1592
912,0.581,0.933,295,1344
913,0.826,0.318,180,1000
914,0.425,0.52,170,533
915,0.69,0.994,30,1289
916,0.708,0.981,105,996
917,0.783,0.264,261,1671
918,0.323,0.342,110,1474
919,0.432,0.891,137,657
920,0.243,0.207,353,821
921,0.596,0.07,147,570
922,0.668,0.078,388,1354
923,0.59,0.371,507,1506
924,0.198,0.964,764,1091
925,0.028,0.397,332,987
926,0.375,0.224,441,1679
927,0.551,0.332,689,1224
928,0.783,0.137,714,1198
929,0.96,0.306,500,1875
930,0.188,0.552,262,1270
931,0.601,0.5,439,1985
932,0.524,0.802,988,1983
933,0.814,0.713,525,610
934,0.051,0.977,937,1613
935,0.209,0.133,26,1327
936,0.627,0.121,931,1807
937,0.502,0.659,567,1490
938,0.809,0.942,946,1496
939,0.375,0.717,485,1044
940,0.446,0.838,179,1481
941,0.038,0.714,572,745
942,0.509,0.763,754,894
943,0.814,0.172,476,1020
944,0.309,0.161,492,1227
945,0.155,0.764,906,1575
946,0.668,0.265,365,1946
947,0.42,0.208,547,1771
948,0.057,0.969,450,842
