id,t,u,v,time_in,time_out
152,0.75,0.058,0.091,891,1796
153,0.696,0.056,0.167,280,1562
154,0.806,0.586,0.258,180,564
155,0.808,0.556,0.303,968,1670
156,0.756,0.969,0.152,231,253
157,0.724,0.05,0.045,983,1583
158,0.662,0.161,0.212,83,1849
159,0.648,0.117,0.197,890,1852
160,0.785,0.481,0.167,473,721
161,0.802,0.444,0.227,159,1405
162,0.756,0.292,0.197,345,1822
163,0.672,0.117,0.182,925,1177
164,0.826,0.911,0.242,206,534
165,0.783,0.614,0.152,532,1573
166,0.799,0.714,0.061,573,735
167,0.741,0.767,0.5,484,792
168,0.78,0.544,0.227,243,1000
169,0.786,0.525,0.212,580,1620
170,0.745,0.361,0.242,755,1512
171,0.825,0.136,0.197,84,1358
172,0.777,0.283,0.182,968,1996
173,0.689,0.992,0.303,408,1282
174,0.823,0.042,0.106,234,1550
175,0.765,0.022,0.106,411,955
176,0.68,0.264,0.182,185,1568
177,0.766,0.8,0.318,530,1166
178,0.735,0.183,0.136,256,1954
179,0.825,0.125,0.045,815,1784
180,0.798,0.358,0.045,897,1565
181,0.714,0.889,0.061,663,1209
182,0.79,0.078,0.167,566,1342
183,0.747,0.239,0.182,125,1103
184,0.835,0.811,0.045,226,916
185,0.825,0.319,0.152,655,1975
186,0.794,0.081,0.364,557,578
187,0.733,0.922,0.227,475,1475
188,0.653,0.297,0.076,772,1619
189,0.791,0.5,0.061,887,924
190,0.805,0.989,0.182,20,1376
191,0.776,0.481,0.227,446,1967
192,0.705,0.456,0.061,40,1719
193,0.825,0.322,0.106,287,1210
194,0.706,0.367,0.167,128,1336
195,0.652,0.25,0.136,967,1984
196,0.782,0.128,0.333,795,994
197,0.798,0.711,0.061,522,1968
198,0.759,0.939,0.121,469,1352
199,0.709,0.353,0.182,368,1393
200,0.75,0.886,0.303,953,1127
201,0.837,0.125,0.061,504,1089
202,0.664,0.247,0.152,783,1728
203,0.82,0.119,0.227,733,1542
204,0.773,0.522,0.212,522,1072
205,0.708,0.183,0.076,563,1605
206,0.822,0.139,0.167,461,1242
207,0.756,0.383,0.318,679,1978
208,0.749,0.175,0.258,455,1269
209,0.701,0.125,0.152,585,1146
210,0.829,0.064,0.273,433,867
211,0.774,0.594,0.076,407,798
212,0.78,0.897,0.318,492,1279
213,0.784,0.867,0.273,195,1527
214,0.716,0.019,0.182,378,934
215,0.841,0.156,0.242,528,1390
216,0.766,0.025,0.152,935,1310
217,0.83,0.028,0.197,25,962
218,0.77,0.1,0.379,353,911
219,0.774,0.464,0.197,511,1078
220,0.658,0.064,0.258,166,848
221,0.778,0.722,0.121,979,1710
222,0.765,0.142,0.152,884,1416
223,0.768,0.586,0.197,691,1831
224,0.779,0.0,0.182,545,1607
225,0.707,0.125,0.061,371,1128
226,0.779,0.464,0.258,940,1543
227,0.748,0.061,0.121,492,1490
228,0.784,0.956,0.121,217,1791
229,0.786,0.519,0.212,561,581
230,0.752,0.775,0.197,705,1704
231,0.758,0.681,0.061,677,1242
232,0.763,0.556,0.242,717,914
233,0.775,0.15,0.197,299,1314
234,0.711,0.322,0.136,907,1288
235,0.675,0.989,0.273,519,766
236,0.841,0.906,0.076,819,887
237,0.839,0.075,0.212,212,1444
238,0.678,0.997,0.364,576,730
239,0.755,0.044,0.167,181,1166
240,0.729,0.133,0.106,384,1497
241,0.656,0.414,0.015,332,1977
242,0.845,0.125,0.106,176,881
243,0.79,0.25,0.045,158,1166
244,0.766,0.167,0.303,804,1731
245,0.75,0.214,0.197,966,1314
246,0.769,0.106,0.364,384,719
247,0.787,0.639,0.227,471,1892
248,0.785,0.422,0.152,756,892
249,0.714,0.194,0.242,294,1668
250,0.762,0.903,0.091,720,1225
251,0.829,0.35,0.136,272,468
252,0.828,0.25,0.106,520,1545
253,0.771,0.617,0.091,386,1400
254,0.749,0.233,0.197,446,844
255,0.782,0.303,0.152,576,629
256,0.78,0.236,0.076,454,1322
257,0.835,0.219,0.242,255,1779
258,0.779,0.375,0.106,287,1332
259,0.667,0.136,0.303,517,1595
260,0.845,0.356,0.167,437,589
261,0.821,0.069,0.061,269,370
262,0.746,0.969,0.182,368,1851
263,0.829,0.025,0.121,567,945
264,0.771,0.722,0.121,354,1679
265,0.824,0.106,0.152,21,1922
266,0.776,0.489,0.152,284,718
267,0.755,0.4,0.121,910,1420
268,0.773,0.486,0.136,425,1495
269,0.763,0.581,0.182,850,985
270,0.776,0.397,0.03,285,1217
271,0.763,0.0,0.045,994,1500
272,0.763,0.8,0.076,955,1817
273,0.767,0.8,0.121,688,1648
274,0.725,0.317,0.197,36,1012
275,0.722,0.875,0.03,307,842
276,0.722,0.903,0.258,790,1495
277,0.723,0.889,0.227,832,1380
278,0.757,0.45,0.288,562,876
279,0.78,0.375,0.045,411,1160
280,0.772,0.203,0.152,469,901
281,0.75,0.15,0.167,135,860
282,0.653,0.125,0.152,412,656
283,0.774,0.2,0.106,240,1539
284,0.792,0.108,0.288,770,1454
285,0.733,0.217,0.136,675,1191
286,0.83,0.919,0.076,514,1130
287,0.813,0.914,0.197,108,1180
288,0.66,0.986,0.212,299,321
289,0.768,0.247,0.136,427,1533
290,0.728,0.042,0.197,473,1127
291,0.713,0.242,0.182,372,1175
292,0.818,0.911,0.212,356,759
293,0.775,0.792,0.167,137,830
294,0.769,0.3,0.076,992,1562
295,0.76,0.214,0.197,154,448
296,0.728,0.989,0.106,153,506
297,0.724,0.294,0.061,147,816
298,0.798,0.067,0.258,342,500
299,0.761,0.144,0.242,301,820
300,0.755,0.725,0.152,546,797
301,0.757,0.644,0.121,150,654
302,0.772,0.714,0.091,255,636
303,0.667,0.867,0.212,750,959
304,0.814,0.164,0.318,392,1576
305,0.727,0.042,0.152,217,277
306,0.673,0.025,0.212,350,1408
307,0.759,0.644,0.121,976,1220
308,0.778,0.683,0.136,518,1328
309,0.729,0.261,0.106,882,1559
310,0.774,0.95,0.091,633,1816
311,0.823,0.164,0.273,152,489
312,0.742,0.0,0.091,746,1116
313,0.727,0.169,0.106,845,1041
314,0.778,0.217,0.152,38,182
315,0.755,0.392,0.136,670,912
316,0.692,0.114,0.258,578,918
317,0.826,0.358,0.182,618,1313
318,0.755,0.6,0.136,929,1801
319,0.821,0.2,0.076,183,1826
320,0.766,0.083,0.136,516,1076
321,0.76,0.278,0.106,231,908
322,0.838,0.0,0.167,637,1461
323,0.83,0.147,0.106,883,1064
324,0.752,0.656,0.076,438,586
325,0.745,0.978,0.03,545,1785
326,0.752,0.706,0.091,268,1425
327,0.726,0.125,0.182,432,1629
328,0.844,0.933,0.136,716,1422
329,0.826,0.772,0.076,109,1639
330,0.765,0.172,0.121,243,876
331,0.76,0.658,0.242,797,1663
332,0.791,0.781,0.061,887,1416
333,0.766,0.792,0.167,947,1291
334,0.723,0.114,0.258,677,882
335,0.822,0.45,0.045,318,1467
336,0.808,0.192,0.212,580,1124
337,0.75,0.142,0.152,608,1375
338,0.825,0.339,0.091,258,731
339,0.784,0.225,0.136,950,1645
340,0.768,0.697,0.136,99,1521
341,0.772,0.075,0.061,658,749
342,0.765,0.111,0.182,563,1321
343,0.763,0.967,0.197,924,1475
344,0.816,0.522,0.106,85,1442
345,0.734,0.417,0.227,430,1960
346,0.813,0.514,0.152,937,1343
347,0.739,0.136,0.197,756,1476
348,0.76,0.308,0.121,646,1601
349,0.728,0.306,0.091,940,1604
350,0.847,0.236,0.152,650,1917
351,0.826,0.083,0.242,29,414
352,0.766,0.103,0.076,755,956
353,0.778,0.767,0.136,855,1161
354,0.78,0.781,0.152,292,806
355,0.763,0.078,0.076,684,1633
356,0.757,0.919,0.136,614,1642
357,0.774,0.875,0.076,793,1882
358,0.772,0.803,0.212,499,1031
359,0.749,0.142,0.303,828,1710
360,0.729,0.286,0.045,513,1653
361,0.762,0.353,0.136,942,1825
362,0.733,0.264,0.167,939,944
363,0.815,0.264,0.182,851,1932
364,0.772,0.261,0.121,392,1493
365,0.786,0.125,0.03,390,1492
366,0.799,0.169,0.288,595,1726
367,0.789,0.064,0.076,526,1784
368,0.773,0.25,0.121,457,1430
369,0.752,0.489,0.227,638,1039
370,0.776,0.183,0.091,338,881
371,0.655,0.419,0.091,914,939
372,0.826,0.311,0.121,796,1687
373,0.762,0.675,0.364,577,784
374,0.78,0.597,0.167,158,639
375,0.783,0.661,0.136,256,795
376,0.761,0.222,0.167,352,1674
377,0.737,0.881,0.152,280,1128
378,0.721,0.036,0.045,495,963
379,0.763,0.7,0.273,990,1873
380,0.741,0.397,0.182,537,1915
381,0.783,0.147,0.106,779,1557
382,0.757,0.392,0.045,34,239
383,0.726,0.514,0.136,194,464
384,0.719,0.419,0.273,111,1078
385,0.715,0.4,0.258,963,1932
386,0.703,0.325,0.303,79,789
387,0.692,0.303,0.394,38,434
388,0.771,0.35,0.136,316,1792
389,0.719,0.411,0.288,541,989
390,0.712,0.414,0.273,64,753
391,0.711,0.411,0.288,184,1612
392,0.704,0.3,0.242,699,1482
393,0.713,0.378,0.212,853,1444
394,0.71,0.364,0.212,60,871
395,0.708,0.369,0.242,802,1100
396,0.704,0.325,0.227,422,700
397,0.677,0.275,0.212,831,1877
398,0.797,0.342,0.167,564,1284
399,0.793,0.464,0.273,147,401
400,0.751,0.333,0.121,470,1150
401,0.742,0.297,0.121,916,1146
402,0.74,0.975,0.045,689,1041
403,0.722,0.561,0.121,716,1005
404,0.706,0.353,0.242,288,1181
405,0.688,0.306,0.348,376,861
406,0.794,0.539,0.152,561,698
407,0.791,0.464,0.242,236,641
408,0.779,0.392,0.197,105,703
409,0.765,0.161,0.152,390,759
410,0.786,0.189,0.182,361,1188
411,0.701,0.361,0.303,996,1616
412,0.696,0.356,0.348,685,1889
413,0.69,0.331,0.379,110,1558
414,0.792,0.281,0.061,103,1007
415,0.791,0.386,0.197,893,1072
416,0.793,0.95,0.076,387,1888
417,0.763,0.136,0.212,790,974
418,0.701,0.342,0.273,881,1336
419,0.694,0.358,0.364,953,1474
420,0.679,0.225,0.212,714,1474
421,0.793,0.125,0.197,398,1280
422,0.771,0.378,0.227,309,1355
423,0.795,0.058,0.061,413,722
424,0.705,0.356,0.242,83,416
425,0.684,0.239,0.227,257,1330
426,0.7,0.319,0.288,473,1325
427,0.693,0.3,0.333,631,1252
428,0.688,0.197,0.167,776,1853
429,0.691,0.139,0.182,88,358
430,0.791,0.222,0.121,579,854
431,0.741,0.347,0.121,737,1149
432,0.74,0.453,0.136,882,1582
433,0.79,0.156,0.167,67,406
434,0.745,0.975,0.091,384,984
435,0.695,0.064,0.182,834,1984
436,0.694,0.025,0.212,532,1152
437,0.694,0.025,0.227,159,1056
438,0.736,0.333,0.136,715,1808
439,0.724,0.239,0.106,924,1627
440,0.804,0.206,0.167,11,1926
441,0.776,0.017,0.212,910,1295
442,0.7,0.25,0.015,66,1898
443,0.775,0.783,0.121,306,1131
444,0.779,0.086,0.091,162,1557
445,0.757,0.325,0.091,887,1162
446,0.763,0.717,0.212,29,375
447,0.792,0.75,0.015,460,980
448,0.772,0.208,0.076,317,1265
449,0.756,0.225,0.121,945,1207
450,0.714,0.083,0.061,324,1821
451,0.704,0.431,0.061,97,327
452,0.759,0.875,0.015,975,1419
453,0.718,0.264,0.045,988,1569
454,0.688,0.214,0.348,713,1158
455,0.713,0.344,0.076,370,1042
456,0.753,0.125,0.106,907,1073
457,0.721,0.181,0.197,327,1237
458,0.704,0.564,0.076,857,1991
459,0.769,0.939,0.167,981,1477
460,0.71,0.361,0.121,425,1306
461,0.757,0.358,0.045,144,1323
462,0.724,0.281,0.091,615,974
463,0.794,0.25,0.121,361,1416
464,0.788,0.675,0.212,616,871
465,0.749,0.089,0.121,931,1326
466,0.798,0.5,0.015,913,1680
467,0.677,0.367,0.409,339,774
468,0.772,0.375,0.061,8,1629
469,0.765,0.981,0.182,63,1050
470,0.719,0.225,0.212,702,1208
471,0.792,0.25,0.121,315,1315
472,0.794,0.125,0.242,693,949
473,0.711,0.483,0.136,142,1753
474,0.694,0.464,0.242,574,1280
475,0.665,0.389,0.273,529,1791
476,0.71,0.394,0.091,992,1730
477,0.778,0.742,0.212,679,1314
478,0.781,0.014,0.47,622,1496
479,0.67,0.953,0.197,587,939
480,0.752,0.289,0.091,813,1757
481,0.79,0.431,0.136,813,1965
482,0.754,0.589,0.091,690,1697
483,0.754,0.55,0.076,479,1765
484,0.78,0.3,0.152,83,1704
485,0.777,0.189,0.121,628,1814
486,0.78,0.731,0.182,611,1832
487,0.78,0.067,0.182,215,927
488,0.779,0.05,0.152,107,1795
489,0.786,0.225,0.091,461,1693
490,0.762,0.8,0.076,243,1474
491,0.764,0.769,0.182,598,1487
492,0.785,0.897,0.136,213,463
493,0.752,0.875,0.015,855,1579
494,0.76,0.267,0.106,333,785
495,0.754,0.2,0.076,271,1141
496,0.754,0.0,0.045,454,1995
497,0.752,0.5,0.045,607,690
498,0.743,0.397,0.182,957,1441
499,0.79,0.989,0.152,887,1861
500,0.678,0.042,0.212,189,918
501,0.777,0.944,0.106,38,246
502,0.768,0.767,0.106,166,1419
503,0.715,0.444,0.182,197,1662
504,0.686,0.025,0.5,143,1176
505,0.785,0.603,0.258,618,653
506,0.768,0.336,0.197,401,542
507,0.757,0.325,0.227,824,1483
508,0.697,0.953,0.364,153,1200
509,0.689,0.008,0.136,533,577
510,0.766,0.653,0.318,507,1587
511,0.765,0.333,0.197,476,1609
512,0.748,0.344,0.258,109,163
513,0.781,0.939,0.121,198,586
514,0.776,0.172,0.167,690,1271
515,0.769,0.394,0.091,160,396
516,0.773,0.131,0.136,80,1492
517,0.71,0.864,0.152,899,1458
518,0.773,0.014,0.076,804,1472
519,0.756,0.675,0.045,930,1305
520,0.79,0.375,0.045,465,1516
521,0.713,0.75,0.03,493,1540
522,0.697,0.883,0.106,581,737
523,0.674,0.247,0.152,853,1498
524,0.757,0.733,0.106,735,1090
525,0.771,0.703,0.182,583,888
526,0.678,0.231,0.136,697,1316
527,0.667,0.256,0.106,326,1028
528,0.762,0.053,0.167,293,767
529,0.756,0.125,0.152,19,272
530,0.717,0.114,0.076,289,1013
531,0.722,0.967,0.197,617,1824
532,0.739,0.3,0.333,799,969
533,0.757,0.656,0.106,943,1598
534,0.776,0.647,0.212,368,1884
535,0.73,0.089,0.227,992,1113
536,0.76,0.05,0.03,931,1027
537,0.733,0.031,0.106,723,1972
538,0.724,0.131,0.152,524,1245
539,0.715,0.172,0.076,120,1144
540,0.7,0.211,0.136,384,1142
541,0.778,0.661,0.136,869,1887
542,0.7,0.458,0.045,791,1562
543,0.708,0.219,0.091,209,590
544,0.688,0.228,0.121,877,1107
545,0.685,0.128,0.212,172,1034
546,0.777,0.7,0.182,450,1177
547,0.74,0.078,0.121,645,1854
548,0.728,0.175,0.121,168,489
549,0.682,0.261,0.288,463,1857
550,0.671,0.422,0.152,855,1541
551,0.729,0.233,0.152,624,876
552,0.758,0.578,0.227,954,1977
553,0.736,0.197,0.212,325,420
554,0.697,0.497,0.167,207,583
555,0.781,0.183,0.288,847,1583
556,0.776,0.172,0.212,193,743
557,0.762,0.442,0.106,890,1661
558,0.759,0.361,0.121,643,1700
559,0.739,0.297,0.167,344,1616
560,0.764,0.339,0.212,61,113
561,0.673,0.092,0.212,356,724
562,0.762,0.125,0.121,543,1560
563,0.727,0.122,0.258,376,1247
564,0.797,0.144,0.136,274,333
565,0.76,0.15,0.242,321,1366
566,0.743,0.081,0.303,875,1110
567,0.742,0.356,0.121,148,1148
568,0.764,0.978,0.212,880,936
569,0.783,0.069,0.182,856,928
570,0.782,0.136,0.212,91,256
571,0.742,0.536,0.091,636,1638
572,0.772,0.433,0.091,411,1169
573,0.763,0.175,0.182,614,1592
574,0.679,0.019,0.273,814,1628
575,0.769,0.333,0.136,307,382
576,0.709,0.258,0.076,6,1612
577,0.707,0.231,0.167,891,899
578,0.716,0.528,0.076,891,1094
579,0.757,0.75,0.076,649,707
580,0.758,0.169,0.167,739,1198
581,0.768,0.961,0.091,195,1938
582,0.68,0.508,0.409,151,927
583,0.756,0.297,0.076,272,959
584,0.685,0.958,0.045,817,1399
585,0.686,0.125,0.061,729,1322
586,0.784,0.067,0.242,346,1347
587,0.687,0.111,0.212,414,525
588,0.761,0.642,0.106,862,1386
589,0.729,0.353,0.212,686,1303
590,0.678,0.956,0.288,737,1009
591,0.765,0.781,0.076,761,1595
592,0.769,0.794,0.258,744,938
593,0.776,0.633,0.091,823,1186
594,0.771,0.344,0.136,902,1584
595,0.725,0.364,0.136,462,1291
596,0.766,0.864,0.136,148,1431
597,0.756,0.486,0.197,598,854
598,0.731,0.2,0.303,577,1658
599,0.724,0.497,0.303,398,1170
600,0.69,0.739,0.061,447,831
601,0.724,0.331,0.258,302,365
602,0.771,0.875,0.288,384,1666
603,0.728,0.319,0.318,38,293
604,0.806,0.242,0.197,625,1923
605,0.806,0.147,0.106,602,855
606,0.724,0.303,0.288,824,1451
607,0.719,0.336,0.242,852,1226
608,0.807,0.039,0.197,698,1373
609,0.757,0.947,0.136,621,1814
610,0.715,0.358,0.182,522,739
611,0.765,0.114,0.212,382,1051
612,0.716,0.253,0.227,245,843
613,0.714,0.303,0.288,938,1575
614,0.711,0.339,0.288,262,265
615,0.709,0.383,0.273,112,1796
616,0.766,0.433,0.152,743,1974
617,0.69,0.383,0.348,190,1501
618,0.774,0.192,0.212,746,1275
619,0.769,0.2,0.212,200,492
620,0.69,0.328,0.318,21,882
621,0.674,0.178,0.152,401,490
622,0.763,0.197,0.242,56,489
623,0.705,0.25,0.273,18,1841
624,0.699,0.467,0.288,41,1086
625,0.692,0.086,0.045,216,1115
626,0.714,0.286,0.303,726,896
627,0.705,0.281,0.273,807,816
628,0.696,0.394,0.152,390,1909
629,0.694,0.331,0.076,313,826
630,0.677,0.375,0.091,535,837
631,0.701,0.381,0.273,314,375
632,0.702,0.897,0.364,312,1520
633,0.694,0.183,0.045,177,1221
634,0.83,0.194,0.121,610,1964
635,0.697,0.333,0.106,454,1851
636,0.696,0.031,0.03,353,904
637,0.696,0.964,0.091,425,838
638,0.703,0.914,0.379,586,1284
639,0.717,0.106,0.076,527,1970
640,0.699,0.281,0.152,823,1094
641,0.697,0.097,0.091,63,690
642,0.718,0.019,0.136,716,921
643,0.724,0.35,0.364,792,1937
644,0.71,0.922,0.409,142,1541
645,0.78,0.661,0.106,317,1360
646,0.768,0.233,0.288,26,1781
647,0.721,0.922,0.455,573,1756
648,0.721,0.156,0.136,913,1246
649,0.719,0.111,0.121,685,898
650,0.721,0.108,0.045,467,1495
651,0.672,0.019,0.121,768,1842
652,0.816,0.333,0.197,55,1010
653,0.789,0.958,0.076,772,1183
654,0.757,0.211,0.061,77,301
655,0.722,0.144,0.167,639,976
656,0.721,0.036,0.121,762,1733
657,0.721,0.972,0.136,675,1399
658,0.744,0.219,0.136,183,760
659,0.725,0.075,0.03,401,906
660,0.723,0.15,0.152,780,1912
661,0.718,0.297,0.167,109,1036
662,0.705,0.133,0.106,468,1591
663,0.716,0.992,0.348,392,863
664,0.78,0.203,0.136,537,990
665,0.766,0.181,0.197,481,846
666,0.816,0.375,0.106,82,313
667,0.728,0.311,0.136,10,1564
668,0.729,0.978,0.197,703,890
669,0.831,0.167,0.076,3,811
670,0.75,0.133,0.348,787,848
671,0.757,0.814,0.212,491,1829
672,0.733,0.978,0.348,584,824
673,0.673,0.908,0.106,597,606
674,0.77,0.967,0.152,844,1009
675,0.735,0.967,0.394,735,1154
676,0.728,0.117,0.212,597,1074
677,0.696,0.392,0.258,555,1577
678,0.677,0.108,0.136,977,1964
679,0.686,0.65,0.03,284,1241
680,0.691,0.264,0.136,153,216
681,0.763,0.847,0.121,551,1301
682,0.77,0.944,0.227,139,1805
683,0.731,0.856,0.076,644,1881
684,0.69,0.167,0.167,288,1399
685,0.696,0.939,0.152,380,389
686,0.804,0.236,0.121,109,1039
687,0.786,0.139,0.333,433,1817
688,0.695,0.078,0.288,80,268
689,0.745,0.953,0.333,900,1833
690,0.726,0.994,0.091,791,1962
691,0.767,0.108,0.379,919,1739
692,0.749,0.056,0.242,327,1027
693,0.702,0.014,0.273,724,754
694,0.701,0.025,0.318,322,337
695,0.7,0.075,0.333,307,909
696,0.696,0.081,0.348,328,535
697,0.707,0.144,0.258,603,763
698,0.705,0.1,0.258,155,246
699,0.708,0.122,0.197,826,1314
700,0.706,0.969,0.227,685,1815
701,0.679,0.036,0.061,923,1849
702,0.828,0.231,0.167,3,1144
703,0.814,0.294,0.091,199,1932
704,0.759,0.122,0.242,770,1141
705,0.738,0.814,0.333,551,1253
706,0.708,0.25,0.076,145,1552
707,0.727,0.925,0.303,263,1494
708,0.76,0.011,0.182,937,1703
709,0.744,0.228,0.212,404,1918
710,0.709,0.275,0.197,376,1111
711,0.708,0.375,0.015,311,1527
712,0.688,0.922,0.197,119,1200
713,0.688,0.058,0.197,766,1102
714,0.689,0.922,0.197,592,745
715,0.691,0.0,0.152,914,1630
716,0.744,0.256,0.485,616,1981
717,0.774,0.603,0.106,11,1420
718,0.757,0.878,0.439,399,725
719,0.705,0.175,0.258,225,1576
720,0.695,0.183,0.121,87,935
721,0.69,0.9,0.091,939,1899
722,0.802,0.136,0.212,927,1051
723,0.771,0.106,0.167,449,741
724,0.688,0.258,0.182,79,91
725,0.745,0.872,0.394,767,1453
726,0.77,0.097,0.061,319,1958
727,0.69,0.331,0.152,213,1788
728,0.757,0.3,0.106,821,1190
729,0.71,0.75,0.182,173,610
730,0.693,0.075,0.348,729,898
731,0.699,0.767,0.167,44,1489
732,0.698,0.156,0.212,826,1093
733,0.784,0.156,0.258,471,1614
734,0.774,0.483,0.273,667,672
735,0.741,0.922,0.076,319,406
736,0.697,0.111,0.167,939,1032
737,0.774,0.469,0.258,67,1749
738,0.722,0.267,0.258,903,1468
739,0.76,0.831,0.379,593,1550
740,0.703,0.844,0.106,246,1719
741,0.766,0.444,0.197,491,1411
742,0.713,0.189,0.106,611,781
743,0.789,0.158,0.242,700,851
744,0.705,0.144,0.152,79,915
745,0.716,0.211,0.106,589,1090
746,0.786,0.169,0.258,12,1139
