id,t,u,v,w,x,ts_in,ts_out
79,0.736,0.425,0.394,0.096,0.648,378,557
80,0.724,0.219,0.152,0.38,0.419,877,1730
81,0.712,0.397,0.242,0.048,0.343,47,1008
82,0.738,0.978,0.394,0.107,0.519,102,1675
83,0.736,0.039,0.212,0.155,0.499,444,1904
84,0.658,0.117,0.106,0.15,0.159,469,675
85,0.741,0.994,0.258,0.125,0.521,637,1464
86,0.73,0.922,0.394,0.021,0.636,799,970
87,0.726,0.05,0.106,0.401,0.433,308,458
88,0.723,0.175,0.152,0.299,0.413,699,1361
89,0.712,0.85,0.167,0.048,0.339,655,1555
90,0.652,0.283,0.091,0.195,0.152,991,1716
91,0.723,0.036,0.242,0.021,0.58,976,1507
92,0.664,0.983,0.182,0.048,0.149,637,1843
93,0.797,0.481,0.182,0.077,0.961,537,1245
94,0.772,0.197,0.152,0.305,0.807,145,1040
95,0.741,0.086,0.152,0.211,0.512,734,1431
96,0.795,0.456,0.167,0.061,0.957,405,919
97,0.727,0.2,0.076,0.389,0.438,121,790
98,0.664,0.164,0.045,0.0,0.157,927,1895
99,0.665,0.094,0.136,0.136,0.16,753,1190
100,0.777,0.125,0.121,0.251,0.821,310,619
101,0.696,0.233,0.182,0.107,0.236,263,1001
102,0.694,0.117,0.167,0.107,0.23,200,660
103,0.742,0.283,0.227,0.136,0.617,744,1482
104,0.667,0.472,0.076,0.122,0.166,108,1404
105,0.651,0.586,0.091,0.116,0.15,587,1981
106,0.795,0.089,0.061,0.021,0.938,166,823
107,0.754,0.158,0.242,0.096,0.773,653,1391
108,0.742,0.967,0.212,0.221,0.551,586,1407
109,0.665,0.925,0.015,0.0,0.178,785,1169
110,0.825,0.292,0.167,0.292,0.843,932,1522
111,0.73,0.9,0.182,0.173,0.584,869,1842
112,0.713,0.922,0.091,0.245,0.333,856,1899
113,0.713,0.244,0.076,0.286,0.326,343,389
114,0.666,0.283,0.106,0.163,0.178,711,1269
115,0.828,0.308,0.227,0.336,0.835,99,1061
116,0.773,0.147,0.212,0.172,0.809,97,129
117,0.739,0.161,0.091,0.211,0.617,658,1657
118,0.67,0.211,0.061,0.136,0.181,951,1152
119,0.735,0.047,0.197,0.236,0.596,306,432
120,0.706,0.275,0.091,0.215,0.296,726,1856
121,0.796,0.0,0.167,0.021,0.968,798,1893
122,0.792,0.344,0.182,0.107,0.914,410,1541
123,0.73,0.331,0.288,0.021,0.732,662,892
124,0.738,0.889,0.5,0.061,0.7,856,1029
125,0.675,0.311,0.167,0.021,0.223,788,1847
126,0.75,0.231,0.091,0.394,0.564,715,1194
127,0.704,0.003,0.152,0.168,0.295,682,691
128,0.685,0.347,0.303,0.048,0.242,17,414
129,0.677,0.103,0.076,0.155,0.213,476,923
130,0.759,0.989,0.182,0.0,0.809,339,1497
131,0.717,0.853,0.182,0.021,0.393,866,1352
132,0.775,0.136,0.197,0.061,0.871,880,1293
133,0.762,0.156,0.273,0.068,0.782,83,299
134,0.658,0.019,0.182,0.0,0.222,798,846
135,0.808,0.331,0.106,0.116,0.936,615,1301
136,0.763,0.961,0.182,0.021,0.832,536,1218
137,0.748,0.033,0.106,0.408,0.603,104,1476
138,0.719,0.956,0.197,0.03,0.401,312,335
139,0.645,0.219,0.136,0.172,0.123,864,1871
140,0.805,0.633,0.273,0.471,0.841,32,50
141,0.734,0.789,0.364,0.043,0.732,524,1946
142,0.735,0.311,0.121,0.195,0.513,247,318
143,0.749,0.831,0.348,0.129,0.717,33,1542
144,0.732,0.375,0.076,0.156,0.503,292,1074
145,0.707,0.375,0.045,0.173,0.316,837,1993
146,0.768,0.244,0.242,0.136,0.856,955,1328
147,0.814,0.611,0.167,0.304,0.873,997,1302
148,0.738,0.006,0.091,0.125,0.528,646,1910
149,0.657,0.094,0.076,0.173,0.175,248,1307
150,0.821,0.264,0.091,0.021,0.686,290,1579
151,0.758,0.803,0.364,0.15,0.72,730,1836
152,0.75,0.058,0.091,0.211,0.577,640,735
153,0.696,0.056,0.167,0.107,0.279,568,1013
154,0.806,0.586,0.258,0.304,0.856,117,768
155,0.808,0.556,0.303,0.043,0.885,928,1755
156,0.756,0.969,0.152,0.349,0.628,342,1962
157,0.724,0.05,0.045,0.156,0.427,523,1271
158,0.662,0.161,0.212,0.204,0.173,983,1835
159,0.648,0.117,0.197,0.356,0.134,753,1335
160,0.785,0.481,0.167,0.24,0.798,570,975
161,0.802,0.444,0.227,0.061,0.865,32,1904
162,0.756,0.292,0.197,0.192,0.789,115,416
163,0.672,0.117,0.182,0.251,0.196,206,766
164,0.826,0.911,0.242,0.091,0.669,454,1327
165,0.783,0.614,0.152,0.232,0.797,693,728
166,0.799,0.714,0.061,0.365,0.894,92,783
167,0.741,0.767,0.5,0.043,0.744,273,1984
168,0.78,0.544,0.227,0.163,0.778,379,1908
169,0.786,0.525,0.212,0.275,0.808,304,1816
170,0.745,0.361,0.242,0.048,0.566,546,1423
171,0.825,0.136,0.197,0.228,0.67,138,486
172,0.777,0.283,0.182,0.275,0.847,197,1721
173,0.689,0.992,0.303,0.215,0.224,883,999
174,0.823,0.042,0.106,0.262,0.677,91,122
175,0.765,0.022,0.106,0.349,0.696,20,1046
176,0.68,0.264,0.182,0.346,0.187,818,1126
177,0.766,0.8,0.318,0.177,0.734,922,1004
178,0.735,0.183,0.136,0.144,0.514,76,880
179,0.825,0.125,0.045,0.328,0.664,150,1616
180,0.798,0.358,0.045,0.442,0.885,109,669
181,0.714,0.889,0.061,0.021,0.406,714,1575
182,0.79,0.078,0.167,0.429,0.901,454,556
183,0.747,0.239,0.182,0.021,0.614,717,949
184,0.835,0.811,0.045,0.304,0.618,819,1043
185,0.825,0.319,0.152,0.396,0.647,952,1755
186,0.794,0.081,0.364,0.107,0.71,350,1692
187,0.733,0.922,0.227,0.03,0.506,486,1636
188,0.653,0.297,0.076,0.258,0.078,252,912
189,0.791,0.5,0.061,0.198,0.812,614,1636
190,0.805,0.989,0.182,0.203,0.682,222,932
191,0.776,0.481,0.227,0.192,0.887,458,1175
192,0.705,0.456,0.061,0.048,0.245,580,998
193,0.825,0.322,0.106,0.414,0.622,277,1770
194,0.706,0.367,0.167,0.043,0.382,346,1656
195,0.652,0.25,0.136,0.224,0.072,983,1242
196,0.782,0.128,0.333,0.152,0.719,120,1723
197,0.798,0.711,0.061,0.442,0.875,371,541
198,0.759,0.939,0.121,0.136,0.617,470,846
199,0.709,0.353,0.182,0.048,0.394,773,1963
200,0.75,0.886,0.303,0.107,0.818,483,1966
201,0.837,0.125,0.061,0.464,0.586,171,1195
202,0.664,0.247,0.152,0.156,0.103,985,1804
203,0.82,0.119,0.227,0.346,0.654,792,1755
204,0.773,0.522,0.212,0.086,0.773,162,685
205,0.708,0.183,0.076,0.0,0.397,363,1450
206,0.822,0.139,0.167,0.543,0.602,133,528
207,0.756,0.383,0.318,0.091,0.892,474,987
208,0.749,0.175,0.258,0.11,0.516,476,1516
209,0.701,0.125,0.152,0.231,0.186,883,1948
210,0.829,0.064,0.273,0.432,0.639,365,835
211,0.774,0.594,0.076,0.245,0.772,864,1471
212,0.78,0.897,0.318,0.317,0.82,471,708
213,0.784,0.867,0.273,0.339,0.813,799,1986
214,0.716,0.019,0.182,0.061,0.4,264,496
215,0.841,0.156,0.242,0.442,0.543,495,1512
216,0.766,0.025,0.152,0.061,0.726,950,1038
217,0.83,0.028,0.197,0.704,0.581,116,348
218,0.77,0.1,0.379,0.021,0.718,0,402
219,0.774,0.464,0.197,0.328,0.783,760,1189
220,0.658,0.064,0.258,0.064,0.069,38,1199
221,0.778,0.722,0.121,0.515,0.814,993,1444
222,0.765,0.142,0.152,0.107,0.72,604,1336
223,0.768,0.586,0.197,0.183,0.754,413,506
224,0.779,0.0,0.182,0.346,0.712,330,334
225,0.707,0.125,0.061,0.089,0.321,392,1462
226,0.779,0.464,0.258,0.432,0.815,460,1876
227,0.748,0.061,0.121,0.204,0.541,436,1356
228,0.784,0.956,0.121,0.429,0.731,379,1099
229,0.786,0.519,0.212,0.24,0.855,232,1967
230,0.752,0.775,0.197,0.136,0.587,957,1067
231,0.758,0.681,0.061,0.021,0.728,351,892
232,0.763,0.556,0.242,0.129,0.741,468,1187
233,0.775,0.15,0.197,0.354,0.681,954,1976
234,0.711,0.322,0.136,0.107,0.348,812,1268
235,0.675,0.989,0.273,0.048,0.128,513,1801
236,0.841,0.906,0.076,0.537,0.524,574,1896
237,0.839,0.075,0.212,0.714,0.562,555,1004
238,0.678,0.997,0.364,0.03,0.137,513,771
239,0.755,0.044,0.167,0.327,0.558,362,468
240,0.729,0.133,0.106,0.144,0.424,943,1672
241,0.656,0.414,0.015,0.228,0.033,193,1269
242,0.845,0.125,0.106,0.36,0.5,58,1565
243,0.79,0.25,0.045,0.623,0.771,3,103
244,0.766,0.167,0.303,0.144,0.693,551,1259
245,0.75,0.214,0.197,0.061,0.845,381,1740
246,0.769,0.106,0.364,0.177,0.686,516,1287
247,0.787,0.639,0.227,0.408,0.841,93,189
248,0.785,0.422,0.152,0.567,0.747,289,1946
249,0.714,0.194,0.242,0.086,0.351,589,638
250,0.762,0.903,0.091,0.365,0.573,699,1021
251,0.829,0.35,0.136,0.299,0.59,823,1759
252,0.828,0.25,0.106,0.259,0.596,495,1514
253,0.771,0.617,0.091,0.258,0.804,78,1452
254,0.749,0.233,0.197,0.021,0.832,859,1989
255,0.782,0.303,0.152,0.583,0.82,863,1066
256,0.78,0.236,0.076,0.603,0.757,752,1231
257,0.835,0.219,0.242,0.442,0.558,488,1287
258,0.779,0.375,0.106,0.581,0.756,932,1316
259,0.667,0.136,0.303,0.275,0.055,77,653
260,0.845,0.356,0.167,0.532,0.537,165,621
261,0.821,0.069,0.061,0.021,0.622,232,1960
262,0.746,0.969,0.182,0.048,0.49,98,1528
263,0.829,0.025,0.121,0.215,0.576,912,1058
264,0.771,0.722,0.121,0.28,0.853,462,574
265,0.824,0.106,0.152,0.0,0.602,714,1862
266,0.776,0.489,0.152,0.494,0.853,790,1729
267,0.755,0.4,0.121,0.15,0.77,78,1702
268,0.773,0.486,0.136,0.304,0.74,460,1439
269,0.763,0.581,0.182,0.259,0.826,706,1186
270,0.776,0.397,0.03,0.452,0.767,464,1808
271,0.763,0.0,0.045,0.0,0.679,545,1558
272,0.763,0.8,0.076,0.0,0.675,122,1985
273,0.767,0.8,0.121,0.086,0.658,711,1384
274,0.725,0.317,0.197,0.043,0.365,939,1540
275,0.722,0.875,0.03,0.043,0.349,79,1620
276,0.722,0.903,0.258,0.11,0.253,43,1410
277,0.723,0.889,0.227,0.13,0.249,594,740
278,0.757,0.45,0.288,0.172,0.713,481,787
279,0.78,0.375,0.045,0.666,0.805,402,818
280,0.772,0.203,0.152,0.231,0.725,571,1161
281,0.75,0.15,0.167,0.096,0.447,677,1891
282,0.653,0.125,0.152,0.03,0.057,601,1915
283,0.774,0.2,0.106,0.356,0.755,607,1722
284,0.792,0.108,0.288,0.448,0.623,356,1430
285,0.733,0.217,0.136,0.043,0.413,48,417
286,0.83,0.919,0.076,0.0,0.562,479,1156
287,0.813,0.914,0.197,0.565,0.594,833,1252
288,0.66,0.986,0.212,0.043,0.077,789,1675
289,0.768,0.247,0.136,0.03,0.687,115,1061
290,0.728,0.042,0.197,0.144,0.342,497,1779
291,0.713,0.242,0.182,0.369,0.211,429,1405
292,0.818,0.911,0.212,0.608,0.588,978,1247
293,0.775,0.792,0.167,0.608,0.834,111,339
294,0.769,0.3,0.076,0.219,0.578,544,1407
295,0.76,0.214,0.197,0.077,0.55,792,1398
296,0.728,0.989,0.106,0.11,0.364,559,1173
297,0.724,0.294,0.061,0.15,0.265,285,710
298,0.798,0.067,0.258,0.472,0.615,547,666
299,0.761,0.144,0.242,0.129,0.654,28,1064
300,0.755,0.725,0.152,0.224,0.802,841,1937
301,0.757,0.644,0.121,0.231,0.805,195,687
302,0.772,0.714,0.091,0.061,0.674,199,1433
303,0.667,0.867,0.212,0.096,0.089,186,301
304,0.814,0.164,0.318,0.523,0.584,473,925
305,0.727,0.042,0.152,0.152,0.269,291,1723
306,0.673,0.025,0.212,0.03,0.112,251,1072
307,0.759,0.644,0.121,0.262,0.82,160,1635
308,0.778,0.683,0.136,0.547,0.838,433,1088
309,0.729,0.261,0.106,0.266,0.253,231,517
310,0.774,0.95,0.091,0.137,0.675,816,1383
311,0.823,0.164,0.273,0.438,0.568,440,1546
312,0.742,0.0,0.091,0.096,0.419,264,314
313,0.727,0.169,0.106,0.259,0.258,300,785
314,0.778,0.217,0.152,0.24,0.748,824,1705
315,0.755,0.392,0.136,0.198,0.488,629,855
316,0.692,0.114,0.258,0.203,0.179,410,1296
317,0.826,0.358,0.182,0.344,0.548,532,927
318,0.755,0.6,0.136,0.192,0.803,86,484
319,0.821,0.2,0.076,0.299,0.542,300,799
320,0.766,0.083,0.136,0.021,0.629,389,452
321,0.76,0.278,0.106,0.021,0.601,363,804
322,0.838,0.0,0.167,0.471,0.504,428,1608
323,0.83,0.147,0.106,0.349,0.515,880,1640
324,0.752,0.656,0.076,0.152,0.795,775,1954
325,0.745,0.978,0.03,0.286,0.403,902,1528
326,0.752,0.706,0.091,0.152,0.799,621,1993
327,0.726,0.125,0.182,0.0,0.315,434,868
328,0.844,0.933,0.136,0.496,0.484,425,1705
329,0.826,0.772,0.076,0.15,0.511,892,1012
330,0.765,0.172,0.121,0.137,0.63,705,1892
331,0.76,0.658,0.242,0.245,0.815,844,848
332,0.791,0.781,0.061,0.451,0.778,836,1929
333,0.766,0.792,0.167,0.152,0.604,389,1685
334,0.723,0.114,0.258,0.328,0.244,214,495
335,0.822,0.45,0.045,0.129,0.51,273,1374
336,0.808,0.192,0.212,0.213,0.544,660,1640
337,0.75,0.142,0.152,0.116,0.467,561,759
338,0.825,0.339,0.091,0.096,0.493,503,648
339,0.784,0.225,0.136,0.156,0.583,544,1189
340,0.768,0.697,0.136,0.344,0.824,933,1130
341,0.772,0.075,0.061,0.137,0.672,622,836
342,0.765,0.111,0.182,0.231,0.64,849,1367
343,0.763,0.967,0.197,0.183,0.529,130,1107
344,0.816,0.522,0.106,0.096,0.522,231,1943
345,0.734,0.417,0.227,0.173,0.274,140,1953
346,0.813,0.514,0.152,0.03,0.509,57,1867
347,0.739,0.136,0.197,0.192,0.357,679,1564
348,0.76,0.308,0.121,0.215,0.512,422,1103
349,0.728,0.306,0.091,0.301,0.263,655,1669
350,0.847,0.236,0.152,0.346,0.449,782,1781
351,0.826,0.083,0.242,0.061,0.469,526,961
352,0.766,0.103,0.076,0.305,0.549,596,1953
353,0.778,0.767,0.136,0.538,0.828,361,1438
354,0.78,0.781,0.152,0.558,0.824,837,1308
355,0.763,0.078,0.076,0.28,0.521,475,1351
356,0.757,0.919,0.136,0.283,0.494,769,1635
357,0.774,0.875,0.076,0.258,0.706,698,932
358,0.772,0.803,0.212,0.408,0.629,225,790
359,0.749,0.142,0.303,0.259,0.378,798,1958
360,0.729,0.286,0.045,0.15,0.301,97,155
361,0.762,0.353,0.136,0.292,0.407,360,1269
362,0.733,0.264,0.167,0.091,0.347,302,972
363,0.815,0.264,0.182,0.172,0.462,188,248
364,0.772,0.261,0.121,0.334,0.602,385,807
365,0.786,0.125,0.03,0.487,0.779,354,1298
366,0.799,0.169,0.288,0.137,0.466,58,1879
367,0.789,0.064,0.076,0.15,0.489,182,1399
368,0.773,0.25,0.121,0.173,0.519,953,1419
369,0.752,0.489,0.227,0.183,0.447,67,521
370,0.776,0.183,0.091,0.177,0.67,555,1135
371,0.655,0.419,0.091,0.077,0.084,2,1985
372,0.826,0.311,0.121,0.043,0.405,47,99
373,0.762,0.675,0.364,0.286,0.79,641,1473
374,0.78,0.597,0.167,0.498,0.826,873,1990
375,0.783,0.661,0.136,0.583,0.823,377,1116
376,0.761,0.222,0.167,0.236,0.575,580,1007
377,0.737,0.881,0.152,0.048,0.388,97,819
378,0.721,0.036,0.045,0.251,0.302,910,1721
379,0.763,0.7,0.273,0.301,0.789,35,1119
380,0.741,0.397,0.182,0.061,0.437,700,900
381,0.783,0.147,0.106,0.185,0.498,308,1181
382,0.757,0.392,0.045,0.137,0.561,503,1600
383,0.726,0.514,0.136,0.122,0.335,564,1184
384,0.719,0.419,0.273,0.251,0.236,622,1773
385,0.715,0.4,0.258,0.215,0.223,973,1892
386,0.703,0.325,0.303,0.173,0.207,279,2000
387,0.692,0.303,0.394,0.125,0.19,280,523
388,0.771,0.35,0.136,0.086,0.669,457,473
389,0.719,0.411,0.288,0.24,0.249,169,1900
390,0.712,0.414,0.273,0.192,0.228,633,1073
391,0.711,0.411,0.288,0.183,0.223,51,878
392,0.704,0.3,0.242,0.144,0.211,670,1131
393,0.713,0.378,0.212,0.198,0.236,151,1987
394,0.71,0.364,0.212,0.173,0.228,807,936
395,0.708,0.369,0.242,0.163,0.223,164,1481
396,0.704,0.325,0.227,0.125,0.211,506,1132
397,0.677,0.275,0.212,0.021,0.169,409,1938
398,0.797,0.342,0.167,0.0,0.43,709,1892
399,0.793,0.464,0.273,0.068,0.457,826,1021
400,0.751,0.333,0.121,0.116,0.554,825,1679
401,0.742,0.297,0.121,0.021,0.483,400,720
402,0.74,0.975,0.045,0.0,0.47,749,1618
403,0.722,0.561,0.121,0.096,0.341,638,910
404,0.706,0.353,0.242,0.136,0.219,167,1076
405,0.688,0.306,0.348,0.061,0.19,83,578
406,0.794,0.539,0.152,0.021,0.437,444,1098
407,0.791,0.464,0.242,0.048,0.454,953,1101
408,0.779,0.392,0.197,0.089,0.492,617,1979
409,0.765,0.161,0.152,0.144,0.525,851,1485
410,0.786,0.189,0.182,0.259,0.78,473,1999
411,0.701,0.361,0.303,0.091,0.211,710,1372
412,0.696,0.356,0.348,0.068,0.202,68,912
413,0.69,0.331,0.379,0.048,0.194,89,800
414,0.792,0.281,0.061,0.0,0.431,731,1006
415,0.791,0.386,0.197,0.021,0.439,492,510
416,0.793,0.95,0.076,0.354,0.801,480,678
417,0.763,0.136,0.212,0.0,0.656,880,1074
418,0.701,0.342,0.273,0.089,0.215,619,1085
419,0.694,0.358,0.364,0.048,0.202,620,1720
420,0.679,0.225,0.212,0.0,0.181,499,1564
421,0.793,0.125,0.197,0.021,0.428,780,928
422,0.771,0.378,0.227,0.089,0.498,971,1239
423,0.795,0.058,0.061,0.371,0.806,219,733
424,0.705,0.356,0.242,0.107,0.228,319,1805
425,0.684,0.239,0.227,0.0,0.19,403,1281
426,0.7,0.319,0.288,0.048,0.215,817,1443
427,0.693,0.3,0.333,0.03,0.207,681,1465
428,0.688,0.197,0.167,0.0,0.199,417,1922
429,0.691,0.139,0.182,0.0,0.203,556,698
430,0.791,0.222,0.121,0.258,0.792,554,924
431,0.741,0.347,0.121,0.192,0.462,786,967
432,0.74,0.453,0.136,0.204,0.456,586,1826
433,0.79,0.156,0.167,0.068,0.447,62,199
434,0.745,0.975,0.091,0.144,0.486,159,661
435,0.695,0.064,0.182,0.0,0.212,76,855
436,0.694,0.025,0.212,0.021,0.208,409,1044
437,0.694,0.025,0.227,0.03,0.2,942,1016
438,0.736,0.333,0.136,0.136,0.429,341,1217
439,0.724,0.239,0.106,0.163,0.402,454,1936
440,0.804,0.206,0.167,0.144,0.403,899,1448
441,0.776,0.017,0.212,0.144,0.726,339,861
442,0.7,0.25,0.015,0.0,0.243,869,1531
443,0.775,0.783,0.121,0.192,0.706,990,1472
444,0.779,0.086,0.091,0.129,0.734,821,834
445,0.757,0.325,0.091,0.107,0.548,184,856
446,0.763,0.717,0.212,0.269,0.778,825,1326
447,0.792,0.75,0.015,0.279,0.807,311,1526
448,0.772,0.208,0.076,0.211,0.681,779,1608
449,0.756,0.225,0.121,0.0,0.611,813,1046
450,0.714,0.083,0.061,0.107,0.361,217,1422
451,0.704,0.431,0.061,0.0,0.286,800,850
452,0.759,0.875,0.015,0.107,0.589,552,1669
453,0.718,0.264,0.045,0.185,0.395,390,1663
454,0.688,0.214,0.348,0.203,0.185,805,1012
455,0.713,0.344,0.076,0.107,0.333,51,1014
456,0.753,0.125,0.106,0.251,0.568,935,1638
457,0.721,0.181,0.197,0.03,0.444,743,1085
458,0.704,0.564,0.076,0.089,0.27,192,1331
459,0.769,0.939,0.167,0.155,0.481,587,1300
460,0.71,0.361,0.121,0.096,0.303,105,832
461,0.757,0.358,0.045,0.156,0.602,887,1671
462,0.724,0.281,0.091,0.077,0.447,423,1408
463,0.794,0.25,0.121,0.266,0.397,820,1691
464,0.788,0.675,0.212,0.367,0.831,931,1745
465,0.749,0.089,0.121,0.336,0.52,32,1155
466,0.798,0.5,0.015,0.177,0.381,434,962
467,0.677,0.367,0.409,0.122,0.177,810,1220
468,0.772,0.375,0.061,0.077,0.456,974,1465
469,0.765,0.981,0.182,0.0,0.692,985,1100
470,0.719,0.225,0.212,0.077,0.424,846,2000
471,0.792,0.25,0.121,0.279,0.391,0,611
472,0.794,0.125,0.242,0.163,0.79,32,358
473,0.711,0.483,0.136,0.192,0.345,943,1412
474,0.694,0.464,0.242,0.061,0.236,907,1672
475,0.665,0.389,0.273,0.043,0.156,201,862
476,0.71,0.394,0.091,0.163,0.346,858,1569
477,0.778,0.742,0.212,0.459,0.808,280,991
478,0.781,0.014,0.47,0.068,0.696,394,1137
479,0.67,0.953,0.197,0.107,0.114,326,915
480,0.752,0.289,0.091,0.399,0.512,53,1744
481,0.79,0.431,0.136,0.304,0.388,580,1260
482,0.754,0.589,0.091,0.152,0.575,161,1112
483,0.754,0.55,0.076,0.168,0.571,236,1448
484,0.78,0.3,0.152,0.152,0.409,957,1236
485,0.777,0.189,0.121,0.089,0.42,986,1565
486,0.78,0.731,0.182,0.482,0.808,356,1378
487,0.78,0.067,0.182,0.221,0.752,119,1859
488,0.779,0.05,0.152,0.137,0.735,998,1146
489,0.786,0.225,0.091,0.367,0.779,6,386
490,0.762,0.8,0.076,0.271,0.765,467,1483
491,0.764,0.769,0.182,0.313,0.774,172,1622
492,0.785,0.897,0.136,0.173,0.714,357,1199
493,0.752,0.875,0.015,0.064,0.724,506,1456
494,0.76,0.267,0.106,0.177,0.543,726,1212
495,0.754,0.2,0.076,0.232,0.64,2,1146
496,0.754,0.0,0.045,0.251,0.644,981,1995
497,0.752,0.5,0.045,0.215,0.664,839,1537
498,0.743,0.397,0.182,0.313,0.473,680,1330
499,0.79,0.989,0.152,0.442,0.796,835,1986
500,0.678,0.042,0.212,0.021,0.232,903,1420
501,0.777,0.944,0.106,0.077,0.418,164,1788
502,0.768,0.767,0.106,0.356,0.507,96,1720
503,0.715,0.444,0.182,0.086,0.391,598,1105
504,0.686,0.025,0.5,0.043,0.249,290,1124
505,0.785,0.603,0.258,0.501,0.821,884,975
506,0.768,0.336,0.197,0.125,0.64,668,829
507,0.757,0.325,0.227,0.125,0.615,154,190
508,0.697,0.953,0.364,0.086,0.255,308,1159
509,0.689,0.008,0.136,0.213,0.184,518,733
510,0.766,0.653,0.318,0.323,0.785,561,1564
511,0.765,0.333,0.197,0.096,0.635,232,1163
512,0.748,0.344,0.258,0.068,0.597,206,499
513,0.781,0.939,0.121,0.107,0.406,228,1260
514,0.776,0.172,0.167,0.346,0.451,3,1195
515,0.769,0.394,0.091,0.0,0.671,164,1737
516,0.773,0.131,0.136,0.313,0.476,554,1437
517,0.71,0.864,0.152,0.193,0.248,501,1384
518,0.773,0.014,0.076,0.286,0.479,872,1053
519,0.756,0.675,0.045,0.24,0.765,156,1632
520,0.79,0.375,0.045,0.667,0.829,94,1275
521,0.713,0.75,0.03,0.0,0.431,700,1944
