id,t,u,v,w,x,y,z,time_in,time_out
45,0.656,0.189,0.121,0.15,0.094,0.898,0.886,962,1643
46,0.654,0.261,0.106,0.152,0.096,0.913,0.902,349,1006
47,0.657,0.275,0.091,0.168,0.093,0.906,0.913,49,1485
48,0.647,0.183,0.091,0.068,0.126,0.894,0.894,144,840
49,0.645,0.278,0.106,0.061,0.114,0.913,0.909,304,1467
50,0.703,0.325,0.455,0.043,0.463,1.0,0.78,609,1376
51,0.71,0.897,0.379,0.061,0.438,0.587,0.807,22,198
52,0.699,0.2,0.03,0.021,0.46,0.874,0.921,790,1178
53,0.651,0.219,0.212,0.137,0.125,0.933,0.846,797,1072
54,0.649,0.225,0.106,0.125,0.128,0.906,0.894,855,1438
55,0.706,0.875,0.364,0.021,0.452,0.583,0.835,78,293
56,0.648,0.206,0.167,0.136,0.131,0.917,0.862,348,1419
57,0.644,0.189,0.076,0.129,0.122,0.886,0.906,716,1938
58,0.645,0.031,0.061,0.125,0.118,0.85,0.913,442,926
59,0.645,0.117,0.091,0.116,0.114,0.87,0.894,129,1320
60,0.645,0.208,0.076,0.096,0.114,0.894,0.906,701,826
61,0.765,0.297,0.167,0.03,0.821,0.941,0.89,242,402
62,0.701,0.25,0.121,0.096,0.284,0.913,0.898,62,1939
63,0.65,0.111,0.106,0.11,0.131,0.87,0.882,899,1287
64,0.648,0.136,0.212,0.107,0.122,0.886,0.827,103,366
65,0.646,0.175,0.152,0.091,0.118,0.902,0.87,845,1473
66,0.65,0.164,0.106,0.096,0.126,0.89,0.89,64,1632
67,0.757,0.036,0.197,0.064,0.748,0.815,0.843,3,756
68,0.71,0.15,0.091,0.156,0.321,0.882,0.894,628,1183
69,0.684,0.222,0.121,0.129,0.153,0.909,0.886,173,1642
70,0.737,0.461,0.182,0.173,0.623,0.906,0.961,562,789
71,0.78,0.125,0.212,0.198,0.895,0.878,0.819,793,1793
72,0.75,0.317,0.242,0.077,0.712,0.965,0.878,450,1930
73,0.739,0.017,0.136,0.0,0.683,0.827,0.878,392,1411
74,0.681,0.083,0.152,0.172,0.135,0.854,0.858,607,808
75,0.742,0.328,0.273,0.144,0.642,0.976,0.87,903,1268
76,0.733,0.444,0.424,0.096,0.555,0.925,0.917,732,1525
77,0.656,0.906,0.076,0.021,0.149,0.815,0.921,494,1876
78,0.728,0.275,0.106,0.273,0.437,0.917,0.906,326,374
79,0.736,0.425,0.394,0.096,0.648,0.949,0.909,409,1985
80,0.724,0.219,0.152,0.38,0.419,0.917,0.878,117,958
81,0.712,0.397,0.242,0.048,0.343,0.949,0.925,152,1317
82,0.738,0.978,0.394,0.107,0.519,0.654,0.736,354,783
83,0.736,0.039,0.212,0.155,0.499,0.811,0.827,453,1965
84,0.658,0.117,0.106,0.15,0.159,0.874,0.882,344,1740
85,0.741,0.994,0.258,0.125,0.521,0.752,0.811,469,1191
86,0.73,0.922,0.394,0.021,0.636,0.594,0.776,42,258
87,0.726,0.05,0.106,0.401,0.433,0.846,0.89,173,1921
88,0.723,0.175,0.152,0.299,0.413,0.902,0.87,272,598
89,0.712,0.85,0.167,0.048,0.339,0.748,0.921,601,1555
90,0.652,0.283,0.091,0.195,0.152,0.906,0.917,782,1722
91,0.723,0.036,0.242,0.021,0.58,0.799,0.811,992,1882
92,0.664,0.983,0.182,0.048,0.149,0.787,0.858,595,1200
93,0.797,0.481,0.182,0.077,0.961,0.894,0.969,386,1222
94,0.772,0.197,0.152,0.305,0.807,0.909,0.87,258,351
95,0.741,0.086,0.152,0.211,0.512,0.858,0.858,15,1569
96,0.795,0.456,0.167,0.061,0.957,0.906,0.957,84,149
97,0.727,0.2,0.076,0.389,0.438,0.886,0.909,893,1862
98,0.664,0.164,0.045,0.0,0.157,0.87,0.917,369,493
99,0.665,0.094,0.136,0.136,0.16,0.862,0.87,665,1335
100,0.777,0.125,0.121,0.251,0.821,0.878,0.874,921,1259
101,0.696,0.233,0.182,0.107,0.236,0.933,0.866,517,540
102,0.694,0.117,0.167,0.107,0.23,0.874,0.85,291,1885
103,0.742,0.283,0.227,0.136,0.617,0.961,0.862,5,1101
104,0.667,0.472,0.076,0.122,0.166,0.882,0.953,217,1310
105,0.651,0.586,0.091,0.116,0.15,0.85,0.965,728,921
106,0.795,0.089,0.061,0.021,0.938,0.862,0.906,986,1127
107,0.754,0.158,0.242,0.096,0.773,0.902,0.799,279,1601
108,0.742,0.967,0.212,0.221,0.551,0.76,0.85,643,889
109,0.665,0.925,0.015,0.0,0.178,0.85,0.933,988,1758
110,0.825,0.292,0.167,0.292,0.843,0.945,0.89,24,1806
111,0.73,0.9,0.182,0.173,0.584,0.744,0.894,682,1899
112,0.713,0.922,0.091,0.245,0.333,0.815,0.917,524,779
113,0.713,0.244,0.076,0.286,0.326,0.898,0.909,474,1325
114,0.666,0.283,0.106,0.163,0.178,0.913,0.909,701,935
115,0.828,0.308,0.227,0.336,0.835,0.965,0.874,263,1306
116,0.773,0.147,0.212,0.172,0.809,0.894,0.823,208,649
117,0.739,0.161,0.091,0.211,0.617,0.886,0.894,594,893
118,0.67,0.211,0.061,0.136,0.181,0.886,0.913,112,581
119,0.735,0.047,0.197,0.236,0.596,0.819,0.831,283,1453
120,0.706,0.275,0.091,0.215,0.296,0.906,0.913,663,1554
121,0.796,0.0,0.167,0.021,0.968,0.803,0.866,317,642
122,0.792,0.344,0.182,0.107,0.914,0.945,0.909,71,1196
123,0.73,0.331,0.288,0.021,0.732,0.976,0.866,570,1490
124,0.738,0.889,0.5,0.061,0.7,0.472,0.748,622,1037
125,0.675,0.311,0.167,0.021,0.223,0.941,0.898,7,303
126,0.75,0.231,0.091,0.394,0.564,0.902,0.906,36,1419
127,0.704,0.003,0.152,0.168,0.295,0.811,0.874,913,1179
128,0.685,0.347,0.303,0.048,0.242,0.98,0.87,132,1364
129,0.677,0.103,0.076,0.155,0.213,0.866,0.902,247,1767
130,0.759,0.989,0.182,0.0,0.809,0.791,0.862,866,1959
131,0.717,0.853,0.182,0.021,0.393,0.736,0.917,108,821
132,0.775,0.136,0.197,0.061,0.871,0.886,0.831,669,1394
133,0.762,0.156,0.273,0.068,0.782,0.902,0.787,64,554
134,0.658,0.019,0.182,0.0,0.222,0.807,0.85,788,1257
135,0.808,0.331,0.106,0.116,0.936,0.917,0.921,527,1546
136,0.763,0.961,0.182,0.021,0.832,0.776,0.87,744,1945
137,0.748,0.033,0.106,0.408,0.603,0.839,0.89,151,1727
138,0.719,0.956,0.197,0.03,0.401,0.764,0.862,764,1272
139,0.645,0.219,0.136,0.172,0.123,0.913,0.882,862,1039
140,0.805,0.633,0.273,0.471,0.841,0.752,1.0,958,1476
141,0.734,0.789,0.364,0.043,0.732,0.571,0.913,491,1407
142,0.735,0.311,0.121,0.195,0.513,0.925,0.909,858,1717
143,0.749,0.831,0.348,0.129,0.717,0.591,0.882,687,1776
144,0.732,0.375,0.076,0.156,0.503,0.894,0.937,424,1315
145,0.707,0.375,0.045,0.173,0.316,0.882,0.937,988,1398
146,0.768,0.244,0.242,0.136,0.856,0.953,0.835,681,691
147,0.814,0.611,0.167,0.304,0.873,0.815,0.988,559,1432
148,0.738,0.006,0.091,0.125,0.528,0.835,0.902,692,1809
149,0.657,0.094,0.076,0.173,0.175,0.862,0.898,934,1080
150,0.821,0.264,0.091,0.021,0.686,0.902,0.909,769,1089
151,0.758,0.803,0.364,0.15,0.72,0.571,0.898,383,1231
152,0.75,0.058,0.091,0.211,0.577,0.85,0.894,230,965
153,0.696,0.056,0.167,0.107,0.279,0.835,0.854,917,1688
154,0.806,0.586,0.258,0.304,0.856,0.803,1.0,297,1100
155,0.808,0.556,0.303,0.043,0.885,0.819,0.996,748,1789
156,0.756,0.969,0.152,0.349,0.628,0.795,0.878,263,860
157,0.724,0.05,0.045,0.156,0.427,0.854,0.917,599,650
158,0.662,0.161,0.212,0.204,0.173,0.906,0.823,23,1052
159,0.648,0.117,0.197,0.356,0.134,0.874,0.835,255,926
160,0.785,0.481,0.167,0.24,0.798,0.894,0.965,379,691
161,0.802,0.444,0.227,0.061,0.865,0.921,0.953,781,962
162,0.756,0.292,0.197,0.192,0.789,0.953,0.878,781,1432
163,0.672,0.117,0.182,0.251,0.196,0.874,0.839,993,1313
164,0.826,0.911,0.242,0.091,0.669,0.701,0.862,453,536
165,0.783,0.614,0.152,0.232,0.797,0.819,0.984,695,885
166,0.799,0.714,0.061,0.365,0.894,0.823,0.953,643,1800
167,0.741,0.767,0.5,0.043,0.744,0.453,0.89,108,1056
168,0.78,0.544,0.227,0.163,0.778,0.846,0.988,570,1950
169,0.786,0.525,0.212,0.275,0.808,0.866,0.984,852,1338
170,0.745,0.361,0.242,0.048,0.566,0.961,0.906,448,1380
171,0.825,0.136,0.197,0.228,0.67,0.886,0.831,193,1742
172,0.777,0.283,0.182,0.275,0.847,0.941,0.886,470,1765
173,0.689,0.992,0.303,0.215,0.224,0.724,0.783,279,1072
174,0.823,0.042,0.106,0.262,0.677,0.843,0.89,185,517
175,0.765,0.022,0.106,0.349,0.696,0.835,0.894,187,1913
176,0.68,0.264,0.182,0.346,0.187,0.941,0.874,761,1696
177,0.766,0.8,0.318,0.177,0.734,0.614,0.917,104,1771
178,0.735,0.183,0.136,0.144,0.514,0.902,0.87,580,689
179,0.825,0.125,0.045,0.328,0.664,0.866,0.913,144,1848
180,0.798,0.358,0.045,0.442,0.885,0.886,0.933,458,1485
181,0.714,0.889,0.061,0.021,0.406,0.823,0.929,21,1423
182,0.79,0.078,0.167,0.429,0.901,0.85,0.846,113,964
183,0.747,0.239,0.182,0.021,0.614,0.933,0.87,201,1724
184,0.835,0.811,0.045,0.304,0.618,0.835,0.937,579,774
185,0.825,0.319,0.152,0.396,0.647,0.933,0.909,319,842
186,0.794,0.081,0.364,0.107,0.71,0.803,0.717,790,1506
187,0.733,0.922,0.227,0.03,0.506,0.728,0.87,338,1679
188,0.653,0.297,0.076,0.258,0.078,0.902,0.921,905,1307
189,0.791,0.5,0.061,0.198,0.812,0.87,0.953,295,1422
190,0.805,0.989,0.182,0.203,0.682,0.791,0.862,63,163
191,0.776,0.481,0.227,0.192,0.887,0.898,0.969,339,443
192,0.705,0.456,0.061,0.048,0.245,0.882,0.949,286,1910
193,0.825,0.322,0.106,0.414,0.622,0.917,0.917,466,1166
194,0.706,0.367,0.167,0.043,0.382,0.937,0.921,360,396
195,0.652,0.25,0.136,0.224,0.072,0.917,0.894,657,756
196,0.782,0.128,0.333,0.152,0.719,0.87,0.74,727,1206
197,0.798,0.711,0.061,0.442,0.875,0.827,0.953,129,244
198,0.759,0.939,0.121,0.136,0.617,0.795,0.898,989,1699
199,0.709,0.353,0.182,0.048,0.394,0.945,0.913,355,962
200,0.75,0.886,0.303,0.107,0.818,0.646,0.854,552,1142
201,0.837,0.125,0.061,0.464,0.586,0.87,0.909,217,1668
202,0.664,0.247,0.152,0.156,0.103,0.925,0.882,573,1754
203,0.82,0.119,0.227,0.346,0.654,0.87,0.807,374,495
204,0.773,0.522,0.212,0.086,0.773,0.866,0.984,18,1829
205,0.708,0.183,0.076,0.0,0.397,0.886,0.906,873,1650
206,0.822,0.139,0.167,0.543,0.602,0.886,0.846,213,1428
207,0.756,0.383,0.318,0.091,0.892,0.972,0.894,31,1951
208,0.749,0.175,0.258,0.11,0.516,0.917,0.795,181,1428
209,0.701,0.125,0.152,0.231,0.186,0.878,0.862,97,1486
210,0.829,0.064,0.273,0.432,0.639,0.815,0.787,646,899
211,0.774,0.594,0.076,0.245,0.772,0.846,0.965,554,1017
212,0.78,0.897,0.318,0.317,0.82,0.646,0.843,687,1531
213,0.784,0.867,0.273,0.339,0.813,0.665,0.882,390,1990
214,0.716,0.019,0.182,0.061,0.4,0.807,0.85,439,1398
215,0.841,0.156,0.242,0.442,0.543,0.902,0.803,696,1550
216,0.766,0.025,0.152,0.061,0.726,0.823,0.87,269,1893
217,0.83,0.028,0.197,0.704,0.581,0.807,0.839,480,1814
218,0.77,0.1,0.379,0.021,0.718,0.823,0.693,710,1043
219,0.774,0.464,0.197,0.328,0.783,0.906,0.961,883,1815
220,0.658,0.064,0.258,0.064,0.069,0.815,0.791,274,1937
221,0.778,0.722,0.121,0.515,0.814,0.787,0.965,261,1322
222,0.765,0.142,0.152,0.107,0.72,0.886,0.858,440,1855
223,0.768,0.586,0.197,0.183,0.754,0.823,0.992,8,1292
224,0.779,0.0,0.182,0.346,0.712,0.795,0.854,667,758
225,0.707,0.125,0.061,0.089,0.321,0.87,0.909,876,1843
226,0.779,0.464,0.258,0.432,0.815,0.913,0.961,113,1362
227,0.748,0.061,0.121,0.204,0.541,0.846,0.874,871,1999
228,0.784,0.956,0.121,0.429,0.731,0.799,0.894,835,1225
229,0.786,0.519,0.212,0.24,0.855,0.87,0.98,961,1853
230,0.752,0.775,0.197,0.136,0.587,0.724,0.949,273,1780
231,0.758,0.681,0.061,0.021,0.728,0.835,0.957,474,1641
232,0.763,0.556,0.242,0.129,0.741,0.835,0.992,149,630
233,0.775,0.15,0.197,0.354,0.681,0.894,0.831,518,1796
234,0.711,0.322,0.136,0.107,0.348,0.929,0.909,902,1590
235,0.675,0.989,0.273,0.048,0.128,0.74,0.807,736,1717
236,0.841,0.906,0.076,0.537,0.524,0.815,0.921,714,943
237,0.839,0.075,0.212,0.714,0.562,0.839,0.827,337,403
238,0.678,0.997,0.364,0.03,0.137,0.693,0.736,318,535
239,0.755,0.044,0.167,0.327,0.558,0.831,0.854,536,1915
240,0.729,0.133,0.106,0.144,0.424,0.878,0.886,122,1207
241,0.656,0.414,0.015,0.228,0.033,0.87,0.937,376,971
242,0.845,0.125,0.106,0.36,0.5,0.874,0.886,705,1370
243,0.79,0.25,0.045,0.623,0.771,0.882,0.921,998,1661
244,0.766,0.167,0.303,0.144,0.693,0.909,0.768,438,1565
245,0.75,0.214,0.197,0.061,0.845,0.929,0.846,188,1843
246,0.769,0.106,0.364,0.177,0.686,0.835,0.713,676,1297
247,0.787,0.639,0.227,0.408,0.841,0.772,0.992,745,1739
248,0.785,0.422,0.152,0.567,0.747,0.917,0.945,508,686
249,0.714,0.194,0.242,0.086,0.351,0.925,0.819,792,1551
250,0.762,0.903,0.091,0.365,0.573,0.811,0.921,440,646
251,0.829,0.35,0.136,0.299,0.59,0.925,0.921,562,1041
252,0.828,0.25,0.106,0.259,0.596,0.909,0.902,86,1170
253,0.771,0.617,0.091,0.258,0.804,0.839,0.965,40,781
254,0.749,0.233,0.197,0.021,0.832,0.937,0.858,205,367
255,0.782,0.303,0.152,0.583,0.82,0.937,0.902,367,1590
256,0.78,0.236,0.076,0.603,0.757,0.898,0.909,408,1722
257,0.835,0.219,0.242,0.442,0.558,0.941,0.827,866,1104
258,0.779,0.375,0.106,0.581,0.756,0.909,0.933,476,1719
259,0.667,0.136,0.303,0.275,0.055,0.882,0.756,0,1905
260,0.845,0.356,0.167,0.532,0.537,0.937,0.917,80,599
261,0.821,0.069,0.061,0.021,0.622,0.858,0.909,872,1092
262,0.746,0.969,0.182,0.048,0.49,0.78,0.866,927,1589
263,0.829,0.025,0.121,0.215,0.576,0.831,0.882,396,975
264,0.771,0.722,0.121,0.28,0.853,0.787,0.965,715,1083
265,0.824,0.106,0.152,0.0,0.602,0.866,0.854,897,1238
266,0.776,0.489,0.152,0.494,0.853,0.89,0.969,973,1104
267,0.755,0.4,0.121,0.15,0.77,0.913,0.941,248,1148
268,0.773,0.486,0.136,0.304,0.74,0.886,0.965,929,1192
269,0.763,0.581,0.182,0.259,0.826,0.831,0.988,266,772
270,0.776,0.397,0.03,0.452,0.767,0.878,0.937,53,1798
271,0.763,0.0,0.045,0.0,0.679,0.846,0.917,31,260
272,0.763,0.8,0.076,0.0,0.675,0.807,0.941,327,1301
273,0.767,0.8,0.121,0.086,0.658,0.783,0.945,172,1063
274,0.725,0.317,0.197,0.043,0.365,0.953,0.89,71,550
275,0.722,0.875,0.03,0.043,0.349,0.843,0.933,81,857
276,0.722,0.903,0.258,0.11,0.253,0.697,0.866,83,395
277,0.723,0.889,0.227,0.13,0.249,0.713,0.886,46,660
278,0.757,0.45,0.288,0.172,0.713,0.925,0.949,715,1313
279,0.78,0.375,0.045,0.666,0.805,0.882,0.937,620,1945
280,0.772,0.203,0.152,0.231,0.725,0.913,0.87,66,455
281,0.75,0.15,0.167,0.096,0.447,0.89,0.854,521,1500
282,0.653,0.125,0.152,0.03,0.057,0.878,0.858,419,1447
283,0.774,0.2,0.106,0.356,0.755,0.898,0.894,870,1008
284,0.792,0.108,0.288,0.448,0.623,0.854,0.772,238,1985
285,0.733,0.217,0.136,0.043,0.413,0.913,0.878,931,1976
286,0.83,0.919,0.076,0.0,0.562,0.819,0.921,848,1477
287,0.813,0.914,0.197,0.565,0.594,0.736,0.878,403,650
288,0.66,0.986,0.212,0.043,0.077,0.776,0.846,709,1427
289,0.768,0.247,0.136,0.03,0.687,0.921,0.886,982,1561
290,0.728,0.042,0.197,0.144,0.342,0.819,0.839,926,1396
291,0.713,0.242,0.182,0.369,0.211,0.937,0.866,306,698
292,0.818,0.911,0.212,0.608,0.588,0.728,0.874,54,730
293,0.775,0.792,0.167,0.608,0.834,0.744,0.945,269,1999
294,0.769,0.3,0.076,0.219,0.578,0.902,0.921,579,617
295,0.76,0.214,0.197,0.077,0.55,0.929,0.85,358,778
296,0.728,0.989,0.106,0.11,0.364,0.823,0.894,836,1079
297,0.724,0.294,0.061,0.15,0.265,0.894,0.921,639,1418
298,0.798,0.067,0.258,0.472,0.615,0.819,0.791,438,534
299,0.761,0.144,0.242,0.129,0.654,0.894,0.799,918,975
300,0.755,0.725,0.152,0.224,0.802,0.776,0.965,975,1464
301,0.757,0.644,0.121,0.231,0.805,0.815,0.976,484,1342
302,0.772,0.714,0.091,0.061,0.674,0.807,0.961,153,520
303,0.667,0.867,0.212,0.096,0.089,0.72,0.902,797,1983
304,0.814,0.164,0.318,0.523,0.584,0.909,0.756,495,1126
305,0.727,0.042,0.152,0.152,0.269,0.831,0.862,378,1285
306,0.673,0.025,0.212,0.03,0.112,0.803,0.835,488,1794
307,0.759,0.644,0.121,0.262,0.82,0.819,0.972,882,1206
308,0.778,0.683,0.136,0.547,0.838,0.791,0.972,772,1009
309,0.729,0.261,0.106,0.266,0.253,0.909,0.906,913,1270
310,0.774,0.95,0.091,0.137,0.675,0.819,0.909,982,1154
311,0.823,0.164,0.273,0.438,0.568,0.909,0.787,415,1476
312,0.742,0.0,0.091,0.096,0.419,0.831,0.898,437,703
313,0.727,0.169,0.106,0.259,0.258,0.89,0.886,200,961
314,0.778,0.217,0.152,0.24,0.748,0.921,0.87,691,1356
315,0.755,0.392,0.136,0.198,0.488,0.921,0.937,277,335
316,0.692,0.114,0.258,0.203,0.179,0.862,0.787,68,1287
317,0.826,0.358,0.182,0.344,0.548,0.945,0.917,613,754
318,0.755,0.6,0.136,0.192,0.803,0.831,0.98,945,1110
319,0.821,0.2,0.076,0.299,0.542,0.89,0.906,446,1885
320,0.766,0.083,0.136,0.021,0.629,0.858,0.866,977,1650
321,0.76,0.278,0.106,0.021,0.601,0.913,0.909,123,1759
322,0.838,0.0,0.167,0.471,0.504,0.803,0.866,513,1193
323,0.83,0.147,0.106,0.349,0.515,0.882,0.886,224,1649
324,0.752,0.656,0.076,0.152,0.795,0.831,0.961,627,1876
325,0.745,0.978,0.03,0.286,0.403,0.85,0.929,3,501
326,0.752,0.706,0.091,0.152,0.799,0.811,0.961,164,707
327,0.726,0.125,0.182,0.0,0.315,0.878,0.843,897,972
328,0.844,0.933,0.136,0.496,0.484,0.783,0.894,896,1041
329,0.826,0.772,0.076,0.15,0.511,0.811,0.949,238,1103
330,0.765,0.172,0.121,0.137,0.63,0.894,0.878,785,1854
331,0.76,0.658,0.242,0.245,0.815,0.744,0.992,968,1208
332,0.791,0.781,0.061,0.451,0.778,0.823,0.945,412,1118
333,0.766,0.792,0.167,0.152,0.604,0.74,0.945,588,1851
334,0.723,0.114,0.258,0.328,0.244,0.866,0.791,473,1268
335,0.822,0.45,0.045,0.129,0.51,0.874,0.945,515,1987
336,0.808,0.192,0.212,0.213,0.544,0.921,0.835,11,1105
337,0.75,0.142,0.152,0.116,0.467,0.886,0.862,661,1158
338,0.825,0.339,0.091,0.096,0.493,0.906,0.925,662,1137
339,0.784,0.225,0.136,0.156,0.583,0.917,0.882,361,1635
340,0.768,0.697,0.136,0.344,0.824,0.791,0.969,34,175
341,0.772,0.075,0.061,0.137,0.672,0.858,0.906,554,885
342,0.765,0.111,0.182,0.231,0.64,0.87,0.839,173,1748
343,0.763,0.967,0.197,0.183,0.529,0.764,0.854,976,1898
344,0.816,0.522,0.106,0.096,0.522,0.87,0.965,149,1232
345,0.734,0.417,0.227,0.173,0.274,0.937,0.937,7,1145
346,0.813,0.514,0.152,0.03,0.509,0.874,0.976,602,941
347,0.739,0.136,0.197,0.192,0.357,0.886,0.831,949,1212
348,0.76,0.308,0.121,0.215,0.512,0.921,0.909,106,226
349,0.728,0.306,0.091,0.301,0.263,0.906,0.921,995,1083
350,0.847,0.236,0.152,0.346,0.449,0.925,0.878,931,1539
351,0.826,0.083,0.242,0.061,0.469,0.839,0.799,537,982
352,0.766,0.103,0.076,0.305,0.549,0.866,0.902,627,1101
353,0.778,0.767,0.136,0.538,0.828,0.776,0.953,199,1645
354,0.78,0.781,0.152,0.558,0.824,0.764,0.949,260,512
355,0.763,0.078,0.076,0.28,0.521,0.858,0.906,325,1978
356,0.757,0.919,0.136,0.283,0.494,0.787,0.906,799,1785
357,0.774,0.875,0.076,0.258,0.706,0.811,0.925,436,1516
358,0.772,0.803,0.212,0.408,0.629,0.705,0.937,442,1064
359,0.749,0.142,0.303,0.259,0.378,0.886,0.76,120,1116
360,0.729,0.286,0.045,0.15,0.301,0.886,0.925,571,939
361,0.762,0.353,0.136,0.292,0.407,0.929,0.921,530,1806
362,0.733,0.264,0.167,0.091,0.347,0.937,0.882,620,629
363,0.815,0.264,0.182,0.172,0.462,0.941,0.874,108,1852
364,0.772,0.261,0.121,0.334,0.602,0.913,0.902,204,471
365,0.786,0.125,0.03,0.487,0.779,0.866,0.921,145,1198
366,0.799,0.169,0.288,0.137,0.466,0.913,0.776,756,1828
367,0.789,0.064,0.076,0.15,0.489,0.854,0.898,841,1270
368,0.773,0.25,0.121,0.173,0.519,0.913,0.898,183,1898
369,0.752,0.489,0.227,0.183,0.447,0.89,0.972,394,563
370,0.776,0.183,0.091,0.177,0.67,0.894,0.894,654,1135
371,0.655,0.419,0.091,0.077,0.084,0.898,0.945,470,632
372,0.826,0.311,0.121,0.043,0.405,0.925,0.909,69,1192
373,0.762,0.675,0.364,0.286,0.79,0.646,0.984,590,1549
374,0.78,0.597,0.167,0.498,0.826,0.823,0.988,369,1250
375,0.783,0.661,0.136,0.583,0.823,0.803,0.976,911,1106
376,0.761,0.222,0.167,0.236,0.575,0.921,0.87,553,1410
377,0.737,0.881,0.152,0.048,0.388,0.764,0.909,499,849
378,0.721,0.036,0.045,0.251,0.302,0.85,0.917,920,1529
379,0.763,0.7,0.273,0.301,0.789,0.693,0.98,240,1710
380,0.741,0.397,0.182,0.061,0.437,0.937,0.933,120,1711
381,0.783,0.147,0.106,0.185,0.498,0.882,0.882,64,879
382,0.757,0.392,0.045,0.137,0.561,0.886,0.937,21,1053
383,0.726,0.514,0.136,0.122,0.335,0.874,0.969,490,1784
384,0.719,0.419,0.273,0.251,0.236,0.945,0.933,195,1453
385,0.715,0.4,0.258,0.215,0.223,0.953,0.921,571,792
386,0.703,0.325,0.303,0.173,0.207,0.984,0.854,39,1446
387,0.692,0.303,0.394,0.125,0.19,0.996,0.787,251,728
388,0.771,0.35,0.136,0.086,0.669,0.925,0.921,208,505
389,0.719,0.411,0.288,0.24,0.249,0.953,0.921,363,1512
390,0.712,0.414,0.273,0.192,0.228,0.945,0.929,14,1801
391,0.711,0.411,0.288,0.183,0.223,0.953,0.925,182,864
392,0.704,0.3,0.242,0.144,0.211,0.969,0.866,440,602
393,0.713,0.378,0.212,0.198,0.236,0.949,0.921,786,991
394,0.71,0.364,0.212,0.173,0.228,0.953,0.913,832,943
395,0.708,0.369,0.242,0.163,0.223,0.961,0.909,463,1244
396,0.704,0.325,0.227,0.125,0.211,0.965,0.886,741,1888
397,0.677,0.275,0.212,0.021,0.169,0.957,0.866,23,1146
398,0.797,0.342,0.167,0.0,0.43,0.941,0.909,254,370
399,0.793,0.464,0.273,0.068,0.457,0.913,0.961,780,1121
400,0.751,0.333,0.121,0.116,0.554,0.921,0.921,393,777
401,0.742,0.297,0.121,0.021,0.483,0.921,0.909,72,946
