id,t,u,time_in,time_out
152,0.75,0.058,174,482
153,0.696,0.056,561,629
154,0.806,0.586,496,1521
155,0.808,0.556,859,1654
156,0.756,0.969,389,537
157,0.724,0.05,1000,1658
158,0.662,0.161,874,1974
159,0.648,0.117,765,1167
160,0.785,0.481,503,626
161,0.802,0.444,759,1135
162,0.756,0.292,391,1131
163,0.672,0.117,639,1946
164,0.826,0.911,728,1313
165,0.783,0.614,772,1422
166,0.799,0.714,93,657
167,0.741,0.767,472,913
168,0.78,0.544,318,542
169,0.786,0.525,578,1805
170,0.745,0.361,625,1095
171,0.825,0.136,130,605
172,0.777,0.283,448,1596
173,0.689,0.992,449,563
174,0.823,0.042,763,895
175,0.765,0.022,664,1739
176,0.68,0.264,430,1260
177,0.766,0.8,954,1936
178,0.735,0.183,925,1630
179,0.825,0.125,507,1493
180,0.798,0.358,67,817
181,0.714,0.889,144,1598
182,0.79,0.078,378,1604
183,0.747,0.239,848,1954
184,0.835,0.811,562,1384
185,0.825,0.319,641,1564
186,0.794,0.081,546,877
187,0.733,0.922,907,989
188,0.653,0.297,539,1657
189,0.791,0.5,629,667
190,0.805,0.989,89,1366
191,0.776,0.481,85,939
192,0.705,0.456,953,1995
193,0.825,0.322,112,1761
194,0.706,0.367,391,1955
195,0.652,0.25,709,741
196,0.782,0.128,220,294
197,0.798,0.711,82,655
198,0.759,0.939,107,1420
199,0.709,0.353,399,588
200,0.75,0.886,495,1856
201,0.837,0.125,726,1014
202,0.664,0.247,337,994
203,0.82,0.119,516,1871
204,0.773,0.522,674,1986
205,0.708,0.183,277,1606
206,0.822,0.139,206,1484
207,0.756,0.383,90,897
208,0.749,0.175,833,1802
209,0.701,0.125,946,1419
210,0.829,0.064,286,1399
211,0.774,0.594,213,341
212,0.78,0.897,230,1248
213,0.784,0.867,773,1872
214,0.716,0.019,898,1673
215,0.841,0.156,371,1025
216,0.766,0.025,141,1182
217,0.83,0.028,150,1172
218,0.77,0.1,170,1335
219,0.774,0.464,435,1004
220,0.658,0.064,615,1594
221,0.778,0.722,671,1426
222,0.765,0.142,283,382
223,0.768,0.586,259,1576
224,0.779,0.0,519,1544
225,0.707,0.125,794,1372
226,0.779,0.464,192,588
227,0.748,0.061,60,852
228,0.784,0.956,323,504
229,0.786,0.519,365,1358
230,0.752,0.775,350,916
231,0.758,0.681,274,532
232,0.763,0.556,152,657
233,0.775,0.15,419,1811
234,0.711,0.322,174,365
235,0.675,0.989,2,1154
236,0.841,0.906,225,680
237,0.839,0.075,758,1648
238,0.678,0.997,571,1697
239,0.755,0.044,950,1527
240,0.729,0.133,568,1474
241,0.656,0.414,965,1430
242,0.845,0.125,124,626
243,0.79,0.25,139,332
244,0.766,0.167,825,922
245,0.75,0.214,301,1806
246,0.769,0.106,239,292
247,0.787,0.639,295,1197
248,0.785,0.422,46,1045
249,0.714,0.194,940,1981
250,0.762,0.903,874,1657
251,0.829,0.35,374,1481
252,0.828,0.25,548,1120
253,0.771,0.617,20,1812
254,0.749,0.233,286,837
255,0.782,0.303,786,1408
256,0.78,0.236,246,1398
257,0.835,0.219,678,1955
258,0.779,0.375,613,1640
259,0.667,0.136,88,236
260,0.845,0.356,117,151
261,0.821,0.069,819,1054
262,0.746,0.969,845,1993
263,0.829,0.025,595,1451
264,0.771,0.722,970,1674
265,0.824,0.106,66,606
266,0.776,0.489,824,1542
267,0.755,0.4,996,1309
268,0.773,0.486,796,1622
269,0.763,0.581,481,936
270,0.776,0.397,351,1203
271,0.763,0.0,380,1423
272,0.763,0.8,162,629
273,0.767,0.8,625,1287
274,0.725,0.317,349,482
275,0.722,0.875,91,1691
276,0.722,0.903,463,530
277,0.723,0.889,522,1757
278,0.757,0.45,411,444
279,0.78,0.375,269,1748
280,0.772,0.203,147,811
281,0.75,0.15,277,786
282,0.653,0.125,78,827
283,0.774,0.2,998,1917
284,0.792,0.108,982,1286
285,0.733,0.217,464,1819
286,0.83,0.919,206,759
287,0.813,0.914,709,1391
288,0.66,0.986,665,880
289,0.768,0.247,751,1397
290,0.728,0.042,577,1467
291,0.713,0.242,680,904
292,0.818,0.911,249,1430
293,0.775,0.792,418,1165
294,0.769,0.3,782,1443
295,0.76,0.214,296,1118
296,0.728,0.989,220,520
297,0.724,0.294,373,1558
298,0.798,0.067,520,1605
299,0.761,0.144,316,1642
300,0.755,0.725,385,495
301,0.757,0.644,104,1152
302,0.772,0.714,993,1064
303,0.667,0.867,415,1816
304,0.814,0.164,100,1146
305,0.727,0.042,746,1117
306,0.673,0.025,796,995
307,0.759,0.644,70,1441
308,0.778,0.683,520,1789
309,0.729,0.261,777,1448
310,0.774,0.95,785,1970
311,0.823,0.164,426,1458
312,0.742,0.0,134,1396
313,0.727,0.169,312,1830
314,0.778,0.217,156,629
315,0.755,0.392,287,397
316,0.692,0.114,304,671
317,0.826,0.358,941,1580
318,0.755,0.6,762,1750
319,0.821,0.2,506,1908
320,0.766,0.083,113,275
321,0.76,0.278,304,1749
322,0.838,0.0,508,681
323,0.83,0.147,836,1025
324,0.752,0.656,256,1737
325,0.745,0.978,969,1390
326,0.752,0.706,320,1113
327,0.726,0.125,784,988
328,0.844,0.933,768,1615
329,0.826,0.772,625,894
330,0.765,0.172,818,1046
331,0.76,0.658,791,1122
332,0.791,0.781,427,1966
333,0.766,0.792,482,1164
334,0.723,0.114,316,1553
335,0.822,0.45,257,981
336,0.808,0.192,530,1119
337,0.75,0.142,422,709
338,0.825,0.339,745,1333
339,0.784,0.225,224,650
340,0.768,0.697,672,1214
341,0.772,0.075,800,1514
342,0.765,0.111,414,788
343,0.763,0.967,201,1910
344,0.816,0.522,319,677
345,0.734,0.417,828,1623
346,0.813,0.514,556,1045
347,0.739,0.136,905,1013
348,0.76,0.308,780,1321
349,0.728,0.306,477,532
350,0.847,0.236,333,1718
351,0.826,0.083,98,889
352,0.766,0.103,429,964
353,0.778,0.767,896,1612
354,0.78,0.781,249,1790
355,0.763,0.078,327,1044
356,0.757,0.919,974,1977
357,0.774,0.875,97,1098
358,0.772,0.803,743,1732
359,0.749,0.142,340,899
360,0.729,0.286,689,1284
361,0.762,0.353,584,1223
362,0.733,0.264,924,1198
363,0.815,0.264,2,730
364,0.772,0.261,591,1847
365,0.786,0.125,924,1999
366,0.799,0.169,129,982
367,0.789,0.064,148,1945
368,0.773,0.25,679,1891
369,0.752,0.489,415,1947
370,0.776,0.183,120,1028
371,0.655,0.419,577,1735
372,0.826,0.311,35,270
373,0.762,0.675,453,1453
374,0.78,0.597,840,1030
375,0.783,0.661,104,1533
376,0.761,0.222,767,797
377,0.737,0.881,344,1471
378,0.721,0.036,130,848
379,0.763,0.7,978,1150
380,0.741,0.397,703,1430
381,0.783,0.147,493,965
382,0.757,0.392,83,958
383,0.726,0.514,325,659
384,0.719,0.419,978,1516
385,0.715,0.4,937,1977
386,0.703,0.325,617,1239
387,0.692,0.303,799,1104
388,0.771,0.35,831,1796
389,0.719,0.411,296,1023
390,0.712,0.414,579,713
391,0.711,0.411,659,1530
392,0.704,0.3,169,1771
393,0.713,0.378,869,1168
394,0.71,0.364,154,769
395,0.708,0.369,98,1922
396,0.704,0.325,18,30
397,0.677,0.275,648,1908
398,0.797,0.342,454,1524
399,0.793,0.464,52,1940
400,0.751,0.333,167,876
401,0.742,0.297,45,344
402,0.74,0.975,329,1963
403,0.722,0.561,922,1916
404,0.706,0.353,337,1090
405,0.688,0.306,150,665
406,0.794,0.539,136,982
407,0.791,0.464,753,1675
408,0.779,0.392,791,1016
409,0.765,0.161,750,1262
410,0.786,0.189,783,1073
411,0.701,0.361,695,1245
412,0.696,0.356,501,650
413,0.69,0.331,72,259
414,0.792,0.281,111,1689
415,0.791,0.386,552,1883
416,0.793,0.95,641,665
417,0.763,0.136,617,685
418,0.701,0.342,708,1293
419,0.694,0.358,575,1326
420,0.679,0.225,512,861
421,0.793,0.125,929,1162
422,0.771,0.378,207,1513
423,0.795,0.058,208,1509
424,0.705,0.356,786,1592
425,0.684,0.239,244,1511
426,0.7,0.319,370,1405
427,0.693,0.3,327,1579
428,0.688,0.197,753,1543
429,0.691,0.139,136,1114
430,0.791,0.222,787,1949
431,0.741,0.347,316,1987
432,0.74,0.453,983,1255
433,0.79,0.156,293,971
434,0.745,0.975,978,1354
435,0.695,0.064,858,1188
436,0.694,0.025,853,1360
437,0.694,0.025,349,1626
438,0.736,0.333,624,1518
439,0.724,0.239,164,1433
440,0.804,0.206,706,886
441,0.776,0.017,816,1687
442,0.7,0.25,21,272
443,0.775,0.783,784,1468
444,0.779,0.086,533,764
445,0.757,0.325,271,546
446,0.763,0.717,174,1138
447,0.792,0.75,45,1850
448,0.772,0.208,265,383
449,0.756,0.225,839,1521
450,0.714,0.083,118,153
451,0.704,0.431,990,1781
452,0.759,0.875,993,1643
453,0.718,0.264,112,604
454,0.688,0.214,97,1083
455,0.713,0.344,492,829
456,0.753,0.125,285,355
457,0.721,0.181,442,1749
458,0.704,0.564,332,1563
459,0.769,0.939,991,1985
460,0.71,0.361,793,1643
461,0.757,0.358,369,884
462,0.724,0.281,944,1486
463,0.794,0.25,218,870
464,0.788,0.675,958,1033
465,0.749,0.089,794,1723
466,0.798,0.5,548,1914
467,0.677,0.367,336,1083
468,0.772,0.375,164,773
469,0.765,0.981,271,1246
470,0.719,0.225,65,203
471,0.792,0.25,103,1137
472,0.794,0.125,838,1630
473,0.711,0.483,282,1615
474,0.694,0.464,583,1430
475,0.665,0.389,28,1721
476,0.71,0.394,651,852
477,0.778,0.742,20,1081
478,0.781,0.014,298,1061
479,0.67,0.953,500,1156
480,0.752,0.289,251,720
481,0.79,0.431,310,836
482,0.754,0.589,313,1051
483,0.754,0.55,72,871
484,0.78,0.3,40,681
485,0.777,0.189,468,1184
486,0.78,0.731,487,1788
487,0.78,0.067,659,1838
488,0.779,0.05,487,1771
489,0.786,0.225,325,953
490,0.762,0.8,822,1246
491,0.764,0.769,932,1733
492,0.785,0.897,451,1357
493,0.752,0.875,111,1632
494,0.76,0.267,340,1876
495,0.754,0.2,764,1580
496,0.754,0.0,85,1816
497,0.752,0.5,283,1392
498,0.743,0.397,407,1484
499,0.79,0.989,112,1006
500,0.678,0.042,293,1857
501,0.777,0.944,645,1598
502,0.768,0.767,900,1061
503,0.715,0.444,66,537
504,0.686,0.025,469,1996
505,0.785,0.603,796,921
506,0.768,0.336,567,1803
507,0.757,0.325,589,714
508,0.697,0.953,285,331
509,0.689,0.008,101,406
510,0.766,0.653,667,1813
511,0.765,0.333,973,1976
512,0.748,0.344,976,1397
513,0.781,0.939,676,1219
514,0.776,0.172,986,1560
515,0.769,0.394,847,1875
516,0.773,0.131,181,1459
517,0.71,0.864,921,1466
518,0.773,0.014,452,922
519,0.756,0.675,325,1479
520,0.79,0.375,590,759
521,0.713,0.75,995,1607
522,0.697,0.883,18,1618
523,0.674,0.247,711,1224
524,0.757,0.733,927,1188
525,0.771,0.703,19,642
526,0.678,0.231,359,1589
527,0.667,0.256,474,842
528,0.762,0.053,460,609
529,0.756,0.125,509,797
530,0.717,0.114,551,1546
531,0.722,0.967,247,1837
532,0.739,0.3,633,906
533,0.757,0.656,583,1362
534,0.776,0.647,551,1492
535,0.73,0.089,55,1800
536,0.76,0.05,760,1597
537,0.733,0.031,516,1026
538,0.724,0.131,627,1595
539,0.715,0.172,424,583
540,0.7,0.211,182,1955
541,0.778,0.661,499,1781
542,0.7,0.458,118,1069
543,0.708,0.219,891,1069
544,0.688,0.228,267,884
545,0.685,0.128,813,1774
546,0.777,0.7,947,1606
547,0.74,0.078,927,1577
548,0.728,0.175,481,1432
549,0.682,0.261,929,1122
550,0.671,0.422,130,1219
551,0.729,0.233,331,655
552,0.758,0.578,564,1478
553,0.736,0.197,186,1812
554,0.697,0.497,957,1629
555,0.781,0.183,166,817
556,0.776,0.172,118,900
557,0.762,0.442,953,1053
558,0.759,0.361,917,1212
559,0.739,0.297,339,1133
560,0.764,0.339,613,1524
561,0.673,0.092,917,1004
562,0.762,0.125,388,1444
563,0.727,0.122,885,1247
564,0.797,0.144,10,60
565,0.76,0.15,489,680
566,0.743,0.081,366,1982
567,0.742,0.356,611,1494
568,0.764,0.978,270,1722
569,0.783,0.069,345,644
570,0.782,0.136,223,1216
571,0.742,0.536,439,478
572,0.772,0.433,929,1360
573,0.763,0.175,443,1385
574,0.679,0.019,761,1579
575,0.769,0.333,138,1643
576,0.709,0.258,473,1134
577,0.707,0.231,13,1574
578,0.716,0.528,84,1190
579,0.757,0.75,945,1123
580,0.758,0.169,15,1043
581,0.768,0.961,238,1594
582,0.68,0.508,932,1876
583,0.756,0.297,707,971
584,0.685,0.958,670,762
585,0.686,0.125,489,853
586,0.784,0.067,505,1813
587,0.687,0.111,647,1806
588,0.761,0.642,377,1947
589,0.729,0.353,926,1077
590,0.678,0.956,547,1801
591,0.765,0.781,987,1683
592,0.769,0.794,86,672
593,0.776,0.633,858,1108
594,0.771,0.344,969,1254
595,0.725,0.364,109,1760
596,0.766,0.864,709,1519
597,0.756,0.486,504,1653
598,0.731,0.2,830,1001
599,0.724,0.497,178,1144
600,0.69,0.739,567,940
601,0.724,0.331,115,804
602,0.771,0.875,170,802
603,0.728,0.319,8,365
604,0.806,0.242,204,1575
605,0.806,0.147,491,1424
606,0.724,0.303,361,684
607,0.719,0.336,835,1395
608,0.807,0.039,139,1398
609,0.757,0.947,562,1288
610,0.715,0.358,322,1606
611,0.765,0.114,558,712
612,0.716,0.253,386,1393
613,0.714,0.303,356,1691
614,0.711,0.339,871,1836
615,0.709,0.383,942,965
616,0.766,0.433,984,1228
617,0.69,0.383,951,1435
618,0.774,0.192,218,1943
619,0.769,0.2,368,957
620,0.69,0.328,279,1900
621,0.674,0.178,883,923
622,0.763,0.197,415,1078
623,0.705,0.25,834,1175
624,0.699,0.467,570,1006
625,0.692,0.086,788,1382
626,0.714,0.286,575,1974
627,0.705,0.281,757,1006
628,0.696,0.394,82,1430
629,0.694,0.331,39,907
630,0.677,0.375,761,1734
631,0.701,0.381,66,1722
632,0.702,0.897,987,1076
633,0.694,0.183,783,1135
634,0.83,0.194,108,499
635,0.697,0.333,694,1301
636,0.696,0.031,92,587
637,0.696,0.964,786,1206
638,0.703,0.914,280,940
639,0.717,0.106,369,1217
640,0.699,0.281,710,1460
641,0.697,0.097,596,1410
642,0.718,0.019,925,1178
643,0.724,0.35,996,1586
644,0.71,0.922,53,1519
645,0.78,0.661,98,901
646,0.768,0.233,106,1933
647,0.721,0.922,645,1633
648,0.721,0.156,923,1481
649,0.719,0.111,498,1407
650,0.721,0.108,851,1919
651,0.672,0.019,495,1600
652,0.816,0.333,350,1335
653,0.789,0.958,164,1555
654,0.757,0.211,629,978
655,0.722,0.144,800,1482
656,0.721,0.036,684,1332
657,0.721,0.972,673,1439
658,0.744,0.219,124,1432
659,0.725,0.075,431,1278
660,0.723,0.15,565,817
661,0.718,0.297,990,1666
662,0.705,0.133,964,1264
663,0.716,0.992,803,1939
664,0.78,0.203,513,998
665,0.766,0.181,485,1072
666,0.816,0.375,998,1132
667,0.728,0.311,775,1239
668,0.729,0.978,994,1885
669,0.831,0.167,187,1157
670,0.75,0.133,76,180
671,0.757,0.814,242,563
672,0.733,0.978,903,1179
673,0.673,0.908,566,1303
674,0.77,0.967,110,1775
675,0.735,0.967,688,773
676,0.728,0.117,777,1893
677,0.696,0.392,898,1440
678,0.677,0.108,70,907
679,0.686,0.65,842,1786
680,0.691,0.264,583,1324
681,0.763,0.847,634,724
682,0.77,0.944,730,977
683,0.731,0.856,991,1128
684,0.69,0.167,469,1105
685,0.696,0.939,737,1484
686,0.804,0.236,371,1512
687,0.786,0.139,266,1068
688,0.695,0.078,663,1411
689,0.745,0.953,854,887
690,0.726,0.994,408,1787
691,0.767,0.108,486,1863
692,0.749,0.056,342,1016
693,0.702,0.014,935,1257
694,0.701,0.025,225,1366
695,0.7,0.075,786,1624
696,0.696,0.081,480,1990
697,0.707,0.144,148,1624
698,0.705,0.1,914,1943
699,0.708,0.122,10,1254
700,0.706,0.969,225,492
701,0.679,0.036,412,721
702,0.828,0.231,627,1533
703,0.814,0.294,645,1829
704,0.759,0.122,216,1562
705,0.738,0.814,326,1139
706,0.708,0.25,451,1689
707,0.727,0.925,305,1813
708,0.76,0.011,780,1989
709,0.744,0.228,35,1368
710,0.709,0.275,694,855
711,0.708,0.375,481,1411
712,0.688,0.922,46,991
713,0.688,0.058,636,1527
714,0.689,0.922,711,952
715,0.691,0.0,579,881
716,0.744,0.256,198,358
717,0.774,0.603,745,876
718,0.757,0.878,261,1518
719,0.705,0.175,33,722
720,0.695,0.183,635,1471
721,0.69,0.9,849,1099
722,0.802,0.136,601,1597
723,0.771,0.106,459,833
724,0.688,0.258,615,721
725,0.745,0.872,820,1775
726,0.77,0.097,966,1762
727,0.69,0.331,968,1156
728,0.757,0.3,434,847
729,0.71,0.75,230,1600
730,0.693,0.075,664,1936
731,0.699,0.767,751,1017
732,0.698,0.156,519,1737
733,0.784,0.156,174,1363
734,0.774,0.483,179,1490
735,0.741,0.922,643,715
736,0.697,0.111,339,1614
737,0.774,0.469,412,813
738,0.722,0.267,662,979
739,0.76,0.831,246,711
740,0.703,0.844,548,1347
741,0.766,0.444,33,685
742,0.713,0.189,945,1441
743,0.789,0.158,740,1561
744,0.705,0.144,231,1091
745,0.716,0.211,910,1944
746,0.786,0.169,798,1250
747,0.714,0.639,170,1419
748,0.806,0.072,761,1639
749,0.761,0.278,972,1031
750,0.745,0.919,746,1334
751,0.746,0.758,286,420
752,0.74,0.183,406,1213
753,0.771,0.586,485,1907
754,0.712,0.025,946,1965
755,0.701,0.131,403,1599
756,0.797,0.275,465,1458
757,0.76,0.258,216,1771
758,0.749,0.897,678,1773
759,0.815,0.236,646,953
760,0.687,0.178,188,1110
761,0.763,0.472,619,1053
762,0.657,0.3,636,777
763,0.719,0.028,242,524
764,0.708,0.119,995,1827
765,0.756,0.633,880,1083
766,0.711,0.328,355,1885
767,0.703,0.475,250,941
768,0.783,0.189,41,1174
769,0.786,0.242,583,1430
770,0.753,0.147,873,1936
771,0.743,0.339,298,1794
772,0.658,0.067,183,1605
773,0.75,0.992,57,1633
774,0.752,0.406,811,1254
775,0.8,0.342,686,1866
776,0.799,0.125,241,1475
777,0.758,0.025,45,990
778,0.71,0.156,754,1412
779,0.806,0.167,885,1937
780,0.761,0.019,81,836
781,0.755,0.289,21,829
782,0.696,0.125,434,548
783,0.665,0.122,52,983
784,0.78,0.564,944,1307
785,0.714,0.308,802,1971
786,0.705,0.017,93,1673
787,0.7,0.125,362,1373
788,0.758,0.228,533,1684
789,0.731,0.283,483,1782
790,0.714,0.281,596,1806
791,0.698,0.014,697,1114
792,0.693,0.956,411,1151
793,0.824,0.231,980,1704
794,0.733,0.211,366,722
795,0.706,0.264,204,1428
796,0.767,0.269,715,1307
797,0.762,0.244,873,1069
798,0.716,0.503,469,657
799,0.716,0.411,289,454
800,0.77,0.894,514,1760
801,0.776,0.986,22,126
802,0.654,0.222,519,1770
803,0.713,0.167,13,1042
804,0.711,0.958,493,1798
805,0.699,0.042,287,883
806,0.776,0.961,93,446
807,0.77,0.0,494,1353
808,0.76,0.083,308,1607
809,0.743,0.522,739,1498
810,0.771,0.7,457,943
811,0.758,0.186,528,910
812,0.74,0.814,908,1295
813,0.705,0.35,196,617
814,0.68,0.303,17,1131
815,0.774,0.25,831,1393
816,0.754,0.214,6,696
817,0.755,0.361,795,1573
818,0.721,0.992,58,1833
819,0.74,0.939,666,765
820,0.74,0.006,274,1903
821,0.777,0.875,242,1296
822,0.817,0.181,96,404
823,0.763,0.211,840,1782
824,0.731,0.175,850,1150
825,0.778,0.461,683,1594
826,0.785,0.225,57,1372
827,0.788,0.347,927,1667
828,0.746,0.942,114,1690
829,0.718,0.142,631,1386
830,0.708,0.247,467,1039
831,0.819,0.172,442,1484
832,0.809,0.261,814,1771
833,0.693,0.192,189,1975
834,0.722,0.275,762,1662
835,0.659,0.239,892,1600
836,0.82,0.153,833,1060
837,0.777,0.419,526,1646
838,0.77,0.103,872,1057
839,0.741,0.314,638,809
840,0.739,0.119,704,1326
841,0.674,0.133,285,1303
842,0.729,0.014,605,658
843,0.784,0.267,317,1898
844,0.766,0.008,162,1496
845,0.744,0.903,315,1499
846,0.795,0.369,510,988
847,0.753,0.689,329,1547
848,0.778,0.047,853,1802
849,0.703,0.2,433,1258
850,0.791,0.2,509,1396
851,0.747,0.103,447,964
852,0.768,0.3,395,405
853,0.716,0.992,185,1737
854,0.788,0.4,160,1171
855,0.773,0.367,666,879
856,0.801,0.364,33,1027
857,0.78,0.989,721,1457
858,0.752,0.183,948,1642
859,0.781,0.65,783,1362
860,0.751,0.706,216,1646
861,0.751,0.317,888,954
862,0.735,0.089,829,914
863,0.721,0.267,136,987
864,0.751,0.767,837,1236
865,0.751,0.978,639,937
866,0.736,0.894,684,1852
867,0.726,0.253,606,655
868,0.749,0.811,589,1291
869,0.752,0.95,725,952
870,0.74,0.108,44,361
871,0.784,0.539,976,1789
872,0.767,0.289,22,96
873,0.76,0.314,282,1793
874,0.751,0.975,906,1004
875,0.753,0.981,512,1679
876,0.757,0.717,159,238
877,0.79,0.931,872,1876
878,0.713,0.189,291,1209
879,0.753,0.025,704,1605
880,0.753,0.242,209,1997
881,0.714,0.225,258,1458
882,0.691,0.175,844,1843
883,0.688,0.217,102,1107
884,0.771,0.983,543,1286
885,0.812,0.883,243,574
886,0.755,0.892,886,1806
887,0.754,0.55,735,1770
888,0.754,0.739,983,1085
889,0.718,0.189,515,1275
890,0.755,0.314,776,1704
891,0.753,0.914,66,1366
892,0.756,0.778,688,1573
893,0.758,0.75,716,744
894,0.774,0.656,256,1471
895,0.777,0.964,350,791
896,0.746,0.806,964,1211
897,0.756,0.825,271,1500
898,0.756,0.861,950,951
899,0.758,0.569,744,1923
900,0.763,0.014,952,1389
901,0.756,0.022,411,1410
902,0.76,0.742,903,1150
903,0.777,0.975,800,1325
904,0.787,0.961,958,1772
905,0.759,0.208,255,1765
906,0.823,0.972,739,936
907,0.799,0.219,832,1121
908,0.736,0.267,350,768
909,0.759,0.817,181,1535
910,0.762,0.8,843,1546
911,0.804,0.989,513,1601
912,0.802,0.203,398,956
913,0.794,0.164,529,1103
914,0.756,0.139,401,1826
915,0.757,0.819,504,1509
916,0.761,0.089,794,1849
917,0.811,0.106,453,828
918,0.758,0.147,613,1691
919,0.759,0.839,57,1735
920,0.761,0.061,749,844
921,0.762,0.0,354,360
922,0.779,0.758,357,910
923,0.821,0.564,844,1147
924,0.811,0.306,342,1916
925,0.719,0.531,561,1240
926,0.711,0.225,871,1060
927,0.699,0.197,491,1641
928,0.759,0.189,578,1235
929,0.762,0.044,589,1726
930,0.763,0.972,803,1239
931,0.807,0.369,234,1644
932,0.76,0.317,418,1721
933,0.763,0.0,460,749
934,0.764,0.003,610,1347
935,0.787,0.036,433,768
936,0.765,0.036,576,1287
937,0.766,0.956,921,1233
938,0.767,0.994,216,500
939,0.772,0.183,856,1017
940,0.713,0.469,281,392
941,0.763,0.783,97,1319
942,0.77,0.006,347,1895
943,0.818,0.233,938,1290
944,0.793,0.264,299,640
945,0.771,0.967,946,1747
946,0.764,0.219,978,1276
947,0.739,0.897,355,1571
948,0.761,0.903,618,1153
