id,t,u,v,time_in,time_out
238,0.678,0.997,0.364,500,1230
239,0.755,0.044,0.167,916,1861
240,0.729,0.133,0.106,197,1127
241,0.656,0.414,0.015,20,570
242,0.845,0.125,0.106,746,1950
243,0.79,0.25,0.045,446,1569
244,0.766,0.167,0.303,488,1732
245,0.75,0.214,0.197,544,1305
246,0.769,0.106,0.364,352,1381
247,0.787,0.639,0.227,432,1350
248,0.785,0.422,0.152,609,779
249,0.714,0.194,0.242,317,1961
250,0.762,0.903,0.091,242,1918
251,0.829,0.35,0.136,372,1971
252,0.828,0.25,0.106,384,467
253,0.771,0.617,0.091,520,1960
254,0.749,0.233,0.197,995,1955
255,0.782,0.303,0.152,235,1017
256,0.78,0.236,0.076,582,1842
257,0.835,0.219,0.242,282,1938
258,0.779,0.375,0.106,738,934
259,0.667,0.136,0.303,501,1958
260,0.845,0.356,0.167,633,1742
261,0.821,0.069,0.061,601,965
262,0.746,0.969,0.182,646,1645
263,0.829,0.025,0.121,495,825
264,0.771,0.722,0.121,379,1000
265,0.824,0.106,0.152,657,1828
266,0.776,0.489,0.152,120,294
267,0.755,0.4,0.121,507,1437
268,0.773,0.486,0.136,967,1951
269,0.763,0.581,0.182,840,1632
270,0.776,0.397,0.03,383,1408
271,0.763,0.0,0.045,8,966
272,0.763,0.8,0.076,537,1470
273,0.767,0.8,0.121,997,1368
274,0.725,0.317,0.197,300,627
275,0.722,0.875,0.03,4,674
276,0.722,0.903,0.258,548,1165
277,0.723,0.889,0.227,915,1105
278,0.757,0.45,0.288,406,1433
279,0.78,0.375,0.045,0,657
280,0.772,0.203,0.152,388,823
281,0.75,0.15,0.167,248,1451
282,0.653,0.125,0.152,116,1849
283,0.774,0.2,0.106,728,812
284,0.792,0.108,0.288,594,1859
285,0.733,0.217,0.136,265,889
286,0.83,0.919,0.076,51,249
287,0.813,0.914,0.197,668,1606
288,0.66,0.986,0.212,146,1994
289,0.768,0.247,0.136,227,900
290,0.728,0.042,0.197,254,859
291,0.713,0.242,0.182,657,896
292,0.818,0.911,0.212,122,683
293,0.775,0.792,0.167,208,924
294,0.769,0.3,0.076,804,1261
295,0.76,0.214,0.197,416,1804
296,0.728,0.989,0.106,842,1563
297,0.724,0.294,0.061,267,1750
298,0.798,0.067,0.258,53,781
299,0.761,0.144,0.242,799,1035
300,0.755,0.725,0.152,191,1941
301,0.757,0.644,0.121,197,434
302,0.772,0.714,0.091,903,1999
303,0.667,0.867,0.212,604,1139
304,0.814,0.164,0.318,885,1508
305,0.727,0.042,0.152,977,1695
306,0.673,0.025,0.212,128,1203
307,0.759,0.644,0.121,691,848
308,0.778,0.683,0.136,633,1271
309,0.729,0.261,0.106,498,891
310,0.774,0.95,0.091,749,1945
311,0.823,0.164,0.273,360,716
312,0.742,0.0,0.091,721,809
313,0.727,0.169,0.106,956,1334
314,0.778,0.217,0.152,174,1803
315,0.755,0.392,0.136,198,603
316,0.692,0.114,0.258,190,1313
317,0.826,0.358,0.182,782,1130
318,0.755,0.6,0.136,518,1042
319,0.821,0.2,0.076,402,1048
320,0.766,0.083,0.136,84,1622
321,0.76,0.278,0.106,993,1117
322,0.838,0.0,0.167,37,835
323,0.83,0.147,0.106,122,218
324,0.752,0.656,0.076,867,1150
325,0.745,0.978,0.03,898,1740
326,0.752,0.706,0.091,855,1993
327,0.726,0.125,0.182,388,1614
328,0.844,0.933,0.136,176,1737
329,0.826,0.772,0.076,532,1437
330,0.765,0.172,0.121,328,1985
331,0.76,0.658,0.242,231,518
332,0.791,0.781,0.061,842,1922
333,0.766,0.792,0.167,748,1635
334,0.723,0.114,0.258,549,1897
335,0.822,0.45,0.045,443,1928
336,0.808,0.192,0.212,838,1202
337,0.75,0.142,0.152,173,1626
338,0.825,0.339,0.091,987,1520
339,0.784,0.225,0.136,396,1857
340,0.768,0.697,0.136,78,130
341,0.772,0.075,0.061,946,1406
342,0.765,0.111,0.182,400,1848
343,0.763,0.967,0.197,357,1241
344,0.816,0.522,0.106,155,290
345,0.734,0.417,0.227,707,1588
346,0.813,0.514,0.152,534,1712
347,0.739,0.136,0.197,834,1025
348,0.76,0.308,0.121,531,1398
349,0.728,0.306,0.091,265,334
350,0.847,0.236,0.152,767,1434
351,0.826,0.083,0.242,249,983
352,0.766,0.103,0.076,666,1743
353,0.778,0.767,0.136,343,1749
354,0.78,0.781,0.152,713,1290
355,0.763,0.078,0.076,341,1553
356,0.757,0.919,0.136,298,1104
357,0.774,0.875,0.076,696,1968
358,0.772,0.803,0.212,110,2000
359,0.749,0.142,0.303,334,1286
360,0.729,0.286,0.045,682,1152
361,0.762,0.353,0.136,294,780
362,0.733,0.264,0.167,103,758
363,0.815,0.264,0.182,72,1416
364,0.772,0.261,0.121,869,1444
365,0.786,0.125,0.03,330,398
366,0.799,0.169,0.288,142,810
367,0.789,0.064,0.076,567,1661
368,0.773,0.25,0.121,290,1263
369,0.752,0.489,0.227,544,1758
370,0.776,0.183,0.091,760,1088
371,0.655,0.419,0.091,677,939
372,0.826,0.311,0.121,316,1271
373,0.762,0.675,0.364,641,1074
374,0.78,0.597,0.167,13,545
375,0.783,0.661,0.136,253,709
376,0.761,0.222,0.167,871,1663
377,0.737,0.881,0.152,388,754
378,0.721,0.036,0.045,392,521
379,0.763,0.7,0.273,407,1774
380,0.741,0.397,0.182,118,1280
381,0.783,0.147,0.106,171,1906
382,0.757,0.392,0.045,242,876
383,0.726,0.514,0.136,394,1384
384,0.719,0.419,0.273,514,900
385,0.715,0.4,0.258,634,1106
386,0.703,0.325,0.303,74,488
387,0.692,0.303,0.394,980,1623
388,0.771,0.35,0.136,996,1315
389,0.719,0.411,0.288,75,1299
390,0.712,0.414,0.273,191,1167
391,0.711,0.411,0.288,634,1037
392,0.704,0.3,0.242,708,1765
393,0.713,0.378,0.212,650,739
394,0.71,0.364,0.212,379,1611
395,0.708,0.369,0.242,33,1229
396,0.704,0.325,0.227,574,1492
397,0.677,0.275,0.212,310,1219
398,0.797,0.342,0.167,225,1246
399,0.793,0.464,0.273,704,1027
400,0.751,0.333,0.121,469,1897
401,0.742,0.297,0.121,356,502
402,0.74,0.975,0.045,288,632
403,0.722,0.561,0.121,230,1032
404,0.706,0.353,0.242,668,1578
405,0.688,0.306,0.348,460,1149
406,0.794,0.539,0.152,941,991
407,0.791,0.464,0.242,5,935
408,0.779,0.392,0.197,855,1442
409,0.765,0.161,0.152,323,539
410,0.786,0.189,0.182,594,734
411,0.701,0.361,0.303,476,885
412,0.696,0.356,0.348,119,1083
413,0.69,0.331,0.379,784,1018
414,0.792,0.281,0.061,802,945
415,0.791,0.386,0.197,247,557
416,0.793,0.95,0.076,706,1510
417,0.763,0.136,0.212,686,932
418,0.701,0.342,0.273,771,1361
419,0.694,0.358,0.364,764,890
420,0.679,0.225,0.212,749,999
421,0.793,0.125,0.197,187,1930
422,0.771,0.378,0.227,818,1395
423,0.795,0.058,0.061,820,1646
424,0.705,0.356,0.242,377,1730
425,0.684,0.239,0.227,928,1070
426,0.7,0.319,0.288,189,1738
427,0.693,0.3,0.333,526,1343
428,0.688,0.197,0.167,202,1943
429,0.691,0.139,0.182,297,521
430,0.791,0.222,0.121,662,795
431,0.741,0.347,0.121,152,1040
432,0.74,0.453,0.136,77,679
433,0.79,0.156,0.167,123,1705
434,0.745,0.975,0.091,498,888
435,0.695,0.064,0.182,742,999
436,0.694,0.025,0.212,596,1041
437,0.694,0.025,0.227,862,986
438,0.736,0.333,0.136,790,1411
439,0.724,0.239,0.106,922,928
440,0.804,0.206,0.167,865,1871
441,0.776,0.017,0.212,505,1846
442,0.7,0.25,0.015,738,900
443,0.775,0.783,0.121,393,717
444,0.779,0.086,0.091,689,1459
445,0.757,0.325,0.091,347,1245
446,0.763,0.717,0.212,305,506
447,0.792,0.75,0.015,161,555
448,0.772,0.208,0.076,631,853
449,0.756,0.225,0.121,783,1276
450,0.714,0.083,0.061,142,1881
451,0.704,0.431,0.061,803,1597
452,0.759,0.875,0.015,973,1883
453,0.718,0.264,0.045,828,1973
454,0.688,0.214,0.348,351,751
455,0.713,0.344,0.076,859,1134
456,0.753,0.125,0.106,641,735
457,0.721,0.181,0.197,265,1620
458,0.704,0.564,0.076,178,1125
459,0.769,0.939,0.167,459,1559
460,0.71,0.361,0.121,66,1137
461,0.757,0.358,0.045,321,1569
462,0.724,0.281,0.091,292,1545
463,0.794,0.25,0.121,73,448
464,0.788,0.675,0.212,287,1067
465,0.749,0.089,0.121,92,357
466,0.798,0.5,0.015,290,1420
467,0.677,0.367,0.409,491,579
468,0.772,0.375,0.061,525,1013
469,0.765,0.981,0.182,325,931
470,0.719,0.225,0.212,366,1093
471,0.792,0.25,0.121,439,1168
472,0.794,0.125,0.242,779,1472
473,0.711,0.483,0.136,391,1775
474,0.694,0.464,0.242,736,1048
475,0.665,0.389,0.273,500,1378
476,0.71,0.394,0.091,202,457
477,0.778,0.742,0.212,252,910
478,0.781,0.014,0.47,916,1640
479,0.67,0.953,0.197,94,655
480,0.752,0.289,0.091,261,667
481,0.79,0.431,0.136,659,770
482,0.754,0.589,0.091,936,1673
483,0.754,0.55,0.076,323,334
484,0.78,0.3,0.152,287,1862
485,0.777,0.189,0.121,735,1498
486,0.78,0.731,0.182,204,1181
487,0.78,0.067,0.182,481,1672
488,0.779,0.05,0.152,650,1709
489,0.786,0.225,0.091,308,756
490,0.762,0.8,0.076,8,1429
491,0.764,0.769,0.182,705,777
492,0.785,0.897,0.136,538,1543
493,0.752,0.875,0.015,633,1208
494,0.76,0.267,0.106,31,980
495,0.754,0.2,0.076,517,1405
496,0.754,0.0,0.045,813,828
497,0.752,0.5,0.045,874,1274
498,0.743,0.397,0.182,412,1151
499,0.79,0.989,0.152,783,1652
500,0.678,0.042,0.212,102,1199
501,0.777,0.944,0.106,104,1466
502,0.768,0.767,0.106,220,1658
503,0.715,0.444,0.182,166,769
504,0.686,0.025,0.5,466,1393
505,0.785,0.603,0.258,337,1498
506,0.768,0.336,0.197,597,874
507,0.757,0.325,0.227,640,664
508,0.697,0.953,0.364,717,1093
509,0.689,0.008,0.136,786,1561
510,0.766,0.653,0.318,313,1218
511,0.765,0.333,0.197,62,592
512,0.748,0.344,0.258,353,469
513,0.781,0.939,0.121,502,1531
514,0.776,0.172,0.167,32,1127
515,0.769,0.394,0.091,370,578
516,0.773,0.131,0.136,182,1766
517,0.71,0.864,0.152,236,1776
518,0.773,0.014,0.076,714,951
519,0.756,0.675,0.045,569,950
520,0.79,0.375,0.045,562,1108
521,0.713,0.75,0.03,988,1823
522,0.697,0.883,0.106,185,537
523,0.674,0.247,0.152,49,1082
524,0.757,0.733,0.106,645,1732
525,0.771,0.703,0.182,182,1239
526,0.678,0.231,0.136,108,1846
527,0.667,0.256,0.106,962,1236
528,0.762,0.053,0.167,374,1023
529,0.756,0.125,0.152,890,1650
530,0.717,0.114,0.076,969,1249
531,0.722,0.967,0.197,415,888
532,0.739,0.3,0.333,685,940
533,0.757,0.656,0.106,78,1272
534,0.776,0.647,0.212,551,662
535,0.73,0.089,0.227,725,1312
536,0.76,0.05,0.03,167,578
537,0.733,0.031,0.106,805,853
538,0.724,0.131,0.152,462,1147
539,0.715,0.172,0.076,990,1309
540,0.7,0.211,0.136,74,1204
541,0.778,0.661,0.136,353,986
542,0.7,0.458,0.045,334,1734
543,0.708,0.219,0.091,819,1410
544,0.688,0.228,0.121,170,779
545,0.685,0.128,0.212,349,421
546,0.777,0.7,0.182,969,1627
547,0.74,0.078,0.121,667,729
548,0.728,0.175,0.121,29,1586
549,0.682,0.261,0.288,924,1402
550,0.671,0.422,0.152,941,1244
551,0.729,0.233,0.152,800,967
552,0.758,0.578,0.227,210,294
553,0.736,0.197,0.212,469,1358
554,0.697,0.497,0.167,84,434
555,0.781,0.183,0.288,635,949
556,0.776,0.172,0.212,500,1896
557,0.762,0.442,0.106,426,1988
558,0.759,0.361,0.121,169,1083
559,0.739,0.297,0.167,727,850
560,0.764,0.339,0.212,898,1341
561,0.673,0.092,0.212,913,1392
562,0.762,0.125,0.121,541,1995
563,0.727,0.122,0.258,583,932
564,0.797,0.144,0.136,316,1934
565,0.76,0.15,0.242,905,1794
566,0.743,0.081,0.303,622,832
567,0.742,0.356,0.121,517,1523
568,0.764,0.978,0.212,414,1081
569,0.783,0.069,0.182,740,783
570,0.782,0.136,0.212,162,894
571,0.742,0.536,0.091,865,1968
572,0.772,0.433,0.091,241,1920
573,0.763,0.175,0.182,992,1556
574,0.679,0.019,0.273,4,43
575,0.769,0.333,0.136,726,1690
576,0.709,0.258,0.076,891,1157
577,0.707,0.231,0.167,658,1765
578,0.716,0.528,0.076,845,990
579,0.757,0.75,0.076,850,1584
580,0.758,0.169,0.167,659,1896
581,0.768,0.961,0.091,902,1683
582,0.68,0.508,0.409,53,1180
583,0.756,0.297,0.076,982,1380
584,0.685,0.958,0.045,747,856
585,0.686,0.125,0.061,926,1107
586,0.784,0.067,0.242,146,522
587,0.687,0.111,0.212,399,1775
588,0.761,0.642,0.106,877,1383
589,0.729,0.353,0.212,760,1020
590,0.678,0.956,0.288,710,1732
591,0.765,0.781,0.076,224,1176
592,0.769,0.794,0.258,574,1848
593,0.776,0.633,0.091,726,1700
594,0.771,0.344,0.136,360,602
595,0.725,0.364,0.136,892,1481
596,0.766,0.864,0.136,860,1163
597,0.756,0.486,0.197,309,713
598,0.731,0.2,0.303,463,881
599,0.724,0.497,0.303,158,1173
600,0.69,0.739,0.061,307,1999
601,0.724,0.331,0.258,932,1279
602,0.771,0.875,0.288,415,930
603,0.728,0.319,0.318,773,953
604,0.806,0.242,0.197,764,929
605,0.806,0.147,0.106,40,1411
606,0.724,0.303,0.288,876,1755
607,0.719,0.336,0.242,362,484
608,0.807,0.039,0.197,922,1997
609,0.757,0.947,0.136,147,163
610,0.715,0.358,0.182,524,894
611,0.765,0.114,0.212,738,1679
612,0.716,0.253,0.227,410,1310
613,0.714,0.303,0.288,275,689
614,0.711,0.339,0.288,265,1726
615,0.709,0.383,0.273,279,1748
616,0.766,0.433,0.152,451,1791
617,0.69,0.383,0.348,910,1650
618,0.774,0.192,0.212,208,1153
619,0.769,0.2,0.212,342,1192
620,0.69,0.328,0.318,451,997
621,0.674,0.178,0.152,990,1155
622,0.763,0.197,0.242,723,1242
623,0.705,0.25,0.273,447,1276
624,0.699,0.467,0.288,450,1104
625,0.692,0.086,0.045,326,1219
626,0.714,0.286,0.303,230,406
627,0.705,0.281,0.273,269,1739
628,0.696,0.394,0.152,825,1434
629,0.694,0.331,0.076,550,1892
630,0.677,0.375,0.091,364,1060
631,0.701,0.381,0.273,141,453
632,0.702,0.897,0.364,744,1961
633,0.694,0.183,0.045,568,708
634,0.83,0.194,0.121,744,1855
635,0.697,0.333,0.106,95,1049
636,0.696,0.031,0.03,631,737
637,0.696,0.964,0.091,450,622
638,0.703,0.914,0.379,673,1575
639,0.717,0.106,0.076,742,1592
640,0.699,0.281,0.152,205,216
641,0.697,0.097,0.091,399,1590
642,0.718,0.019,0.136,394,1066
643,0.724,0.35,0.364,199,1743
644,0.71,0.922,0.409,315,1345
645,0.78,0.661,0.106,55,445
646,0.768,0.233,0.288,596,1594
647,0.721,0.922,0.455,5,1049
648,0.721,0.156,0.136,6,1605
649,0.719,0.111,0.121,798,1696
650,0.721,0.108,0.045,688,1311
651,0.672,0.019,0.121,17,1842
652,0.816,0.333,0.197,249,1984
653,0.789,0.958,0.076,78,1279
654,0.757,0.211,0.061,298,997
655,0.722,0.144,0.167,223,226
656,0.721,0.036,0.121,18,126
657,0.721,0.972,0.136,419,430
658,0.744,0.219,0.136,364,884
659,0.725,0.075,0.03,701,1940
660,0.723,0.15,0.152,340,1129
661,0.718,0.297,0.167,263,1113
662,0.705,0.133,0.106,428,1456
663,0.716,0.992,0.348,65,409
664,0.78,0.203,0.136,184,879
665,0.766,0.181,0.197,125,1415
666,0.816,0.375,0.106,736,1581
667,0.728,0.311,0.136,686,1751
668,0.729,0.978,0.197,854,888
669,0.831,0.167,0.076,359,1285
670,0.75,0.133,0.348,594,1831
671,0.757,0.814,0.212,531,1120
672,0.733,0.978,0.348,350,1228
673,0.673,0.908,0.106,920,1986
674,0.77,0.967,0.152,326,1687
675,0.735,0.967,0.394,893,1442
676,0.728,0.117,0.212,303,1553
677,0.696,0.392,0.258,748,857
678,0.677,0.108,0.136,48,581
679,0.686,0.65,0.03,124,407
680,0.691,0.264,0.136,628,1355
681,0.763,0.847,0.121,0,823
682,0.77,0.944,0.227,899,1168
683,0.731,0.856,0.076,107,868
684,0.69,0.167,0.167,62,1792
685,0.696,0.939,0.152,805,1531
686,0.804,0.236,0.121,845,1530
687,0.786,0.139,0.333,169,689
688,0.695,0.078,0.288,182,799
689,0.745,0.953,0.333,623,925
690,0.726,0.994,0.091,412,1912
691,0.767,0.108,0.379,264,1840
692,0.749,0.056,0.242,984,1323
693,0.702,0.014,0.273,252,1545
694,0.701,0.025,0.318,494,753
695,0.7,0.075,0.333,916,1913
696,0.696,0.081,0.348,190,873
697,0.707,0.144,0.258,434,994
698,0.705,0.1,0.258,294,1011
699,0.708,0.122,0.197,677,1478
700,0.706,0.969,0.227,979,1187
701,0.679,0.036,0.061,234,1624
702,0.828,0.231,0.167,621,1794
703,0.814,0.294,0.091,285,1429
704,0.759,0.122,0.242,41,363
705,0.738,0.814,0.333,302,419
706,0.708,0.25,0.076,330,1141
707,0.727,0.925,0.303,312,1464
708,0.76,0.011,0.182,95,281
709,0.744,0.228,0.212,122,1413
710,0.709,0.275,0.197,424,1375
711,0.708,0.375,0.015,651,1235
712,0.688,0.922,0.197,21,1795
713,0.688,0.058,0.197,532,1253
714,0.689,0.922,0.197,412,848
715,0.691,0.0,0.152,958,1850
716,0.744,0.256,0.485,175,1894
717,0.774,0.603,0.106,459,506
718,0.757,0.878,0.439,30,1162
719,0.705,0.175,0.258,724,1393
720,0.695,0.183,0.121,967,1222
721,0.69,0.9,0.091,84,169
722,0.802,0.136,0.212,555,1332
723,0.771,0.106,0.167,88,196
724,0.688,0.258,0.182,610,1186
725,0.745,0.872,0.394,971,1741
726,0.77,0.097,0.061,687,1296
727,0.69,0.331,0.152,58,800
728,0.757,0.3,0.106,899,1976
729,0.71,0.75,0.182,523,1578
730,0.693,0.075,0.348,837,1117
731,0.699,0.767,0.167,465,1862
732,0.698,0.156,0.212,162,1871
733,0.784,0.156,0.258,305,1681
734,0.774,0.483,0.273,883,1334
735,0.741,0.922,0.076,823,1406
736,0.697,0.111,0.167,566,982
737,0.774,0.469,0.258,541,1663
738,0.722,0.267,0.258,426,1373
739,0.76,0.831,0.379,452,993
740,0.703,0.844,0.106,211,1613
741,0.766,0.444,0.197,883,1282
742,0.713,0.189,0.106,84,218
743,0.789,0.158,0.242,830,1226
744,0.705,0.144,0.152,768,1168
745,0.716,0.211,0.106,162,1940
746,0.786,0.169,0.258,112,269
